FID IID POP
HG00096 HG00096 EUR
HG00097 HG00097 EUR
HG00099 HG00099 EUR
HG00100 HG00100 EUR
HG00101 HG00101 EUR
HG00102 HG00102 EUR
HG00103 HG00103 EUR
HG00105 HG00105 EUR
HG00106 HG00106 EUR
HG00107 HG00107 EUR
HG00108 HG00108 EUR
HG00109 HG00109 EUR
HG00110 HG00110 EUR
HG00111 HG00111 EUR
HG00112 HG00112 EUR
HG00113 HG00113 EUR
HG00114 HG00114 EUR
HG00115 HG00115 EUR
HG00116 HG00116 EUR
HG00117 HG00117 EUR
HG00118 HG00118 EUR
HG00119 HG00119 EUR
HG00120 HG00120 EUR
HG00121 HG00121 EUR
HG00122 HG00122 EUR
HG00123 HG00123 EUR
HG00125 HG00125 EUR
HG00126 HG00126 EUR
HG00127 HG00127 EUR
HG00128 HG00128 EUR
HG00129 HG00129 EUR
HG00130 HG00130 EUR
HG00131 HG00131 EUR
HG00132 HG00132 EUR
HG00133 HG00133 EUR
HG00136 HG00136 EUR
HG00137 HG00137 EUR
HG00138 HG00138 EUR
HG00139 HG00139 EUR
HG00140 HG00140 EUR
HG00141 HG00141 EUR
HG00142 HG00142 EUR
HG00143 HG00143 EUR
HG00145 HG00145 EUR
HG00146 HG00146 EUR
HG00148 HG00148 EUR
HG00149 HG00149 EUR
HG00150 HG00150 EUR
HG00151 HG00151 EUR
HG00154 HG00154 EUR
HG00155 HG00155 EUR
HG00157 HG00157 EUR
HG00158 HG00158 EUR
HG00159 HG00159 EUR
HG00160 HG00160 EUR
HG00171 HG00171 EUR
HG00173 HG00173 EUR
HG00174 HG00174 EUR
HG00176 HG00176 EUR
HG00177 HG00177 EUR
HG00178 HG00178 EUR
HG00179 HG00179 EUR
HG00180 HG00180 EUR
HG00181 HG00181 EUR
HG00182 HG00182 EUR
HG00183 HG00183 EUR
HG00185 HG00185 EUR
HG00186 HG00186 EUR
HG00187 HG00187 EUR
HG00188 HG00188 EUR
HG00189 HG00189 EUR
HG00190 HG00190 EUR
HG00231 HG00231 EUR
HG00232 HG00232 EUR
HG00233 HG00233 EUR
HG00234 HG00234 EUR
HG00235 HG00235 EUR
HG00236 HG00236 EUR
HG00237 HG00237 EUR
HG00238 HG00238 EUR
HG00239 HG00239 EUR
HG00240 HG00240 EUR
HG00242 HG00242 EUR
HG00243 HG00243 EUR
HG00244 HG00244 EUR
HG00245 HG00245 EUR
HG00246 HG00246 EUR
HG00250 HG00250 EUR
HG00251 HG00251 EUR
HG00252 HG00252 EUR
HG00253 HG00253 EUR
HG00254 HG00254 EUR
HG00255 HG00255 EUR
HG00256 HG00256 EUR
HG00257 HG00257 EUR
HG00258 HG00258 EUR
HG00259 HG00259 EUR
HG00260 HG00260 EUR
HG00261 HG00261 EUR
HG00262 HG00262 EUR
HG00263 HG00263 EUR
HG00264 HG00264 EUR
HG00265 HG00265 EUR
HG00266 HG00266 EUR
HG00267 HG00267 EUR
HG00268 HG00268 EUR
HG00269 HG00269 EUR
HG00271 HG00271 EUR
HG00272 HG00272 EUR
HG00273 HG00273 EUR
HG00274 HG00274 EUR
HG00275 HG00275 EUR
HG00276 HG00276 EUR
HG00277 HG00277 EUR
HG00278 HG00278 EUR
HG00280 HG00280 EUR
HG00281 HG00281 EUR
HG00282 HG00282 EUR
HG00284 HG00284 EUR
HG00285 HG00285 EUR
HG00288 HG00288 EUR
HG00290 HG00290 EUR
HG00304 HG00304 EUR
HG00306 HG00306 EUR
HG00308 HG00308 EUR
HG00309 HG00309 EUR
HG00310 HG00310 EUR
HG00311 HG00311 EUR
HG00313 HG00313 EUR
HG00315 HG00315 EUR
HG00318 HG00318 EUR
HG00319 HG00319 EUR
HG00320 HG00320 EUR
HG00321 HG00321 EUR
HG00323 HG00323 EUR
HG00324 HG00324 EUR
HG00325 HG00325 EUR
HG00326 HG00326 EUR
HG00327 HG00327 EUR
HG00328 HG00328 EUR
HG00329 HG00329 EUR
HG00330 HG00330 EUR
HG00331 HG00331 EUR
HG00332 HG00332 EUR
HG00334 HG00334 EUR
HG00335 HG00335 EUR
HG00336 HG00336 EUR
HG00337 HG00337 EUR
HG00338 HG00338 EUR
HG00339 HG00339 EUR
HG00341 HG00341 EUR
HG00342 HG00342 EUR
HG00343 HG00343 EUR
HG00344 HG00344 EUR
HG00345 HG00345 EUR
HG00346 HG00346 EUR
HG00349 HG00349 EUR
HG00350 HG00350 EUR
HG00351 HG00351 EUR
HG00353 HG00353 EUR
HG00355 HG00355 EUR
HG00356 HG00356 EUR
HG00357 HG00357 EUR
HG00358 HG00358 EUR
HG00360 HG00360 EUR
HG00361 HG00361 EUR
HG00362 HG00362 EUR
HG00364 HG00364 EUR
HG00365 HG00365 EUR
HG00366 HG00366 EUR
HG00367 HG00367 EUR
HG00368 HG00368 EUR
HG00369 HG00369 EUR
HG00371 HG00371 EUR
HG00372 HG00372 EUR
HG00373 HG00373 EUR
HG00375 HG00375 EUR
HG00376 HG00376 EUR
HG00378 HG00378 EUR
HG00379 HG00379 EUR
HG00380 HG00380 EUR
HG00381 HG00381 EUR
HG00382 HG00382 EUR
HG00383 HG00383 EUR
HG00384 HG00384 EUR
HG00403 HG00403 EAS
HG00404 HG00404 EAS
HG00406 HG00406 EAS
HG00407 HG00407 EAS
HG00409 HG00409 EAS
HG00410 HG00410 EAS
HG00419 HG00419 EAS
HG00421 HG00421 EAS
HG00422 HG00422 EAS
HG00428 HG00428 EAS
HG00436 HG00436 EAS
HG00437 HG00437 EAS
HG00442 HG00442 EAS
HG00443 HG00443 EAS
HG00445 HG00445 EAS
HG00446 HG00446 EAS
HG00448 HG00448 EAS
HG00449 HG00449 EAS
HG00451 HG00451 EAS
HG00452 HG00452 EAS
HG00457 HG00457 EAS
HG00458 HG00458 EAS
HG00463 HG00463 EAS
HG00464 HG00464 EAS
HG00472 HG00472 EAS
HG00473 HG00473 EAS
HG00475 HG00475 EAS
HG00476 HG00476 EAS
HG00478 HG00478 EAS
HG00479 HG00479 EAS
HG00500 HG00500 EAS
HG00513 HG00513 EAS
HG00524 HG00524 EAS
HG00525 HG00525 EAS
HG00530 HG00530 EAS
HG00531 HG00531 EAS
HG00533 HG00533 EAS
HG00534 HG00534 EAS
HG00536 HG00536 EAS
HG00537 HG00537 EAS
HG00542 HG00542 EAS
HG00543 HG00543 EAS
HG00551 HG00551 AMR
HG00553 HG00553 AMR
HG00554 HG00554 AMR
HG00556 HG00556 EAS
HG00557 HG00557 EAS
HG00559 HG00559 EAS
HG00560 HG00560 EAS
