trait,sweep_kind,sweep_id,eff_groups,mean_B_diag,n_pops_positive,top_pop_weight
Asthma,EUR_AFR,EUR_AFR_01,1,0,1,1
Asthma,EUR_AFR,EUR_AFR_02,1.21951219512195,0.0137736826782779,2,0.9
Asthma,EUR_AFR,EUR_AFR_03,1.47058823529412,0.0244865469836052,2,0.8
Asthma,EUR_AFR,EUR_AFR_04,1.72413793103448,0.0321385929159818,2,0.7
Asthma,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0367298204754078,2,0.6
Asthma,EUR_AFR,EUR_AFR_06,2,0.0382602296618831,2,0.5
Asthma,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0367298204754078,2,0.6
Asthma,EUR_AFR,EUR_AFR_08,1.72413793103448,0.0321385929159818,2,0.7
Asthma,EUR_AFR,EUR_AFR_09,1.47058823529412,0.0244865469836052,2,0.8
Asthma,EUR_AFR,EUR_AFR_10,1.21951219512195,0.0137736826782779,2,0.9
Asthma,EUR_AFR,EUR_AFR_11,1,0,1,1
Asthma,EUR_EAS,EUR_EAS_01,1,0,1,1
Asthma,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0131772372815578,2,0.9
Asthma,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0234261996116584,2,0.8
Asthma,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0307468869903016,2,0.7
Asthma,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0351392994174875,2,0.6
Asthma,EUR_EAS,EUR_EAS_06,2,0.0366034368932162,2,0.5
Asthma,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0351392994174875,2,0.6
Asthma,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0307468869903016,2,0.7
Asthma,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0234261996116584,2,0.8
Asthma,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0131772372815578,2,0.9
Asthma,EUR_EAS,EUR_EAS_11,1,0,1,1
Asthma,multi,equal,5,0.042919331107851,5,0.2
Asthma,multi,reported,1.60864374737596,0.0254323575987946,5,0.764818709523947
Asthma,multi,w25rest,4.92307692307692,0.0419743298928447,5,0.25
Asthma,multi,w50rest,3.2,0.0337744098593444,5,0.5
COPD,EUR_AFR,EUR_AFR_01,1,0,1,1
COPD,EUR_AFR,EUR_AFR_02,1.21951219512195,0.0137934690199441,2,0.9
COPD,EUR_AFR,EUR_AFR_03,1.47058823529412,0.0245217227021228,2,0.8
COPD,EUR_AFR,EUR_AFR_04,1.72413793103448,0.0321847610465362,2,0.7
COPD,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0367825840531842,2,0.6
COPD,EUR_AFR,EUR_AFR_06,2,0.0383151917220669,2,0.5
COPD,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0367825840531842,2,0.6
COPD,EUR_AFR,EUR_AFR_08,1.72413793103448,0.0321847610465362,2,0.7
COPD,EUR_AFR,EUR_AFR_09,1.47058823529412,0.0245217227021228,2,0.8
COPD,EUR_AFR,EUR_AFR_10,1.21951219512195,0.0137934690199441,2,0.9
COPD,EUR_AFR,EUR_AFR_11,1,0,1,1
COPD,EUR_EAS,EUR_EAS_01,1,0,1,1
COPD,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0127652387355144,2,0.9
COPD,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0226937577520256,2,0.8
COPD,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0297855570495336,2,0.7
COPD,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0340406366280384,2,0.6
COPD,EUR_EAS,EUR_EAS_06,2,0.03545899648754,2,0.5
COPD,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0340406366280384,2,0.6
COPD,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0297855570495336,2,0.7
COPD,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0226937577520256,2,0.8
COPD,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0127652387355144,2,0.9
COPD,EUR_EAS,EUR_EAS_11,1,0,1,1
COPD,multi,equal,4,0.0475973432402072,4,0.25
COPD,multi,reported,1.70470568386948,0.0288801596455938,4,0.726724984639723
COPD,multi,w25rest,4,0.0475973432402072,4,0.25
COPD,multi,w50rest,3,0.0388880615794235,4,0.5
Gout,EUR_AFR,EUR_AFR_01,1,0,1,1
Gout,EUR_AFR,EUR_AFR_02,1.21951219512195,0.013619902965045,2,0.9
Gout,EUR_AFR,EUR_AFR_03,1.47058823529412,0.0242131608267466,2,0.8
Gout,EUR_AFR,EUR_AFR_04,1.72413793103448,0.0317797735851049,2,0.7
Gout,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0363197412401199,2,0.6
Gout,EUR_AFR,EUR_AFR_06,2,0.0378330637917916,2,0.5
Gout,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0363197412401199,2,0.6
Gout,EUR_AFR,EUR_AFR_08,1.72413793103448,0.0317797735851049,2,0.7
Gout,EUR_AFR,EUR_AFR_09,1.47058823529412,0.0242131608267466,2,0.8
Gout,EUR_AFR,EUR_AFR_10,1.21951219512195,0.013619902965045,2,0.9
Gout,EUR_AFR,EUR_AFR_11,1,0,1,1
Gout,EUR_EAS,EUR_EAS_01,1,0,1,1
Gout,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0127347981578483,2,0.9
Gout,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0226396411695081,2,0.8
Gout,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0297145290349794,2,0.7
Gout,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0339594617542622,2,0.6
Gout,EUR_EAS,EUR_EAS_06,2,0.0353744393273564,2,0.5
Gout,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0339594617542622,2,0.6
Gout,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0297145290349794,2,0.7
Gout,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0226396411695081,2,0.8
Gout,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0127347981578483,2,0.9
Gout,EUR_EAS,EUR_EAS_11,1,0,1,1
Gout,multi,equal,4,0.0470738794674354,4,0.25
Gout,multi,reported,1.72033204900231,0.0290824403548026,4,0.723077779886305
Gout,multi,w25rest,4,0.0470738794674354,4,0.25
Gout,multi,w50rest,3,0.0384870793439142,4,0.5
HF,EUR_AFR,EUR_AFR_01,1,0,1,1
HF,EUR_AFR,EUR_AFR_02,1.21951219512195,0.0141084919076383,2,0.9
HF,EUR_AFR,EUR_AFR_03,1.47058823529412,0.025081763391357,2,0.8
HF,EUR_AFR,EUR_AFR_04,1.72413793103448,0.032919814451156,2,0.7
HF,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0376226450870355,2,0.6
HF,EUR_AFR,EUR_AFR_06,2,0.0391902552989953,2,0.5
HF,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0376226450870355,2,0.6
HF,EUR_AFR,EUR_AFR_08,1.72413793103448,0.032919814451156,2,0.7
HF,EUR_AFR,EUR_AFR_09,1.47058823529412,0.025081763391357,2,0.8
HF,EUR_AFR,EUR_AFR_10,1.21951219512195,0.0141084919076383,2,0.9
HF,EUR_AFR,EUR_AFR_11,1,0,1,1
HF,EUR_EAS,EUR_EAS_01,1,0,1,1
HF,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0131869490408634,2,0.9
HF,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0234434649615349,2,0.8
HF,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0307695477620146,2,0.7
HF,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0351651974423024,2,0.6
HF,EUR_EAS,EUR_EAS_06,2,0.0366304140023983,2,0.5
HF,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0351651974423024,2,0.6
HF,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0307695477620146,2,0.7
HF,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0234434649615349,2,0.8
HF,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0131869490408634,2,0.9
HF,EUR_EAS,EUR_EAS_11,1,0,1,1
HF,multi,equal,4,0.0490148770810798,4,0.25
HF,multi,reported,1.58057109577478,0.0263927771542323,4,0.770750280598025
HF,multi,w25rest,4,0.0490148770810798,4,0.25
HF,multi,w50rest,3,0.0399403830590689,4,0.5
IPF,EUR_AFR,EUR_AFR_01,1,0,1,1
IPF,EUR_AFR,EUR_AFR_02,1.21951219512195,0.01322727546054,2,0.9
IPF,EUR_AFR,EUR_AFR_03,1.47058823529412,0.0235151563742934,2,0.8
IPF,EUR_AFR,EUR_AFR_04,1.72413793103448,0.03086364274126,2,0.7
IPF,EUR_AFR,EUR_AFR_05,1.92307692307692,0.0352727345614401,2,0.6
IPF,EUR_AFR,EUR_AFR_06,2,0.0367424318348334,2,0.5
IPF,EUR_AFR,EUR_AFR_07,1.92307692307692,0.0352727345614401,2,0.6
IPF,EUR_AFR,EUR_AFR_08,1.72413793103448,0.03086364274126,2,0.7
IPF,EUR_AFR,EUR_AFR_09,1.47058823529412,0.0235151563742934,2,0.8
IPF,EUR_AFR,EUR_AFR_10,1.21951219512195,0.01322727546054,2,0.9
IPF,EUR_AFR,EUR_AFR_11,1,0,1,1
IPF,EUR_EAS,EUR_EAS_01,1,0,1,1
IPF,EUR_EAS,EUR_EAS_02,1.21951219512195,0.0132446127632401,2,0.9
IPF,EUR_EAS,EUR_EAS_03,1.47058823529412,0.0235459782457601,2,0.8
IPF,EUR_EAS,EUR_EAS_04,1.72413793103448,0.0309040964475602,2,0.7
IPF,EUR_EAS,EUR_EAS_05,1.92307692307692,0.0353189673686402,2,0.6
IPF,EUR_EAS,EUR_EAS_06,2,0.0367905910090002,2,0.5
IPF,EUR_EAS,EUR_EAS_07,1.92307692307692,0.0353189673686402,2,0.6
IPF,EUR_EAS,EUR_EAS_08,1.72413793103448,0.0309040964475602,2,0.7
IPF,EUR_EAS,EUR_EAS_09,1.47058823529412,0.0235459782457601,2,0.8
IPF,EUR_EAS,EUR_EAS_10,1.21951219512195,0.0132446127632401,2,0.9
IPF,EUR_EAS,EUR_EAS_11,1,0,1,1
IPF,multi,equal,4,0.0473286544016285,4,0.25
