trait,sweep_id,candidate,n_chains,chains_kept,h2_est,h2_sd,p_est,p_sd,converged,n_snps,n_eff
Asthma,EUR_EAS_01,MELD_lambda0_true,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_01,MELD_lambda0_equal,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_01,EUR,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_01,EAS,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_06,MELD_lambda0_true,20,20,0.00101026160865557,5.00261565587796e-06,0.284981753902773,0.0940541570692778,TRUE,11803,1799212
Asthma,EUR_EAS_06,MELD_lambda0_equal,20,20,0.00100882838802147,3.39085480980655e-06,0.254311214445698,0.0899243657256346,TRUE,11803,1799212
Asthma,EUR_EAS_06,EUR,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_06,EAS,20,0,,,,,FALSE,11803,1799212
Asthma,EUR_EAS_11,MELD_lambda0_true,20,20,0.00109400709435195,2.28978838681128e-05,0.338802532092349,0.118388541223368,TRUE,11803,1799212
Asthma,EUR_EAS_11,MELD_lambda0_equal,20,20,0.00104006104794714,1.14629111729534e-05,0.321528824563604,0.101885013991579,TRUE,11803,1799212
Asthma,EUR_EAS_11,EUR,20,20,0.00109314967931899,1.98872491897602e-05,0.351508704348381,0.103361452125896,TRUE,11803,1799212
Asthma,EUR_EAS_11,EAS,20,0,,,,,FALSE,11803,1799212
COPD,EUR_EAS_01,MELD_lambda0_true,20,0,,,,,FALSE,11690,1370418
COPD,EUR_EAS_01,MELD_lambda0_equal,20,0,,,,,FALSE,11690,1370418
COPD,EUR_EAS_01,EUR,20,0,,,,,FALSE,11690,1370418
COPD,EUR_EAS_01,EAS,20,0,,,,,FALSE,11690,1370418
COPD,EUR_EAS_06,MELD_lambda0_true,20,17,0.00100010647360811,3.23165346615157e-07,0.259907559151392,0.124706436902338,TRUE,11690,1370418
COPD,EUR_EAS_06,MELD_lambda0_equal,20,17,0.00100054449284408,8.82375410156993e-07,0.261284927524809,0.104593334570842,TRUE,11690,1370418
COPD,EUR_EAS_06,EUR,20,0,,,,,FALSE,11690,1370418
COPD,EUR_EAS_06,EAS,20,16,0.00111058965029217,3.67721770704513e-05,0.290913149227204,0.126146139476218,TRUE,11690,1370418
COPD,EUR_EAS_11,MELD_lambda0_true,20,20,0.00130329597817276,4.73151551131408e-05,0.38392932936643,0.107141110818438,TRUE,11690,1370418
COPD,EUR_EAS_11,MELD_lambda0_equal,20,20,0.0012182909407304,1.94874029128083e-05,0.310618209636506,0.0964294838848055,TRUE,11690,1370418
COPD,EUR_EAS_11,EUR,20,20,0.00126851119297521,3.7554868951862e-05,0.363049813738519,0.154040580751947,TRUE,11690,1370418
COPD,EUR_EAS_11,EAS,20,0,,,,,FALSE,11690,1370418
