trait,sweep_kind,sweep_id,delta,candidate,mean,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true,0.604257462646028,0.0381881534398312,0.530649772652992,0.680403392953646
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_equal,0.730658173856017,0.0226193490548363,0.685453204644806,0.776089653751832
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda1_true,0.604257462646028,0.0393566269632095,0.533466960206794,0.685769162709348
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_scrambled,0.234092904197627,0.0280186891842653,0.185494308137137,0.29468911197159
IPF,EUR_AFR,EUR_AFR_01,0.001,EUR,0.32860444758562,0.0278840538091588,0.274201717438883,0.383626009700684
IPF,EUR_AFR,EUR_AFR_01,0.001,EAS,0.234092904197619,0.0275741394007807,0.185659329149457,0.293139863214459
IPF,EUR_AFR,EUR_AFR_01,0.001,AFR,0.603904336447756,0.0396774225272085,0.528596964933367,0.686072702285102
IPF,EUR_AFR,EUR_AFR_01,0.001,AMR,0.398493601252929,0.0324387646376995,0.337793131527925,0.465615311940862
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true,0.694627027435486,0.0288355917314647,0.64151810772987,0.753182842923538
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_equal,0.753296625243895,0.021087116241432,0.713601575521372,0.796854215690736
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda1_true,0.694627027435486,0.0290412434972595,0.63961653293926,0.753100509350557
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_scrambled,0.396202374035527,0.0320826379750764,0.336110353002227,0.463802861271208
IPF,EUR_AFR,EUR_AFR_01,0.01,EUR,0.485568469076826,0.0284463466011267,0.429360994705506,0.538992270999221
IPF,EUR_AFR,EUR_AFR_01,0.01,EAS,0.396202374035527,0.0315166991457601,0.338278479070571,0.459707041410175
IPF,EUR_AFR,EUR_AFR_01,0.01,AFR,0.694238301513316,0.0290593486786214,0.640811772912265,0.75197273245357
IPF,EUR_AFR,EUR_AFR_01,0.01,AMR,0.524831186278154,0.0336172998729135,0.459325611623294,0.5930855026326
IPF,EUR_AFR,EUR_AFR_01,0.1,MELD_lambda0_true,0.737653130605574,0.0226883914339836,0.693121505447591,0.780836236106703
IPF,EUR_AFR,EUR_AFR_01,0.1,MELD_lambda0_equal,0.753123708875997,0.0207777073441877,0.711996492724386,0.793003379834713
IPF,EUR_AFR,EUR_AFR_01,0.1,MELD_lambda1_true,0.737653130605574,0.0230799694857474,0.694059064599512,0.782525639275033
IPF,EUR_AFR,EUR_AFR_01,0.1,MELD_lambda0_scrambled,0.493493522929578,0.0279045864181971,0.442442306081207,0.549652927940696
IPF,EUR_AFR,EUR_AFR_01,0.1,EUR,0.555605897870666,0.0220745642867622,0.511834436428466,0.598959564445489
IPF,EUR_AFR,EUR_AFR_01,0.1,EAS,0.493493522929578,0.0279779185660336,0.441502117948445,0.550376706106363
IPF,EUR_AFR,EUR_AFR_01,0.1,AFR,0.737268739511849,0.0238903371294379,0.691238060363423,0.786015932026003
IPF,EUR_AFR,EUR_AFR_01,0.1,AMR,0.583375268191405,0.0281982936936126,0.52805245421237,0.637330748498251
IPF,EUR_AFR,EUR_AFR_02,0.001,MELD_lambda0_true,0.729604707012756,0.0272690883918974,0.676839826787689,0.78236338914913
IPF,EUR_AFR,EUR_AFR_02,0.001,MELD_lambda0_equal,0.745792344643871,0.0218646804407203,0.701196791866608,0.787510648856543
IPF,EUR_AFR,EUR_AFR_02,0.001,MELD_lambda1_true,0.735848346178378,0.0264202594835015,0.680464617855368,0.785742481741667
IPF,EUR_AFR,EUR_AFR_02,0.001,MELD_lambda0_scrambled,0.5983290970351,0.0261405980299546,0.547181280435951,0.649973024692894
IPF,EUR_AFR,EUR_AFR_02,0.001,EUR,0.356179747789878,0.023067467485827,0.31268586531237,0.404104617006285
IPF,EUR_AFR,EUR_AFR_02,0.001,EAS,0.312386449245798,0.0271353146699575,0.261265541192219,0.367572922704882
IPF,EUR_AFR,EUR_AFR_02,0.001,AFR,0.617768623998037,0.0352718244951983,0.550550798865747,0.686695066772469
IPF,EUR_AFR,EUR_AFR_02,0.001,AMR,0.437711733424079,0.0323553727230053,0.377628131171571,0.504731130474533
IPF,EUR_AFR,EUR_AFR_02,0.01,MELD_lambda0_true,0.774238373862842,0.0225835495396994,0.729259478851169,0.819827956196869
IPF,EUR_AFR,EUR_AFR_02,0.01,MELD_lambda0_equal,0.77591479042991,0.0189275068829716,0.738633733274309,0.813296766377834
IPF,EUR_AFR,EUR_AFR_02,0.01,MELD_lambda1_true,0.778217865334037,0.0221272254114331,0.734908470288963,0.821623328414008
IPF,EUR_AFR,EUR_AFR_02,0.01,MELD_lambda0_scrambled,0.677060129027763,0.0250739175817044,0.626516492487906,0.726754955797476
IPF,EUR_AFR,EUR_AFR_02,0.01,EUR,0.51954222803771,0.0251572976045566,0.470866079863792,0.568242412347602
IPF,EUR_AFR,EUR_AFR_02,0.01,EAS,0.477342585689118,0.0283945971736804,0.42131008360901,0.531367919164649
IPF,EUR_AFR,EUR_AFR_02,0.01,AFR,0.712591752302655,0.0277262877689633,0.656213131481091,0.765138724619694
IPF,EUR_AFR,EUR_AFR_02,0.01,AMR,0.582543857056891,0.0295117729353271,0.528339537500242,0.643623564161745
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_true,0.790079566635988,0.0193616289165997,0.752014516865752,0.827655850950162
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_equal,0.776712964069161,0.0190626802663385,0.738592890978249,0.814102267882237
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda1_true,0.792133103477727,0.0189316472203453,0.754272618451591,0.828944057808808
IPF,EUR_AFR,EUR_AFR_02,0.1,MELD_lambda0_scrambled,0.69722264532581,0.0225998402262287,0.650509847066194,0.73829591948506
IPF,EUR_AFR,EUR_AFR_02,0.1,EUR,0.581915380117208,0.0223584161225653,0.538775763690776,0.624837939006269
IPF,EUR_AFR,EUR_AFR_02,0.1,EAS,0.545585044227325,0.0251122622208683,0.492642910278416,0.593434743519578
IPF,EUR_AFR,EUR_AFR_02,0.1,AFR,0.751533877950259,0.0219700441775525,0.707714754512586,0.795051649466182
IPF,EUR_AFR,EUR_AFR_02,0.1,AMR,0.62935788105701,0.0273098263248552,0.579628325147322,0.682613755068214
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_true,0.738862551708992,0.0230667004126261,0.695208176446228,0.785246552880425
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_equal,0.756435403735411,0.0198243715289653,0.716164093047814,0.794407424568662
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda1_true,0.739316791903519,0.02200904498089,0.69705280277583,0.78276267229973
IPF,EUR_AFR,EUR_AFR_03,0.001,MELD_lambda0_scrambled,0.738862551708992,0.0225649069118654,0.69461087539679,0.781362567600639
IPF,EUR_AFR,EUR_AFR_03,0.001,EUR,0.378600461237537,0.0249425624426006,0.332119681626569,0.430115166857821
IPF,EUR_AFR,EUR_AFR_03,0.001,EAS,0.296039442529022,0.0264217715665341,0.247100182211137,0.348923808885753
IPF,EUR_AFR,EUR_AFR_03,0.001,AFR,0.599931554799726,0.03508249549238,0.534349614205407,0.668103319640332
IPF,EUR_AFR,EUR_AFR_03,0.001,AMR,0.425964228352991,0.0337102330636715,0.363055127539993,0.493143802284634
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_true,0.776172999267593,0.0197882340164831,0.737783820982239,0.815118958801843
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_equal,0.777265050265495,0.0183772693091595,0.744095576972882,0.814460610109431
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda1_true,0.776261924790034,0.0185757665991774,0.741596007525207,0.812651046024962
IPF,EUR_AFR,EUR_AFR_03,0.01,MELD_lambda0_scrambled,0.776172999267593,0.0193772956219341,0.737581171737667,0.814846273859185
IPF,EUR_AFR,EUR_AFR_03,0.01,EUR,0.546862466926198,0.0186164344612194,0.514311886697216,0.585579926492622
IPF,EUR_AFR,EUR_AFR_03,0.01,EAS,0.448451743005777,0.0269721175721699,0.398833765985058,0.505725826101121
IPF,EUR_AFR,EUR_AFR_03,0.01,AFR,0.693278435975372,0.0245152131195404,0.648856726144114,0.741917501179915
IPF,EUR_AFR,EUR_AFR_03,0.01,AMR,0.560892396863776,0.0296666533113348,0.505464300220611,0.624678598704086
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_true,0.788842433030753,0.0169928846421059,0.75473537811914,0.823015799401616
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_equal,0.776081815203135,0.0178276825781951,0.742326554798277,0.811615873710109
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda1_true,0.788335197428732,0.0169261388987906,0.757348139745494,0.822873918019792
IPF,EUR_AFR,EUR_AFR_03,0.1,MELD_lambda0_scrambled,0.788842433030753,0.0166882219423566,0.757139323359369,0.822607786171812
IPF,EUR_AFR,EUR_AFR_03,0.1,EUR,0.595799090853927,0.0164424408508173,0.564110406165911,0.627339970802231
IPF,EUR_AFR,EUR_AFR_03,0.1,EAS,0.520906557884107,0.0229327655708883,0.477011593213136,0.567957098006565
IPF,EUR_AFR,EUR_AFR_03,0.1,AFR,0.730459655933755,0.0198425587608916,0.694287923894165,0.771861975558203
IPF,EUR_AFR,EUR_AFR_03,0.1,AMR,0.616883683771539,0.0250121236181236,0.571370353425709,0.669467069464511
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_true,0.75560462742162,0.0233098843082485,0.709016682880462,0.800744311070693
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_equal,0.76395222725269,0.0189121594692579,0.727165818900505,0.800869026934104
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda1_true,0.752116734441479,0.0233099188171754,0.706958772383059,0.797534660789522
IPF,EUR_AFR,EUR_AFR_04,0.001,MELD_lambda0_scrambled,0.722133801288137,0.0235600059495086,0.676926636664486,0.769075517129935
IPF,EUR_AFR,EUR_AFR_04,0.001,EUR,0.383579308510543,0.0249406217212319,0.337188571964843,0.437372843561407
