trait,sweep_kind,sweep_id,delta,comparison,mean_diff,sd,lo95,hi95
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − EUR,0.275653015060408,0.0314876390009049,0.215385783755274,0.341842202813958
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − EAS,0.370164558448409,0.0239991778888027,0.326250399060454,0.42131332676113
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − AFR,0.000353126198272317,0.000345817640124895,-6.22465454266942e-11,0.00113572791950912
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − AMR,0.205763861393098,0.0286072090876038,0.143926430376221,0.258307377632599
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − MELD_lambda0_equal,-0.126400711209989,0.0246639352957938,-0.174444148525658,-0.0802131490434121
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda0_true − MELD_lambda0_scrambled,0.370164558448401,0.0236847184999233,0.325724473823391,0.418840824014743
IPF,EUR_AFR,EUR_AFR_01,0.001,MELD_lambda1_true − MELD_lambda0_true,0,0,0,0
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − EUR,0.209058558358661,0.0231327908927023,0.163878453978038,0.254559167164493
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − EAS,0.29842465339996,0.0210965336863237,0.255702135832509,0.339495756863236
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − AFR,0.000388725922169854,0.000385051270134961,-6.64695362780964e-11,0.00124724329716357
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − AMR,0.169795841157332,0.0233955271195323,0.123782838044144,0.217093031182566
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − MELD_lambda0_equal,-0.0586695978084086,0.0146013743409595,-0.0885311956376016,-0.030508897657554
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda0_true − MELD_lambda0_scrambled,0.298424653399959,0.02043103729383,0.259736695315443,0.337828906477697
IPF,EUR_AFR,EUR_AFR_01,0.01,MELD_lambda1_true − MELD_lambda0_true,0,0,0,0
