trait,sweep_kind,sweep_id,pop,w
Asthma,EUR_EAS,EUR_EAS_01,EUR,0
Asthma,EUR_EAS,EUR_EAS_01,EAS,1
Asthma,EUR_EAS,EUR_EAS_01,AFR,0
Asthma,EUR_EAS,EUR_EAS_01,CSA,0
Asthma,EUR_EAS,EUR_EAS_01,AMR,0
Asthma,EUR_EAS,EUR_EAS_02,EUR,0.1
Asthma,EUR_EAS,EUR_EAS_02,EAS,0.9
Asthma,EUR_EAS,EUR_EAS_02,AFR,0
Asthma,EUR_EAS,EUR_EAS_02,CSA,0
Asthma,EUR_EAS,EUR_EAS_02,AMR,0
Asthma,EUR_EAS,EUR_EAS_03,EUR,0.2
Asthma,EUR_EAS,EUR_EAS_03,EAS,0.8
Asthma,EUR_EAS,EUR_EAS_03,AFR,0
Asthma,EUR_EAS,EUR_EAS_03,CSA,0
Asthma,EUR_EAS,EUR_EAS_03,AMR,0
Asthma,EUR_EAS,EUR_EAS_04,EUR,0.3
Asthma,EUR_EAS,EUR_EAS_04,EAS,0.7
Asthma,EUR_EAS,EUR_EAS_04,AFR,0
Asthma,EUR_EAS,EUR_EAS_04,CSA,0
Asthma,EUR_EAS,EUR_EAS_04,AMR,0
Asthma,EUR_EAS,EUR_EAS_05,EUR,0.4
Asthma,EUR_EAS,EUR_EAS_05,EAS,0.6
Asthma,EUR_EAS,EUR_EAS_05,AFR,0
Asthma,EUR_EAS,EUR_EAS_05,CSA,0
Asthma,EUR_EAS,EUR_EAS_05,AMR,0
Asthma,EUR_EAS,EUR_EAS_06,EUR,0.5
Asthma,EUR_EAS,EUR_EAS_06,EAS,0.5
Asthma,EUR_EAS,EUR_EAS_06,AFR,0
Asthma,EUR_EAS,EUR_EAS_06,CSA,0
Asthma,EUR_EAS,EUR_EAS_06,AMR,0
Asthma,EUR_EAS,EUR_EAS_07,EUR,0.6
Asthma,EUR_EAS,EUR_EAS_07,EAS,0.4
Asthma,EUR_EAS,EUR_EAS_07,AFR,0
Asthma,EUR_EAS,EUR_EAS_07,CSA,0
Asthma,EUR_EAS,EUR_EAS_07,AMR,0
Asthma,EUR_EAS,EUR_EAS_08,EUR,0.7
Asthma,EUR_EAS,EUR_EAS_08,EAS,0.3
Asthma,EUR_EAS,EUR_EAS_08,AFR,0
Asthma,EUR_EAS,EUR_EAS_08,CSA,0
Asthma,EUR_EAS,EUR_EAS_08,AMR,0
Asthma,EUR_EAS,EUR_EAS_09,EUR,0.8
Asthma,EUR_EAS,EUR_EAS_09,EAS,0.2
Asthma,EUR_EAS,EUR_EAS_09,AFR,0
Asthma,EUR_EAS,EUR_EAS_09,CSA,0
Asthma,EUR_EAS,EUR_EAS_09,AMR,0
Asthma,EUR_EAS,EUR_EAS_10,EUR,0.9
Asthma,EUR_EAS,EUR_EAS_10,EAS,0.1
Asthma,EUR_EAS,EUR_EAS_10,AFR,0
Asthma,EUR_EAS,EUR_EAS_10,CSA,0
Asthma,EUR_EAS,EUR_EAS_10,AMR,0
Asthma,EUR_EAS,EUR_EAS_11,EUR,1
Asthma,EUR_EAS,EUR_EAS_11,EAS,0
Asthma,EUR_EAS,EUR_EAS_11,AFR,0
Asthma,EUR_EAS,EUR_EAS_11,CSA,0
Asthma,EUR_EAS,EUR_EAS_11,AMR,0
Asthma,EUR_AFR,EUR_AFR_01,EUR,0
Asthma,EUR_AFR,EUR_AFR_01,EAS,0
Asthma,EUR_AFR,EUR_AFR_01,AFR,1
Asthma,EUR_AFR,EUR_AFR_01,CSA,0
Asthma,EUR_AFR,EUR_AFR_01,AMR,0
Asthma,EUR_AFR,EUR_AFR_02,EUR,0.1
Asthma,EUR_AFR,EUR_AFR_02,EAS,0
Asthma,EUR_AFR,EUR_AFR_02,AFR,0.9
Asthma,EUR_AFR,EUR_AFR_02,CSA,0
Asthma,EUR_AFR,EUR_AFR_02,AMR,0
Asthma,EUR_AFR,EUR_AFR_03,EUR,0.2
Asthma,EUR_AFR,EUR_AFR_03,EAS,0
Asthma,EUR_AFR,EUR_AFR_03,AFR,0.8
Asthma,EUR_AFR,EUR_AFR_03,CSA,0
Asthma,EUR_AFR,EUR_AFR_03,AMR,0
Asthma,EUR_AFR,EUR_AFR_04,EUR,0.3
Asthma,EUR_AFR,EUR_AFR_04,EAS,0
Asthma,EUR_AFR,EUR_AFR_04,AFR,0.7
Asthma,EUR_AFR,EUR_AFR_04,CSA,0
Asthma,EUR_AFR,EUR_AFR_04,AMR,0
Asthma,EUR_AFR,EUR_AFR_05,EUR,0.4
Asthma,EUR_AFR,EUR_AFR_05,EAS,0
Asthma,EUR_AFR,EUR_AFR_05,AFR,0.6
Asthma,EUR_AFR,EUR_AFR_05,CSA,0
Asthma,EUR_AFR,EUR_AFR_05,AMR,0
Asthma,EUR_AFR,EUR_AFR_06,EUR,0.5
Asthma,EUR_AFR,EUR_AFR_06,EAS,0
Asthma,EUR_AFR,EUR_AFR_06,AFR,0.5
Asthma,EUR_AFR,EUR_AFR_06,CSA,0
Asthma,EUR_AFR,EUR_AFR_06,AMR,0
Asthma,EUR_AFR,EUR_AFR_07,EUR,0.6
Asthma,EUR_AFR,EUR_AFR_07,EAS,0
Asthma,EUR_AFR,EUR_AFR_07,AFR,0.4
Asthma,EUR_AFR,EUR_AFR_07,CSA,0
Asthma,EUR_AFR,EUR_AFR_07,AMR,0
Asthma,EUR_AFR,EUR_AFR_08,EUR,0.7
Asthma,EUR_AFR,EUR_AFR_08,EAS,0
Asthma,EUR_AFR,EUR_AFR_08,AFR,0.3
Asthma,EUR_AFR,EUR_AFR_08,CSA,0
Asthma,EUR_AFR,EUR_AFR_08,AMR,0
Asthma,EUR_AFR,EUR_AFR_09,EUR,0.8
Asthma,EUR_AFR,EUR_AFR_09,EAS,0
Asthma,EUR_AFR,EUR_AFR_09,AFR,0.2
Asthma,EUR_AFR,EUR_AFR_09,CSA,0
Asthma,EUR_AFR,EUR_AFR_09,AMR,0
Asthma,EUR_AFR,EUR_AFR_10,EUR,0.9
Asthma,EUR_AFR,EUR_AFR_10,EAS,0
Asthma,EUR_AFR,EUR_AFR_10,AFR,0.1
Asthma,EUR_AFR,EUR_AFR_10,CSA,0
Asthma,EUR_AFR,EUR_AFR_10,AMR,0
Asthma,EUR_AFR,EUR_AFR_11,EUR,1
Asthma,EUR_AFR,EUR_AFR_11,EAS,0
Asthma,EUR_AFR,EUR_AFR_11,AFR,0
Asthma,EUR_AFR,EUR_AFR_11,CSA,0
Asthma,EUR_AFR,EUR_AFR_11,AMR,0
Asthma,multi,equal,EUR,0.2
Asthma,multi,equal,EAS,0.2
Asthma,multi,equal,AFR,0.2
Asthma,multi,equal,CSA,0.2
Asthma,multi,equal,AMR,0.2
Asthma,multi,reported,EUR,0.764818709523947
Asthma,multi,reported,EAS,0.189640798305036
Asthma,multi,reported,AFR,0.018151279560163
Asthma,multi,reported,CSA,0.0172886797108957
Asthma,multi,reported,AMR,0.0101005328999584
Asthma,multi,w50rest,EUR,0.5
Asthma,multi,w50rest,EAS,0.125
Asthma,multi,w50rest,AFR,0.125
Asthma,multi,w50rest,CSA,0.125
