trait,delta,comparison,mean_diff,sd,lo95,hi95
Asthma,0.001,MELD_lambda0_afproj − EUR,0.0750878609648577,0.00968463154008377,0.0562052881814925,0.0942868754982199
Asthma,0.001,MELD_lambda0_afproj − EAS,0.302925895873574,0.0223943911611607,0.261219080398827,0.34834739136792
Asthma,0.001,MELD_lambda0_afproj − AFR,0.40840812387623,0.0294959479345875,0.35126338960801,0.464450954279053
Asthma,0.001,MELD_lambda0_afproj − CSA,0.153218177894951,0.0174876106814788,0.117730137287069,0.186927421726533
Asthma,0.001,MELD_lambda0_afproj − AMR,0.159369776679172,0.0162530093818866,0.127306014683291,0.191942546211821
Asthma,0.001,MELD_lambda0_afproj − MELD_lambda0_equal,0.00701786702562045,0.00509750120525381,-0.00264726577211205,0.0173137685067065
Asthma,0.001,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.00163358993086451,0.000254125353956843,-0.00212365204211431,-0.00114081038054154
Asthma,0.001,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.00183066105711986,0.00160572679810676,-0.0050067290834135,0.00138281284423786
Asthma,0.01,MELD_lambda0_afproj − EUR,0.0275045116791313,0.00408190562066512,0.0197347110109961,0.035785022007863
Asthma,0.01,MELD_lambda0_afproj − EAS,0.159319878923429,0.0103401961563832,0.139477917406959,0.179076065004093
Asthma,0.01,MELD_lambda0_afproj − AFR,0.294704699802956,0.024931743511365,0.242661823165185,0.341077053512361
Asthma,0.01,MELD_lambda0_afproj − CSA,0.0813831753582982,0.0105181329813815,0.0616290320688892,0.101545624318186
Asthma,0.01,MELD_lambda0_afproj − AMR,0.104998248262184,0.011644777564909,0.0813241627889065,0.126142714944304
Asthma,0.01,MELD_lambda0_afproj − MELD_lambda0_equal,0.0154151551375849,0.00351151479299306,0.00885914379405988,0.0224335374782724
Asthma,0.01,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000265827625233282,0.000152797375218534,-0.00056075728510374,5.32768140059727e-05
Asthma,0.01,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.00131185827328554,0.000586830795177387,-0.00247785048456273,-0.000179911866703706
Asthma,0.1,MELD_lambda0_afproj − EUR,0.015889112251001,0.00214545058292533,0.0120060232399043,0.0205393304834771
Asthma,0.1,MELD_lambda0_afproj − EAS,0.121215463993901,0.00943138433706878,0.102857154942453,0.139099469814083
Asthma,0.1,MELD_lambda0_afproj − AFR,0.228052396291826,0.0200988771163727,0.187138747471405,0.266325346615649
Asthma,0.1,MELD_lambda0_afproj − CSA,0.0588584638101024,0.00749157920463075,0.0438570938459649,0.0735372102663586
Asthma,0.1,MELD_lambda0_afproj − AMR,0.0785135606706992,0.00699030027703262,0.0646345750567762,0.0918555934447952
Asthma,0.1,MELD_lambda0_afproj − MELD_lambda0_equal,0.0146077655303158,0.0029797623401848,0.00908390667823566,0.0209842338820852
Asthma,0.1,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000167010447608425,0.000112824908107559,-0.00038437592034416,4.89879802946786e-05
