trait,chr,block_id,candidate,delta,r2,m
Asthma,22,1,MELD_lambda0_afproj,0.001,0.920791145558825,157
Asthma,22,1,MELD_lambda0_reportN,0.001,0.921933428140127,157
Asthma,22,1,MELD_lambda0_equal,0.001,0.912754494234792,157
Asthma,22,1,MELD_lambda1_afproj,0.001,0.913821317804061,157
Asthma,22,1,EUR,0.001,0.870443252192669,157
Asthma,22,1,EAS,0.001,0.68492764351707,157
Asthma,22,1,AFR,0.001,0.786506013349517,157
Asthma,22,1,CSA,0.001,0.869544470952155,157
Asthma,22,1,AMR,0.001,0.846717615601341,157
Asthma,22,1,MELD_lambda0_afproj,0.01,0.915908614617,157
Asthma,22,1,MELD_lambda0_reportN,0.01,0.917701836196011,157
Asthma,22,1,MELD_lambda0_equal,0.01,0.913739456038711,157
Asthma,22,1,MELD_lambda1_afproj,0.01,0.910828287761708,157
Asthma,22,1,EUR,0.01,0.903025195196353,157
Asthma,22,1,EAS,0.01,0.72783273147968,157
Asthma,22,1,AFR,0.01,0.789548489980473,157
Asthma,22,1,CSA,0.01,0.901104585375411,157
Asthma,22,1,AMR,0.01,0.890402963085113,157
Asthma,22,1,MELD_lambda0_afproj,0.1,0.899493294638113,157
Asthma,22,1,MELD_lambda0_reportN,0.1,0.901437036230825,157
Asthma,22,1,MELD_lambda0_equal,0.1,0.910279634344969,157
Asthma,22,1,MELD_lambda1_afproj,0.1,0.902412426853783,157
Asthma,22,1,EUR,0.1,0.895858072452593,157
Asthma,22,1,EAS,0.1,0.743809321193264,157
Asthma,22,1,AFR,0.1,0.770486302085894,157
Asthma,22,1,CSA,0.1,0.907373619027939,157
Asthma,22,1,AMR,0.1,0.897269935288977,157
Asthma,22,2,MELD_lambda0_afproj,0.001,0.754339819224258,217
Asthma,22,2,MELD_lambda0_reportN,0.001,0.754631574663332,217
Asthma,22,2,MELD_lambda0_equal,0.001,0.709520529002993,217
Asthma,22,2,MELD_lambda1_afproj,0.001,0.752178832958024,217
Asthma,22,2,EUR,0.001,0.749479046820361,217
Asthma,22,2,EAS,0.001,0.517251924917231,217
Asthma,22,2,AFR,0.001,0.450853112324429,217
Asthma,22,2,CSA,0.001,0.647135495531734,217
Asthma,22,2,AMR,0.001,0.611395351576058,217
Asthma,22,2,MELD_lambda0_afproj,0.01,0.767251337941642,217
Asthma,22,2,MELD_lambda0_reportN,0.01,0.766518926411535,217
Asthma,22,2,MELD_lambda0_equal,0.01,0.711410102209616,217
Asthma,22,2,MELD_lambda1_afproj,0.01,0.765604761181609,217
Asthma,22,2,EUR,0.01,0.766153510245214,217
Asthma,22,2,EAS,0.01,0.522521219659097,217
Asthma,22,2,AFR,0.01,0.486103710530889,217
Asthma,22,2,CSA,0.01,0.699556071576989,217
Asthma,22,2,AMR,0.01,0.707222221290088,217
Asthma,22,2,MELD_lambda0_afproj,0.1,0.757196100916999,217
