trait,stage,pop,count
Asthma,raw_meta,meta,511059
Asthma,raw_arm,AFR,264852
Asthma,raw_arm,AMR,153836
Asthma,raw_arm,EAS,154888
Asthma,raw_arm,EUR,371324
Asthma,raw_arm,CSA,108422
Asthma,stage1_hm3,meta,14489
Asthma,stage1_hm3,AFR,14344
Asthma,stage1_hm3,AMR,14321
Asthma,stage1_hm3,EAS,13566
Asthma,stage1_hm3,EUR,14481
Asthma,stage1_hm3,CSA,13450
Asthma,stage2_arm_intersect,all,12839
Asthma,stage3_N_filter_10pct,all,11803
Asthma,stage3_N_filter_5pct_sens,all,11281
Asthma,stage3_N_filter_20pct_sens,all,11803
Asthma,stage4_allele_harmonise,all,11803
COPD,raw_meta,meta,471024
COPD,raw_arm,AFR,255574
COPD,raw_arm,AMR,140473
COPD,raw_arm,EAS,126079
COPD,raw_arm,EUR,349291
COPD,stage1_hm3,meta,14488
COPD,stage1_hm3,AFR,14333
COPD,stage1_hm3,AMR,14157
COPD,stage1_hm3,EAS,12796
COPD,stage1_hm3,EUR,14476
COPD,stage2_arm_intersect,all,12572
COPD,stage3_N_filter_10pct,all,11690
COPD,stage3_N_filter_5pct_sens,all,7121
COPD,stage3_N_filter_20pct_sens,all,11690
COPD,stage4_allele_harmonise,all,11690
Gout,raw_meta,meta,508786
Gout,raw_arm,AFR,271248
Gout,raw_arm,AMR,153026
Gout,raw_arm,EAS,140275
Gout,raw_arm,EUR,363301
Gout,stage1_hm3,meta,14489
Gout,stage1_hm3,AFR,14354
Gout,stage1_hm3,AMR,14183
Gout,stage1_hm3,EAS,12826
Gout,stage1_hm3,EUR,14475
Gout,stage2_arm_intersect,all,12616
Gout,stage3_N_filter_10pct,all,11722
Gout,stage3_N_filter_5pct_sens,all,7128
Gout,stage3_N_filter_20pct_sens,all,11722
Gout,stage4_allele_harmonise,all,11722
HF,raw_meta,meta,480026
HF,raw_arm,AFR,261425
HF,raw_arm,AMR,89139
HF,raw_arm,EAS,121533
HF,raw_arm,EUR,339055
HF,stage1_hm3,meta,14488
HF,stage1_hm3,AFR,14341
HF,stage1_hm3,AMR,12089
HF,stage1_hm3,EAS,12602
HF,stage1_hm3,EUR,14472
HF,stage2_arm_intersect,all,11021
HF,stage3_N_filter_10pct,all,10625
HF,stage3_N_filter_5pct_sens,all,7087
HF,stage3_N_filter_20pct_sens,all,10625
HF,stage4_allele_harmonise,all,10625
IPF,raw_meta,meta,420129
IPF,raw_arm,AFR,83197
IPF,raw_arm,AMR,89139
IPF,raw_arm,EAS,121497
IPF,raw_arm,EUR,343769
IPF,stage1_hm3,meta,14484
IPF,stage1_hm3,AFR,11967
IPF,stage1_hm3,AMR,12089
IPF,stage1_hm3,EAS,12599
IPF,stage1_hm3,EUR,14470
IPF,stage2_arm_intersect,all,10957
IPF,stage3_N_filter_10pct,all,10563
IPF,stage3_N_filter_5pct_sens,all,10398
IPF,stage3_N_filter_20pct_sens,all,10563
IPF,stage4_allele_harmonise,all,10563
Stroke,raw_meta,meta,467652
Stroke,raw_arm,AFR,247478
Stroke,raw_arm,AMR,89141
Stroke,raw_arm,EAS,92064
Stroke,raw_arm,EUR,366917
Stroke,stage1_hm3,meta,14488
Stroke,stage1_hm3,AFR,14240
Stroke,stage1_hm3,AMR,12089
Stroke,stage1_hm3,EAS,12125
Stroke,stage1_hm3,EUR,14478
Stroke,stage2_arm_intersect,all,10745
Stroke,stage3_N_filter_10pct,all,10275
Stroke,stage3_N_filter_5pct_sens,all,6803
Stroke,stage3_N_filter_20pct_sens,all,10275
Stroke,stage4_allele_harmonise,all,10275
VTE,raw_meta,meta,431571
VTE,raw_arm,AFR,262275
VTE,raw_arm,AMR,89135
VTE,raw_arm,EAS,66385
VTE,raw_arm,EUR,312757
VTE,stage1_hm3,meta,14486
VTE,stage1_hm3,AFR,14347
VTE,stage1_hm3,AMR,12089
VTE,stage1_hm3,EAS,10779
VTE,stage1_hm3,EUR,14460
VTE,stage2_arm_intersect,all,10734
VTE,stage3_N_filter_10pct,all,10563
VTE,stage3_N_filter_5pct_sens,all,6953
VTE,stage3_N_filter_20pct_sens,all,10563
VTE,stage4_allele_harmonise,all,10563
