trait,pop,w_afproj,w_N,N_median,discrepancy_afproj_minus_N
Asthma,EUR,0.745047674504767,0.764818709523947,1376071,-0.0197710350191798
Asthma,EAS,0.191086819108682,0.189640798305036,341204,0.00144602080364614
Asthma,AFR,0.0113533011353301,0.018151279560163,32658,-0.00679797842483289
Asthma,CSA,0.0158363015836302,0.0172886797108957,31106,-0.0014523781272655
Asthma,AMR,0.0112462011246201,0.0101005328999584,18173,0.00114566822466169
Asthma,MID,0.0254297025429703,,,
COPD,EUR,0.7117522,0.726724984639723,995917,-0.0149727846397231
COPD,EAS,0.2486606,0.24060761023279,329733,0.00805298976720972
COPD,AFR,0.0146071,0.0216590850382876,29682,-0.00705198503828759
COPD,CSA,0.0168727,,,
COPD,AMR,0.0075647,0.0110083200891991,15086,-0.00344362008919906
COPD,MID,0.0005427,,,
Gout,EUR,0.704662129533787,0.723077779886305,1051653,-0.0184156503525176
Gout,EAS,0.248279375172063,0.240206351432744,349359,0.00807302373931851
Gout,AFR,0.0160423983957602,0.0242118464369106,35214,-0.00816944804115043
Gout,CSA,0.0229400977059902,,,
Gout,AMR,0.00807599919240008,0.0125040222440409,18186,-0.00442802305164081
Gout,MID,0,,,
HF,EUR,0.755602,0.770750280598025,1020441,-0.015148280598025
HF,EAS,0.1989977,0.194815847632629,257928,0.00418185236737117
HF,AFR,0.0142096,0.0235672128572054,31202,-0.00935761285720544
HF,CSA,0.0204765,,,
HF,AMR,0.0107142,0.0108666589121407,14387,-0.000152458912140717
HF,MID,0,,,
IPF,EUR,0.757714124228588,0.7737451330305,953873,-0.0160310088019121
IPF,EAS,0.209552879044712,0.207348312783907,255619,0.00220456626080554
IPF,AFR,0.00392099960790004,0.00692488643737833,8537,-0.00300388682947829
IPF,CSA,0.0184475981552402,,,
IPF,AMR,0.0103643989635601,0.0119816677482154,14771,-0.00161726878465534
IPF,MID,0,,,
Stroke,EUR,0.7664579,0.770510166032471,1039382,-0.00405226603247111
Stroke,EAS,0.2002212,0.19936202373248,268930,0.000859176267520051
Stroke,AFR,0.0104259,0.0189606309485949,25577,-0.00853473094859495
Stroke,CSA,0.0137159,,,
Stroke,AMR,0.0091791,0.011167179286454,15064,-0.00198807928645401
Stroke,MID,0,,,
VTE,EUR,0.876803087680309,0.881026062313681,915868,-0.00422297463337218
VTE,EAS,0.0744236074423607,0.0747008071785114,77655,-0.00027719973615066
VTE,AFR,0.0179830017983002,0.0312713133701507,32508,-0.0132883115718505
VTE,CSA,0.0184899018489902,,,
VTE,AMR,0.0123004012300401,0.0130018171376571,13516,-0.000701415907616954
VTE,MID,0,,,
