trait,delta,candidate,mean,sd,lo95,hi95
Asthma,0.001,MELD_lambda0_afproj,0.892409985286779,0.0102013583040864,0.87165626050678,0.910847728441628
Asthma,0.001,MELD_lambda0_reportN,0.893093016416362,0.0104678680486947,0.871120214578048,0.912622092392239
Asthma,0.001,MELD_lambda0_equal,0.880190105848378,0.0121265457300848,0.85438471964275,0.902282551690515
Asthma,0.001,MELD_lambda1_afproj,0.890035213468896,0.0101679592475765,0.868882669108365,0.907842727550538
Asthma,0.001,EUR,0.848745878241549,0.0139594864397544,0.820450528351077,0.87411339303568
Asthma,0.001,EAS,0.651760594292004,0.0238117599348663,0.607185510502353,0.699376522059039
Asthma,0.001,AFR,0.593877894416975,0.0286223708695675,0.541027436932935,0.651358824032161
Asthma,0.001,CSA,0.800874279008185,0.0161007884878409,0.76795630430164,0.831368136383622
Asthma,0.001,AMR,0.765977439023256,0.0189744789619227,0.728435880085386,0.802624390676769
Asthma,0.01,MELD_lambda0_afproj,0.907456103727787,0.00944787309747349,0.888188829323581,0.92485642850344
Asthma,0.01,MELD_lambda0_reportN,0.907828847085522,0.00917135446220952,0.889043814262616,0.924781052318427
Asthma,0.01,MELD_lambda0_equal,0.892490920914761,0.0101637215663748,0.871033112239129,0.911356502694048
Asthma,0.01,MELD_lambda1_afproj,0.905909755462557,0.00920129813909113,0.887212049268106,0.922924392292684
Asthma,0.01,EUR,0.890599557879106,0.0101722833769664,0.870058150869889,0.910355843314127
Asthma,0.01,EAS,0.765926767015439,0.0176622731570861,0.730865332530451,0.800817243832031
Asthma,0.01,AFR,0.683086673852494,0.0215056102575995,0.642207505040409,0.725985270092631
Asthma,0.01,CSA,0.850416210667302,0.0140192492611009,0.820256618627824,0.876611324309503
Asthma,0.01,AMR,0.833247648958426,0.0153612166062914,0.803373507011728,0.862804389243675
Asthma,0.1,MELD_lambda0_afproj,0.900027025077012,0.00919862181803082,0.881333535441866,0.917071316571926
Asthma,0.1,MELD_lambda0_reportN,0.900351976111903,0.00919202927537588,0.881620792574091,0.91779047698601
Asthma,0.1,MELD_lambda0_equal,0.886700077063032,0.00987776486385422,0.866283140463397,0.905043190863742
Asthma,0.1,MELD_lambda1_afproj,0.898106172561663,0.00928577772073963,0.879167070418651,0.916034179791572
Asthma,0.1,EUR,0.888804413625015,0.00989974698661196,0.868752364601063,0.906977602412787
Asthma,0.1,EAS,0.784957072746576,0.016416319655613,0.751483741503182,0.814427091794408
Asthma,0.1,AFR,0.716741213397919,0.0195187565197602,0.676402638098635,0.752609114002207
Asthma,0.1,CSA,0.853485591317995,0.0133091625712198,0.825691356113564,0.878999611750592
Asthma,0.1,AMR,0.843134218829154,0.0136507969893937,0.816656103450984,0.87023167534521
