trait,delta,comparison,mean_diff,sd,lo95,hi95
Asthma,0.001,MELD_lambda0_afproj − EUR,0.0436641070452304,0.00677202309557847,0.0311394128468498,0.0567285842884303
Asthma,0.001,MELD_lambda0_afproj − EAS,0.240649390994775,0.0226838256116778,0.19532188331786,0.282406479217474
Asthma,0.001,MELD_lambda0_afproj − AFR,0.298532090869804,0.0276440677135774,0.246970659860132,0.356468613392359
Asthma,0.001,MELD_lambda0_afproj − CSA,0.0915357062785945,0.0102901365355026,0.0707698165941294,0.111629777088757
Asthma,0.001,MELD_lambda0_afproj − AMR,0.126432546263523,0.0131051414800535,0.0993077439826295,0.151037527851171
Asthma,0.001,MELD_lambda0_afproj − MELD_lambda0_equal,0.0122198794384009,0.00560788679390626,0.00182143604851978,0.0235721079364803
Asthma,0.001,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000683031129583341,0.000436185960850645,-0.00145329795560801,0.000244187442589133
Asthma,0.001,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.00237477181788307,0.00113005033144841,-0.00462447618415362,-0.000154399939649122
Asthma,0.001,MELD_lambda0_equal − EUR,0.0314442276068296,0.00860442780542817,0.01488541479821,0.0476996524090599
Asthma,0.01,MELD_lambda0_afproj − EUR,0.0168565458486816,0.00265912259471741,0.0117964744056952,0.0221882997214564
Asthma,0.01,MELD_lambda0_afproj − EAS,0.141529336712349,0.0139317767496185,0.113789902274843,0.168046941620882
Asthma,0.01,MELD_lambda0_afproj − AFR,0.224369429875294,0.0166204231121691,0.191220209347394,0.256763301481069
Asthma,0.01,MELD_lambda0_afproj − CSA,0.0570398930604855,0.00747686136651804,0.0425984445849622,0.0716832423716508
Asthma,0.01,MELD_lambda0_afproj − AMR,0.0742084547693614,0.00920434582247638,0.056318357599274,0.0920063602840351
Asthma,0.01,MELD_lambda0_afproj − MELD_lambda0_equal,0.0149651828130266,0.00316756485367573,0.00841576425779157,0.0211033188187701
Asthma,0.01,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000372743357734636,0.000206909323135899,-0.000812871040664381,1.88069029289507e-06
Asthma,0.01,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.00154634826523045,0.000870636398530826,-0.00323143242701432,0.000250730110783408
Asthma,0.01,MELD_lambda0_equal − EUR,0.00189136303565501,0.00415810223640857,-0.00644078013095694,0.0100300337820814
Asthma,0.1,MELD_lambda0_afproj − EUR,0.011222611451997,0.00164448542033405,0.0079104532110989,0.0144364743166564
Asthma,0.1,MELD_lambda0_afproj − EAS,0.115069952330436,0.0105030388243523,0.0950448203629375,0.136121634255334
Asthma,0.1,MELD_lambda0_afproj − AFR,0.183285811679093,0.0130125291449919,0.157885113600379,0.208960306710488
Asthma,0.1,MELD_lambda0_afproj − CSA,0.0465414337590166,0.0067555910377048,0.0337273147269299,0.0606029418080161
Asthma,0.1,MELD_lambda0_afproj − AMR,0.0568928062478582,0.00723923322200267,0.0432148476768931,0.0707888680686505
Asthma,0.1,MELD_lambda0_afproj − MELD_lambda0_equal,0.0133269480139801,0.00252359940055094,0.00861051298347211,0.018346668470256
Asthma,0.1,MELD_lambda0_afproj − MELD_lambda0_reportN,-0.000324951034891406,0.000132257292213843,-0.000594482666230541,-7.93386562169628e-05
Asthma,0.1,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.0019208525153491,0.000957462087871335,-0.00378123947133604,-3.53376533400987e-05
Asthma,0.1,MELD_lambda0_equal − EUR,-0.00210433656198304,0.0030525906613828,-0.0082296355758877,0.00351821073316309
COPD,0.001,MELD_lambda0_afproj − EUR,0.0558591525430574,0.00995893700986961,0.0371119339570938,0.0761250576960998
COPD,0.001,MELD_lambda0_afproj − EAS,0.185713058717812,0.0224514776328853,0.141398670530812,0.229437584234846
COPD,0.001,MELD_lambda0_afproj − AFR,0.286867381576901,0.0155698207883978,0.255612686780386,0.316184929789435
COPD,0.001,MELD_lambda0_afproj − CSA,0.0971767208663769,0.0110816701122605,0.0749133756336285,0.118435300329869
COPD,0.001,MELD_lambda0_afproj − AMR,0.11582619342189,0.0169754696411624,0.083397449730324,0.148901001880554
COPD,0.001,MELD_lambda0_afproj − MELD_lambda0_equal,0.00126826544307028,0.00464555759028347,-0.00758336921033663,0.0101636884044181
COPD,0.001,MELD_lambda0_afproj − MELD_lambda0_reportN,0.00039337152919055,0.000477259350890344,-0.000501306049799402,0.00134710237653545
COPD,0.001,MELD_lambda1_afproj − MELD_lambda0_afproj,-0.0028559923734852,0.00112339358341766,-0.00507109003405024,-0.000590343009409042
COPD,0.001,MELD_lambda0_equal − EUR,0.0545908870999871,0.0122984633180372,0.0316889189985596,0.0796311125200806
COPD,0.01,MELD_lambda0_afproj − EUR,0.0285854535983264,0.00550722636065522,0.0176653214306333,0.0391384318466817
COPD,0.01,MELD_lambda0_afproj − EAS,0.113486434789559,0.0119906591121314,0.0904110714975258,0.137023228156554
COPD,0.01,MELD_lambda0_afproj − AFR,0.223655558708585,0.0133602652147086,0.196163547362441,0.248636363239961
COPD,0.01,MELD_lambda0_afproj − CSA,0.0560044995781683,0.00732759672875611,0.0423772949008846,0.07037658218661
COPD,0.01,MELD_lambda0_afproj − AMR,0.071751947335193,0.0134927222531118,0.0466371035802955,0.0997282177784517
COPD,0.01,MELD_lambda0_afproj − MELD_lambda0_equal,0.0105124938552589,0.00290703097885453,0.00505542985537197,0.016494626997628
