trait,chr,block_id,candidate,delta,r2,m
Asthma,22,1,MELD_lambda0_afproj,0.001,0.839538653697872,92
Asthma,22,1,MELD_lambda0_reportN,0.001,0.83778970809088,92
Asthma,22,1,MELD_lambda0_equal,0.001,0.797921149611094,92
Asthma,22,1,MELD_lambda1_afproj,0.001,0.838261293208027,92
Asthma,22,1,EUR,0.001,0.782222279630535,92
Asthma,22,1,EAS,0.001,0.683051874827741,92
Asthma,22,1,AFR,0.001,0.683013685652962,92
Asthma,22,1,CSA,0.001,0.791645297735318,92
Asthma,22,1,AMR,0.001,0.668679899070701,92
Asthma,22,1,MELD_lambda0_afproj,0.01,0.831846999497034,92
Asthma,22,1,MELD_lambda0_reportN,0.01,0.830169157060403,92
Asthma,22,1,MELD_lambda0_equal,0.01,0.793534498909124,92
Asthma,22,1,MELD_lambda1_afproj,0.01,0.830409390588707,92
Asthma,22,1,EUR,0.01,0.846683875144912,92
Asthma,22,1,EAS,0.01,0.722657212987178,92
Asthma,22,1,AFR,0.01,0.684870993352013,92
Asthma,22,1,CSA,0.01,0.807165839012112,92
Asthma,22,1,AMR,0.01,0.755281873926232,92
Asthma,22,1,MELD_lambda0_afproj,0.1,0.821812318060162,92
Asthma,22,1,MELD_lambda0_reportN,0.1,0.823027957780629,92
Asthma,22,1,MELD_lambda0_equal,0.1,0.803722721864772,92
Asthma,22,1,MELD_lambda1_afproj,0.1,0.823219861518014,92
Asthma,22,1,EUR,0.1,0.834291190821539,92
Asthma,22,1,EAS,0.1,0.72450792009364,92
Asthma,22,1,AFR,0.1,0.682500964140487,92
Asthma,22,1,CSA,0.1,0.796118134625577,92
Asthma,22,1,AMR,0.1,0.7800339196103,92
Asthma,22,2,MELD_lambda0_afproj,0.001,0.943946443340608,46
Asthma,22,2,MELD_lambda0_reportN,0.001,0.945519033431896,46
Asthma,22,2,MELD_lambda0_equal,0.001,0.886161651157735,46
Asthma,22,2,MELD_lambda1_afproj,0.001,0.952239998533417,46
Asthma,22,2,EUR,0.001,0.949538728671442,46
Asthma,22,2,EAS,0.001,0.443070998567859,46
Asthma,22,2,AFR,0.001,0.576977990486927,46
Asthma,22,2,CSA,0.001,0.900299924219164,46
Asthma,22,2,AMR,0.001,0.907605926173603,46
Asthma,22,2,MELD_lambda0_afproj,0.01,0.932589017961596,46
Asthma,22,2,MELD_lambda0_reportN,0.01,0.935465905092977,46
Asthma,22,2,MELD_lambda0_equal,0.01,0.886185897818384,46
Asthma,22,2,MELD_lambda1_afproj,0.01,0.939330635254254,46
Asthma,22,2,EUR,0.01,0.947263480825564,46
Asthma,22,2,EAS,0.01,0.485493271253142,46
Asthma,22,2,AFR,0.01,0.584164137478566,46
Asthma,22,2,CSA,0.01,0.880327627987628,46
Asthma,22,2,AMR,0.01,0.896431608582507,46
Asthma,22,2,MELD_lambda0_afproj,0.1,0.907640792025537,46
Asthma,22,2,MELD_lambda0_reportN,0.1,0.910090524217156,46
Asthma,22,2,MELD_lambda0_equal,0.1,0.887492808070028,46
Asthma,22,2,MELD_lambda1_afproj,0.1,0.906635106448052,46
Asthma,22,2,EUR,0.1,0.92846990105561,46
Asthma,22,2,EAS,0.1,0.613363907474182,46
Asthma,22,2,AFR,0.1,0.604758644360032,46
Asthma,22,2,CSA,0.1,0.867908963948342,46
Asthma,22,2,AMR,0.1,0.869974836554476,46
Asthma,22,4,MELD_lambda0_afproj,0.001,0.750356471491829,195
Asthma,22,4,MELD_lambda0_reportN,0.001,0.750421992702653,195
Asthma,22,4,MELD_lambda0_equal,0.001,0.735758748906494,195
Asthma,22,4,MELD_lambda1_afproj,0.001,0.752078129315912,195
Asthma,22,4,EUR,0.001,0.751198818891307,195
Asthma,22,4,EAS,0.001,0.325550445926803,195
Asthma,22,4,AFR,0.001,0.409198960786155,195
Asthma,22,4,CSA,0.001,0.631888431690603,195
Asthma,22,4,AMR,0.001,0.484535553709131,195
Asthma,22,4,MELD_lambda0_afproj,0.01,0.757455000552878,195
Asthma,22,4,MELD_lambda0_reportN,0.01,0.757394440133191,195
Asthma,22,4,MELD_lambda0_equal,0.01,0.737284079507718,195
Asthma,22,4,MELD_lambda1_afproj,0.01,0.761953857744437,195
Asthma,22,4,EUR,0.01,0.752738772498179,195
Asthma,22,4,EAS,0.01,0.438713881340926,195
Asthma,22,4,AFR,0.01,0.439391011432653,195
Asthma,22,4,CSA,0.01,0.659888795658006,195
Asthma,22,4,AMR,0.01,0.579809370854384,195
Asthma,22,4,MELD_lambda0_afproj,0.1,0.752760722207477,195
Asthma,22,4,MELD_lambda0_reportN,0.1,0.753055273601425,195
Asthma,22,4,MELD_lambda0_equal,0.1,0.736707604576154,195
Asthma,22,4,MELD_lambda1_afproj,0.1,0.761733343036126,195
Asthma,22,4,EUR,0.1,0.725693725226486,195
Asthma,22,4,EAS,0.1,0.519274047191066,195
Asthma,22,4,AFR,0.1,0.477798936664959,195
Asthma,22,4,CSA,0.1,0.66563393248049,195
Asthma,22,4,AMR,0.1,0.636261377444531,195
Asthma,22,5,MELD_lambda0_afproj,0.001,0.968004346848688,86
Asthma,22,5,MELD_lambda0_reportN,0.001,0.968484737797466,86
Asthma,22,5,MELD_lambda0_equal,0.001,0.963521010114851,86
Asthma,22,5,MELD_lambda1_afproj,0.001,0.96753237490064,86
Asthma,22,5,EUR,0.001,0.94825915306484,86
Asthma,22,5,EAS,0.001,0.872886242041553,86
Asthma,22,5,AFR,0.001,0.818877511338524,86
Asthma,22,5,CSA,0.001,0.931172851495731,86
Asthma,22,5,AMR,0.001,0.930920324062618,86
Asthma,22,5,MELD_lambda0_afproj,0.01,0.967601671620642,86
Asthma,22,5,MELD_lambda0_reportN,0.01,0.968162937874127,86
Asthma,22,5,MELD_lambda0_equal,0.01,0.959876208902578,86
Asthma,22,5,MELD_lambda1_afproj,0.01,0.965322397566451,86
Asthma,22,5,EUR,0.01,0.960554162664952,86
Asthma,22,5,EAS,0.01,0.834804455544622,86
Asthma,22,5,AFR,0.01,0.816670184475336,86
Asthma,22,5,CSA,0.01,0.958044217058524,86
Asthma,22,5,AMR,0.01,0.931624052587991,86
Asthma,22,5,MELD_lambda0_afproj,0.1,0.969637393094564,86
Asthma,22,5,MELD_lambda0_reportN,0.1,0.969412869312143,86
Asthma,22,5,MELD_lambda0_equal,0.1,0.956527438028591,86
Asthma,22,5,MELD_lambda1_afproj,0.1,0.966452710887663,86
Asthma,22,5,EUR,0.1,0.966337440011182,86
