trait,delta,candidate,mean,sd,lo95,hi95
Asthma,0.001,MELD_lambda0_afproj,0.844875401636323,0.0114724455933503,0.823636912657976,0.867943854445742
Asthma,0.001,MELD_lambda0_reportN,0.841551847384153,0.0120595152984507,0.818524707143016,0.865248598587933
Asthma,0.001,MELD_lambda0_equal,0.890409476029739,0.0088750619843283,0.872616587205186,0.907404019122398
Asthma,0.001,MELD_lambda1_afproj,0.84683245238553,0.0110826659507557,0.826101259825247,0.86865824483378
Asthma,0.001,EUR,0.729634504083119,0.0214583008967754,0.686990138408258,0.77104175308224
Asthma,0.001,EAS,0.590164850085881,0.0248244520592913,0.543495008186094,0.639420966318049
Asthma,0.001,AFR,0.632418355277709,0.0276941596795831,0.578694292195399,0.685779280287559
Asthma,0.001,CSA,0.735067159065631,0.0188687759616756,0.697623901195004,0.771341715395702
Asthma,0.001,AMR,0.750161704457979,0.0191848887520809,0.7107064502089,0.786330775959872
Asthma,0.001,MID,0.765497809776592,0.0200731656678771,0.725437658746343,0.805821563802867
Asthma,0.01,MELD_lambda0_afproj,0.909580308577503,0.00873415061873003,0.892619758215274,0.926157051713276
Asthma,0.01,MELD_lambda0_reportN,0.909374875237559,0.0084718516024307,0.891770645347612,0.925001437971895
Asthma,0.01,MELD_lambda0_equal,0.90293276179066,0.00939879221628662,0.882462717739594,0.919741678215336
Asthma,0.01,MELD_lambda1_afproj,0.90967182173546,0.00841161344949859,0.892408818114742,0.925443230320436
Asthma,0.01,EUR,0.885041219728852,0.0104514039528381,0.863224048358847,0.904381594586369
Asthma,0.01,EAS,0.803831828294937,0.0137991073830927,0.775549584009142,0.830126539934475
Asthma,0.01,AFR,0.764651678747217,0.0136492142470492,0.738490288419796,0.791605353438076
Asthma,0.01,CSA,0.866902865785419,0.011270517337705,0.844410793549116,0.888211217155075
Asthma,0.01,AMR,0.877564641903565,0.0102954936617341,0.856668076649174,0.897485436113399
Asthma,0.01,MID,0.872107693677332,0.0108607699706047,0.850507255570295,0.892756147411004
Asthma,0.1,MELD_lambda0_afproj,0.909188170819538,0.00903593275423105,0.891114080226725,0.925904480974719
Asthma,0.1,MELD_lambda0_reportN,0.909277172681728,0.00905986534738526,0.890235667401527,0.925351127580227
Asthma,0.1,MELD_lambda0_equal,0.897849528527988,0.00937486681902592,0.879828141028787,0.915596231571732
Asthma,0.1,MELD_lambda1_afproj,0.908960329664798,0.00873006511510565,0.890540539861099,0.92443906788212
Asthma,0.1,EUR,0.900359178862997,0.00897549181915111,0.881358064326406,0.91685658668202
Asthma,0.1,EAS,0.832244873225295,0.0125508612090814,0.805736644003079,0.855730324464853
Asthma,0.1,AFR,0.779671565905441,0.0138583711145108,0.751661245104333,0.806325671751947
Asthma,0.1,CSA,0.878312275922516,0.0105220821032973,0.856399242490583,0.898173747223823
Asthma,0.1,AMR,0.890796934703388,0.00984681898589972,0.870777171539205,0.908065241401738
Asthma,0.1,MID,0.881852145171644,0.010252021857337,0.860404276716257,0.900806224095844
COPD,0.001,MELD_lambda0_afproj,0.821010487350279,0.013809304939215,0.794351794531737,0.847635509111414
COPD,0.001,MELD_lambda0_reportN,0.821859389254746,0.0135563286932357,0.796467598168948,0.849175615279351
COPD,0.001,MELD_lambda0_equal,0.876478283573122,0.00834896136436245,0.860431004532599,0.892562442201013
COPD,0.001,MELD_lambda1_afproj,0.819944439359011,0.0139799545769791,0.791612615735194,0.847451770187644
COPD,0.001,EUR,0.669400861605064,0.0273944848375552,0.612882577522474,0.721010951086741
COPD,0.001,EAS,0.594491574073154,0.0257330792342375,0.543423217243879,0.644012796053518
COPD,0.001,AFR,0.5774129854152,0.0249492356446214,0.529964551876872,0.626732359720427
COPD,0.001,CSA,0.689900051738501,0.02222055288629,0.647098891198589,0.73634625683069
COPD,0.001,AMR,0.692448329967147,0.0273290852647415,0.636662376482565,0.745329882637698
COPD,0.001,MID,0.722840152878338,0.0264691469719407,0.672336106140515,0.775115994717184
COPD,0.01,MELD_lambda0_afproj,0.893801958622125,0.00954594144494033,0.874676695685647,0.911426394481385
COPD,0.01,MELD_lambda0_reportN,0.89396582010046,0.0093481247141726,0.874737298819253,0.91101627527456
COPD,0.01,MELD_lambda0_equal,0.891118825340224,0.00910632855816294,0.871714023209177,0.907674546648575
COPD,0.01,MELD_lambda1_afproj,0.891829191693352,0.00995692955195357,0.870834421017054,0.90951431999524
COPD,0.01,EUR,0.854402068487302,0.0130389169044979,0.827871046657084,0.877967130386393
COPD,0.01,EAS,0.803358242688485,0.0137929412021346,0.774956333574128,0.830053804954812
COPD,0.01,AFR,0.729176258210788,0.0148549752685986,0.697953142600046,0.757467865779696
COPD,0.01,CSA,0.854555594805378,0.0103540010026323,0.833501336221936,0.874069182508244
COPD,0.01,AMR,0.843347755845925,0.0143895913737534,0.814386149036403,0.870172077639268
COPD,0.01,MID,0.845818963410133,0.0117413957565092,0.822356155254386,0.86869579397646
COPD,0.1,MELD_lambda0_afproj,0.895257826521105,0.00939526871152373,0.874947646728353,0.912331800096127
COPD,0.1,MELD_lambda0_reportN,0.895443706460012,0.00951446606100944,0.875140915561508,0.913020984618856
COPD,0.1,MELD_lambda0_equal,0.886812230501622,0.00935304702547776,0.867792208201936,0.904399018459689
COPD,0.1,MELD_lambda1_afproj,0.892439743248526,0.00978238922750239,0.870880074165658,0.910127271321568
COPD,0.1,EUR,0.877525404395746,0.00969773083552926,0.857271680276695,0.895185278664014
COPD,0.1,EAS,0.827938412755802,0.0126406779097352,0.802120818232123,0.852099717782932
COPD,0.1,AFR,0.753278829207795,0.0155010058328252,0.720792461861412,0.782934373321705
COPD,0.1,CSA,0.8682532961402,0.0101127419021367,0.846744423464705,0.886855324810942
COPD,0.1,AMR,0.866113969677084,0.0116439921572212,0.842009711796284,0.887692691510343
COPD,0.1,MID,0.861076985310366,0.0105468589747693,0.839700425951281,0.880285731630015
Gout,0.001,MELD_lambda0_afproj,0.80025411703505,0.0162165386890755,0.768586965578509,0.831269586618589
Gout,0.001,MELD_lambda0_reportN,0.800279769471574,0.0165773042090706,0.767624679871297,0.832242671386406
Gout,0.001,MELD_lambda0_equal,0.861592812709719,0.0121250979404237,0.838021006741028,0.885096560513548
Gout,0.001,MELD_lambda1_afproj,0.803129404494998,0.0160301284414017,0.771420442715743,0.833211558241993
Gout,0.001,EUR,0.640588810414499,0.0214556715989283,0.599453167117333,0.683464489202113
Gout,0.001,EAS,0.606036471653438,0.0247008667691882,0.560340045964249,0.654605858140762
Gout,0.001,AFR,0.560985257823277,0.0289126636979859,0.507610838930485,0.62091116778107
Gout,0.001,CSA,0.668393781062154,0.0216644746159998,0.626190396113245,0.711228533585287
Gout,0.001,AMR,0.689748000612791,0.0276070694306288,0.633065621222313,0.74265605374565
Gout,0.001,MID,0.702089702586289,0.0232227010214909,0.656048772644689,0.747340749701768
Gout,0.01,MELD_lambda0_afproj,0.882248605078014,0.0097579840593939,0.861702202578564,0.90078806830912
Gout,0.01,MELD_lambda0_reportN,0.88186287705606,0.0096605675645337,0.862228671971004,0.900318911847573
