trait,chr,block_id,m,candidate,min_eig_pre,min_eig_post
Asthma,22,1,92,MELD_lambda0_afproj,-0.000244822366783163,-4.00267516058655e-16
Asthma,22,1,92,MELD_lambda0_reportN,-0.000256799930594355,-4.30184018424212e-16
Asthma,22,1,92,MELD_lambda0_equal,-0.000147557429250916,-4.67935586641573e-16
Asthma,22,1,92,MELD_lambda1_afproj,-0.000221233537903799,-8.96594772960307e-16
Asthma,22,1,92,EUR,-0.0137428967896365,-9.75757545451894e-16
Asthma,22,1,92,EAS,-0.0110537772812639,-7.94436317472918e-16
Asthma,22,1,92,AFR,-0.00172484347694525,-2.53506651130863e-16
Asthma,22,1,92,CSA,-0.00586723842699366,-5.27839147313053e-16
Asthma,22,1,92,AMR,-0.012941195136815,-1.00853922186772e-15
Asthma,22,1,92,MID,-0.000457459869188749,-3.41134087350515e-16
Asthma,22,2,46,MELD_lambda0_afproj,0.0124345815526151,0.0124345815526148
Asthma,22,2,46,MELD_lambda0_reportN,0.0116473918985237,0.0116473918985235
Asthma,22,2,46,MELD_lambda0_equal,0.0319436494127796,0.0319436494127792
Asthma,22,2,46,MELD_lambda1_afproj,0.0120359525724187,0.0120359525724184
Asthma,22,2,46,EUR,0.00581416636977485,0.00581416636977447
Asthma,22,2,46,EAS,0.0069675814039248,0.00696758140392472
Asthma,22,2,46,AFR,0.0366610807777409,0.0366610807777403
Asthma,22,2,46,CSA,0.010411999084282,0.010411999084282
Asthma,22,2,46,AMR,0.0170483097472223,0.017048309747222
Asthma,22,2,46,MID,0.0272683823339932,0.027268382333993
Asthma,22,4,195,MELD_lambda0_afproj,-0.0086651885016081,-8.61136198429302e-16
Asthma,22,4,195,MELD_lambda0_reportN,-0.00976332505667866,-1.40138619775837e-15
Asthma,22,4,195,MELD_lambda0_equal,-1.07752557352837e-05,-3.06459371498183e-16
Asthma,22,4,195,MELD_lambda1_afproj,-0.00787177517279825,-1.12082363520434e-15
Asthma,22,4,195,EUR,-0.0214930190377558,-1.73126434396961e-15
Asthma,22,4,195,EAS,-0.0187009656001279,-1.16152508240949e-15
Asthma,22,4,195,AFR,-0.000908284596517218,-5.28227664676346e-16
Asthma,22,4,195,CSA,-0.0189413637099747,-1.54113664376637e-15
Asthma,22,4,195,AMR,-0.0162439787526498,-1.02335488020557e-15
Asthma,22,4,195,MID,-0.00880101520816339,-6.19378927466582e-16
Asthma,22,5,86,MELD_lambda0_afproj,-0.00356238888687782,-1.30335404681854e-15
Asthma,22,5,86,MELD_lambda0_reportN,-0.00427681555443452,-6.63531382540888e-17
Asthma,22,5,86,MELD_lambda0_equal,-0.00097953253855705,1.10798503784706e-16
Asthma,22,5,86,MELD_lambda1_afproj,-0.00334208088076162,-6.94480741929854e-16
Asthma,22,5,86,EUR,-0.0186680666153091,-2.12122125275908e-15
Asthma,22,5,86,EAS,-0.0115935987804268,-4.47834869912507e-16
Asthma,22,5,86,AFR,-0.00095607593746192,-3.25126536628916e-16
Asthma,22,5,86,CSA,-0.00615302157783846,-1.36858471038294e-15
Asthma,22,5,86,AMR,-0.010744921604685,-4.27108763164242e-16
Asthma,22,5,86,MID,-0.000770548627959054,-3.09715732567772e-16
Asthma,22,6,31,MELD_lambda0_afproj,0.0142610414173338,0.0142610414173341
Asthma,22,6,31,MELD_lambda0_reportN,0.0134640560397893,0.0134640560397892
Asthma,22,6,31,MELD_lambda0_equal,0.0398152553713194,0.0398152553713188
Asthma,22,6,31,MELD_lambda1_afproj,0.0135968435967363,0.013596843596736
Asthma,22,6,31,EUR,0.00592826148606359,0.00592826148606389
Asthma,22,6,31,EAS,0.0057352627124614,0.00573526271246176
Asthma,22,6,31,AFR,0.0697111987261409,0.0697111987261409
Asthma,22,6,31,CSA,0.0272664650346547,0.0272664650346546
Asthma,22,6,31,AMR,0.0126668549234765,0.0126668549234764
Asthma,22,6,31,MID,0.0540277791711575,0.0540277791711568
Asthma,22,7,293,MELD_lambda0_afproj,-0.0355234996702563,-2.35912232368497e-15
Asthma,22,7,293,MELD_lambda0_reportN,-0.0377361916362404,-2.2778810303562e-15
Asthma,22,7,293,MELD_lambda0_equal,-0.00848137358467901,-1.63726994361424e-15
Asthma,22,7,293,MELD_lambda1_afproj,-0.0339734008078664,-2.69315189111783e-15
Asthma,22,7,293,EUR,-0.0669183273954203,-4.41149256658173e-15
Asthma,22,7,293,EAS,-0.0529311481040406,-3.82284355031335e-15
Asthma,22,7,293,AFR,-0.0359695681261744,-2.16154674537368e-15
Asthma,22,7,293,CSA,-0.0474745528118247,-4.07965583852453e-15
Asthma,22,7,293,AMR,-0.0560880078738182,-3.10129187742706e-15
Asthma,22,7,293,MID,-0.0411964104995987,-2.82310476102471e-15
Asthma,22,8,106,MELD_lambda0_afproj,-0.00269317167628179,1.66879870409268e-17
Asthma,22,8,106,MELD_lambda0_reportN,-0.00296804793591653,-2.20148125663236e-16
Asthma,22,8,106,MELD_lambda0_equal,-0.000129060643391613,3.34396573336433e-16
Asthma,22,8,106,MELD_lambda1_afproj,-0.00244432676310355,-4.77575317128664e-16
Asthma,22,8,106,EUR,-0.0142865723632455,-8.54388213816702e-16
Asthma,22,8,106,EAS,-0.00766576589197774,-5.48777516480269e-16
Asthma,22,8,106,AFR,-0.000954720719105568,6.65112557738501e-16
Asthma,22,8,106,CSA,-0.00381954506980859,-1.78212865864173e-15
Asthma,22,8,106,AMR,-0.0059833708777772,-7.47111132108279e-16
Asthma,22,8,106,MID,1.95708295580986e-17,-4.34784649693297e-16
Asthma,22,10,224,MELD_lambda0_afproj,-0.0200155683793128,-1.73328546307186e-15
Asthma,22,10,224,MELD_lambda0_reportN,-0.0209842620603484,-1.72957147816749e-15
Asthma,22,10,224,MELD_lambda0_equal,-0.00210097393556452,-1.24952961047844e-15
Asthma,22,10,224,MELD_lambda1_afproj,-0.0187451994507483,-2.20225824808526e-15
Asthma,22,10,224,EUR,-0.0421497822347343,-2.27813937762053e-15
Asthma,22,10,224,EAS,-0.032795291687175,-2.29974066561965e-15
Asthma,22,10,224,AFR,-0.012607174942818,-7.11214933990816e-16
Asthma,22,10,224,CSA,-0.0319454889045958,-2.67390360558259e-15
Asthma,22,10,224,AMR,-0.0315140954316594,-1.87438360474368e-15
Asthma,22,10,224,MID,-0.0227066532000105,-1.33837974579557e-15
Asthma,22,11,163,MELD_lambda0_afproj,-0.0317110985769806,-2.97857729006677e-15
Asthma,22,11,163,MELD_lambda0_reportN,-0.0330504548463618,-3.02326307787121e-15
Asthma,22,11,163,MELD_lambda0_equal,-0.00499690709903784,-1.40448432042036e-15
Asthma,22,11,163,MELD_lambda1_afproj,-0.0304311972878172,-3.15492175566497e-15
Asthma,22,11,163,EUR,-0.0515185108357202,-4.18238387843475e-15
Asthma,22,11,163,EAS,-0.0334031206925946,-3.02283883409244e-15
Asthma,22,11,163,AFR,-0.0216300214390498,-2.79150132569771e-15
Asthma,22,11,163,CSA,-0.0359155744887416,-2.3460704582505e-15
Asthma,22,11,163,AMR,-0.03774063407369,-3.07556874997643e-15
Asthma,22,11,163,MID,-0.0304274895414074,-2.56109390528739e-15
Asthma,22,12,55,MELD_lambda0_afproj,-0.00847185689786794,-1.46665049610771e-15
Asthma,22,12,55,MELD_lambda0_reportN,-0.00887112718625845,-1.40271641656003e-15
Asthma,22,12,55,MELD_lambda0_equal,-0.00278949612937377,-2.82151857553441e-16
Asthma,22,12,55,MELD_lambda1_afproj,-0.00696404772296396,-9.56934365873965e-16
Asthma,22,12,55,EUR,-0.018627564568041,-2.1082456874564e-15
Asthma,22,12,55,EAS,-0.0163902493174707,-1.0132237253819e-15
Asthma,22,12,55,AFR,-0.00248559639008957,-8.74205466013094e-16
Asthma,22,12,55,CSA,-0.0110634153625116,-1.74304875596831e-15
Asthma,22,12,55,AMR,-0.0233635757978012,-1.01286246500442e-15
Asthma,22,12,55,MID,-0.00843669311218576,-9.90910326253579e-16
Asthma,22,13,95,MELD_lambda0_afproj,-0.0116397635439495,-1.1006134435826e-15
Asthma,22,13,95,MELD_lambda0_reportN,-0.0124852929926435,-1.25187866751157e-15
Asthma,22,13,95,MELD_lambda0_equal,-3.36591508502092e-05,4.18068357131763e-16
Asthma,22,13,95,MELD_lambda1_afproj,-0.0112952963600063,-7.27583327096162e-16
Asthma,22,13,95,EUR,-0.0230292521409543,-2.23138965547512e-15
Asthma,22,13,95,EAS,-0.0172625766097872,-1.52232330931733e-15
Asthma,22,13,95,AFR,-0.002805937706608,-1.34960619693777e-16
Asthma,22,13,95,CSA,-0.0155456422997071,-9.85395025169809e-16
Asthma,22,13,95,AMR,-0.0199922896727062,-9.51273550907579e-16
