trait,delta,candidate,mean,sd,lo95,hi95,source
Asthma,0.01,MELD_lambda0_afproj,0.909580308577503,0.00873415061873003,0.892619758215274,0.926157051713276,R9_UKB
Asthma,0.01,MELD_lambda0_reportN,0.909374875237559,0.0084718516024307,0.891770645347612,0.925001437971895,R9_UKB
Asthma,0.01,MELD_lambda0_equal,0.90293276179066,0.00939879221628662,0.882462717739594,0.919741678215336,R9_UKB
Asthma,0.01,MELD_lambda1_afproj,0.90967182173546,0.00841161344949859,0.892408818114742,0.925443230320436,R9_UKB
Asthma,0.01,EUR,0.885041219728852,0.0104514039528381,0.863224048358847,0.904381594586369,R9_UKB
Asthma,0.01,EAS,0.803831828294937,0.0137991073830927,0.775549584009142,0.830126539934475,R9_UKB
Asthma,0.01,AFR,0.764651678747217,0.0136492142470492,0.738490288419796,0.791605353438076,R9_UKB
Asthma,0.01,CSA,0.866902865785419,0.011270517337705,0.844410793549116,0.888211217155075,R9_UKB
Asthma,0.01,AMR,0.877564641903565,0.0102954936617341,0.856668076649174,0.897485436113399,R9_UKB
Asthma,0.01,MID,0.872107693677332,0.0108607699706047,0.850507255570295,0.892756147411004,R9_UKB
COPD,0.01,MELD_lambda0_afproj,0.893801958622125,0.00954594144494033,0.874676695685647,0.911426394481385,R9_UKB
COPD,0.01,MELD_lambda0_reportN,0.89396582010046,0.0093481247141726,0.874737298819253,0.91101627527456,R9_UKB
COPD,0.01,MELD_lambda0_equal,0.891118825340224,0.00910632855816294,0.871714023209177,0.907674546648575,R9_UKB
COPD,0.01,MELD_lambda1_afproj,0.891829191693352,0.00995692955195357,0.870834421017054,0.90951431999524,R9_UKB
COPD,0.01,EUR,0.854402068487302,0.0130389169044979,0.827871046657084,0.877967130386393,R9_UKB
COPD,0.01,EAS,0.803358242688485,0.0137929412021346,0.774956333574128,0.830053804954812,R9_UKB
COPD,0.01,AFR,0.729176258210788,0.0148549752685986,0.697953142600046,0.757467865779696,R9_UKB
COPD,0.01,CSA,0.854555594805378,0.0103540010026323,0.833501336221936,0.874069182508244,R9_UKB
COPD,0.01,AMR,0.843347755845925,0.0143895913737534,0.814386149036403,0.870172077639268,R9_UKB
COPD,0.01,MID,0.845818963410133,0.0117413957565092,0.822356155254386,0.86869579397646,R9_UKB
Gout,0.01,MELD_lambda0_afproj,0.882248605078014,0.0097579840593939,0.861702202578564,0.90078806830912,R9_UKB
Gout,0.01,MELD_lambda0_reportN,0.88186287705606,0.0096605675645337,0.862228671971004,0.900318911847573,R9_UKB
Gout,0.01,MELD_lambda0_equal,0.879792551426154,0.0100369427449469,0.8594228143181,0.898102927528574,R9_UKB
Gout,0.01,MELD_lambda1_afproj,0.880462456933817,0.00990979378193134,0.859723826601239,0.898337271401098,R9_UKB
Gout,0.01,EUR,0.839316490245791,0.0116284133951793,0.816112769224991,0.86160160405966,R9_UKB
Gout,0.01,EAS,0.808093769619218,0.0133144783336955,0.782873145879501,0.83451450912718,R9_UKB
Gout,0.01,AFR,0.722722781853021,0.015342435043479,0.692718508177039,0.751834168969374,R9_UKB
Gout,0.01,CSA,0.833677050062722,0.0128257708051163,0.806935002572364,0.857584944902935,R9_UKB
Gout,0.01,AMR,0.832068808282212,0.0187645221930156,0.792177335075682,0.86489865481186,R9_UKB
Gout,0.01,MID,0.832905680235093,0.013834714876976,0.805854163580605,0.858999419699777,R9_UKB
HF,0.01,MELD_lambda0_afproj,0.898601472800082,0.00879222955192717,0.881138735356524,0.915703834649604,R9_UKB
HF,0.01,MELD_lambda0_reportN,0.898618432932923,0.00885203605245445,0.880610351077313,0.916040847982602,R9_UKB
HF,0.01,MELD_lambda0_equal,0.891012720856755,0.00928827982722588,0.871197190955503,0.907500451807806,R9_UKB
HF,0.01,MELD_lambda1_afproj,0.897427091661841,0.00914171856593968,0.878749328867794,0.914289469593573,R9_UKB
HF,0.01,EUR,0.864343300687913,0.00936510426607306,0.846020275922169,0.883420284074988,R9_UKB
HF,0.01,EAS,0.81893257707838,0.010424546773473,0.799156970043723,0.839555626001087,R9_UKB
HF,0.01,AFR,0.748857691200287,0.0125717341234165,0.724388244753638,0.773905014401367,R9_UKB
HF,0.01,CSA,0.85422685431444,0.0107074067856962,0.833674056925757,0.875366544025425,R9_UKB
HF,0.01,AMR,0.858435202938599,0.0114721479129125,0.835934140399506,0.880210735035771,R9_UKB
HF,0.01,MID,0.854527147013999,0.012303772830187,0.830082292122693,0.878850777440803,R9_UKB
IPF,0.01,MELD_lambda0_afproj,0.877869068967007,0.0102474320336124,0.857280069495496,0.897529261824949,R9_UKB
