trait,quantity,R8_1KG,R9_UKB,change_R9_minus_R8
Asthma,MELD_lambda0 − EUR,0.0168565458486816,0.0245390888486506,0.007682542999969
Asthma,MELD_lambda0 − equal (composition),0.0149651828130266,0.00664754678684201,-0.00831763602618459
Asthma,equal − EUR (blending),0.00189136303565501,0.0178915420618086,0.0160001790261536
Asthma,MELD_lambda1 − MELD_lambda0,-0.00154634826523045,9.15131579577042e-05,0.00163786142318815
COPD,MELD_lambda0 − EUR,0.0285854535983264,0.039399890134823,0.0108144365364966
COPD,MELD_lambda0 − equal (composition),0.0105124938552589,0.00268313328190119,-0.00782936057335771
COPD,equal − EUR (blending),0.0180729597430675,0.0367167568529218,0.0186437971098543
COPD,MELD_lambda1 − MELD_lambda0,-0.00168977038215782,-0.00197276692877284,-0.00028299654661502
Gout,MELD_lambda0 − EUR,0.0334299939720912,0.0429321148322233,0.0095021208601321
Gout,MELD_lambda0 − equal (composition),0.012080873171479,0.00245605365186026,-0.00962481951961874
Gout,equal − EUR (blending),0.0213491208006122,0.0404760611803631,0.0191269403797509
Gout,MELD_lambda1 − MELD_lambda0,-0.00230299473639632,-0.00178614814419699,0.00051684659219933
HF,MELD_lambda0 − EUR,0.0315149910719802,0.0342581721121682,0.002743181040188
HF,MELD_lambda0 − equal (composition),0.0147309584651323,0.00758875194332698,-0.00714220652180532
HF,equal − EUR (blending),0.0167840326068479,0.0266694201688412,0.0098853875619933
HF,MELD_lambda1 − MELD_lambda0,-0.00131980363630322,-0.00117438113824067,0.00014542249806255
IPF,MELD_lambda0 − EUR,0.0254754383138925,0.0261330062987438,0.000657567984851302
IPF,MELD_lambda0 − equal (composition),0.0119403736766305,0.0014173822037898,-0.0105229914728407
IPF,equal − EUR (blending),0.0135350646372619,0.024715624094954,0.0111805594576921
IPF,MELD_lambda1 − MELD_lambda0,-0.00091189860649396,-0.00250426464963347,-0.00159236604313951
Stroke,MELD_lambda0 − EUR,0.0438055027701274,0.0521195223679559,0.0083140195978285
Stroke,MELD_lambda0 − equal (composition),0.00811895914600982,0.00034542300635468,-0.00777353613965514
Stroke,equal − EUR (blending),0.0356865436241176,0.0517740993616012,0.0160875557374836
Stroke,MELD_lambda1 − MELD_lambda0,0.00106887557608827,0.000813871810563179,-0.000255003765525091
VTE,MELD_lambda0 − EUR,0.0144319079195683,0.0174431874821841,0.0030112795626158
VTE,MELD_lambda0 − equal (composition),0.0182429219206419,0.0051012357180438,-0.0131416862025981
VTE,equal − EUR (blending),-0.00381101400107364,0.0123419517641403,0.0161529657652139
VTE,MELD_lambda1 − MELD_lambda0,0.000400872277543903,-0.000126997133165832,-0.000527869410709735
