trait,pop,w_qp_r8,w_qp_r9,w_r8_afproj_stored,delta_qp
Asthma,EUR,0.760612817799185,0.734182631967605,0.745047674504767,-0.0264301858315796
Asthma,EAS,0.187952742222114,0.21071280597518,0.191086819108682,0.0227600637530654
Asthma,AFR,0.00566485278252137,0.00824607995018279,0.0113533011353301,0.00258122716766142
Asthma,CSA,0.0243030539073496,0.0284254760137968,0.0158363015836302,0.00412242210644723
Asthma,AMR,0.0214665332888298,0.0184330060932354,0.0112462011246201,-0.00303352719559439
Asthma,MID,,0,0.0254297025429703,
COPD,EUR,0.704241556922261,0.668452526084589,0.7117522,-0.0357890308376712
COPD,EAS,0.249926103743552,0.272568766411603,0.2486606,0.022642662668051
COPD,AFR,0.00714936377633943,0.00913435228038751,0.0146071,0.00198498850404808
COPD,CSA,0.0198082234293368,0.0228532334372213,0.0168727,0.00304501000788453
COPD,AMR,0.0188747521285116,0.0269911217861992,0.0075647,0.00811636965768765
COPD,MID,,0,0.0005427,
Gout,EUR,0.697471856328806,0.660007271145041,0.704662129533787,-0.0374645851837646
Gout,EAS,0.249080279917274,0.271708102421529,0.248279375172063,0.0226278225042551
Gout,AFR,0.00857552025149046,0.0105350688177794,0.0160423983957602,0.00195954856628897
Gout,CSA,0.0251564958177177,0.0285549729097627,0.0229400977059902,0.00339847709204508
Gout,AMR,0.0197158476847127,0.0291945847058881,0.00807599919240008,0.00947873702117543
Gout,MID,,0,0,
HF,EUR,0.738635661360668,0.69936969473653,0.755602,-0.0392659666241376
HF,EAS,0.206625563091502,0.227428683070324,0.1989977,0.0208031199788218
HF,AFR,0.00552243874887411,0.00744308631355847,0.0142096,0.00192064756468435
HF,CSA,0.0280126897465248,0.0343100684888929,0.0204765,0.00629737874236812
HF,AMR,0.0212036470524309,0.0314484673906943,0.0107142,0.0102448203382634
HF,MID,,0,0,
IPF,EUR,0.741497785331004,0.705765140352976,0.757714124228588,-0.0357326449780285
IPF,EAS,0.218945647190877,0.240251176572042,0.209552879044712,0.021305529381165
IPF,AFR,0,5.46516489032761e-21,0.00392099960790004,5.46516489032761e-21
IPF,CSA,0.0195977021093706,0.0266871247493228,0.0184475981552402,0.00708942263995217
IPF,AMR,0.0199588653687481,0.0272965583256593,0.0103643989635601,0.00733769295691129
IPF,MID,,0,0,
Stroke,EUR,0.751265809795312,0.715294246511107,0.7664579,-0.0359715632842054
Stroke,EAS,0.204399308897604,0.225872625740843,0.2002212,0.0214733168432396
Stroke,AFR,0.00318124056089133,0.00465178974130758,0.0104259,0.00147054918041625
Stroke,CSA,0.0219429150898908,0.0269374421843116,0.0137159,0.00499452709442081
Stroke,AMR,0.0192107256563022,0.027243895822431,0.0091791,0.00803317016612879
Stroke,MID,,0,0,
VTE,EUR,0.850190205686262,0.818667642431031,0.876803087680309,-0.0315225632552315
VTE,EAS,0.0845544947624668,0.104935728610518,0.0744236074423607,0.020381233848051
VTE,AFR,0.0103283458287216,0.0123138916328056,0.0179830017983002,0.00198554580408402
VTE,CSA,0.0333885921999695,0.0439932011183444,0.0184899018489902,0.010604608918375
VTE,AMR,0.0215383615225798,0.0200895362073013,0.0123004012300401,-0.00144882531527855
VTE,MID,,0,0,
