gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_5e-08,0.40299193654641,0.0328750812402494,1.05979740145253e-31,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1e-06,0.405024823037777,0.0328428298793142,4.92851815735253e-32,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1e-04,0.41590047767494,0.0326669763734009,7.48796966318499e-34,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.01,0.42300480347848,0.0325490584816833,4.46651900839873e-35,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.1,0.41996292693992,0.0325998444483931,1.50594715271876e-34,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.2,0.412990346437503,0.0327145814140429,2.33078408139762e-33,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.3,0.409993157730476,0.0327631896240414,7.41898616992435e-33,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.4,0.406863624417928,0.0328134903635588,2.45453253713439e-32,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.5,0.406946705270316,0.0328121609845641,2.37818329583792e-32,777
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1,0.406438551771211,0.0328202868740607,2.88484595116286e-32,777
EUR,EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_0.8,0.428122221724058,0.0324626110146994,5.61962337235969e-36,777
EUR,EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1,0.429143753998002,0.03244520220816,3.69947603113235e-36,777
EUR,EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1.2,0.428016155610599,0.0324644156664339,5.86845507407592e-36,777
EUR,EUR,yengo_eur_ldeur,quickprs,yengo_eur_ldeur_quickprs,0.411516483469114,0.0327385376904249,4.12488304034354e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_5e-08,0.406334551341718,0.0328219484469281,3.00103736238772e-32,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_1e-06,0.413881611793969,0.0327000446170915,1.64811294637666e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_1e-04,0.416346546228592,0.032659643706322,6.28558885582883e-34,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.01,0.423713956701862,0.0325371546012139,3.35842431584141e-35,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.1,0.419457427313523,0.0326082409269551,1.84078872324297e-34,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.2,0.415016055992027,0.0326814867839788,1.05863777125859e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.3,0.414372826103858,0.0326920166043678,1.3609359193463e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.4,0.412270813734424,0.0327262896420078,3.08095065627896e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.5,0.411832946404854,0.0327334025759719,3.64993811776706e-33,777
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_1,0.411767907167774,0.03273445832909,3.74290318257704e-33,777
EUR,EAS,yengo_eur_ldeas,dbslmm,yengo_eur_ldeas_DBSLMM_0.8,0.38502128222792,0.0331518230361677,7.3479590250923e-29,777
EUR,EAS,yengo_eur_ldeas,dbslmm,yengo_eur_ldeas_DBSLMM_1,0.381773743981443,0.0332002488993078,2.2965422592396e-28,777
EUR,EAS,yengo_eur_ldeas,dbslmm,yengo_eur_ldeas_DBSLMM_1.2,0.378469211375113,0.0332490321186531,7.22732739109538e-28,777
EUR,EAS,yengo_eur_ldeas,quickprs,yengo_eur_ldeas_quickprs,0.277743672227448,0.034507754201752,3.13983181881643e-15,777
