gwas_pop,ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_diag
EUR,EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.01,0.42300480347848,0.0325490584816833,4.46651900839873e-35,777,100
EUR,EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1,0.429143753998002,0.03244520220816,3.69947603113235e-36,777,100
EUR,EUR,yengo_eur_ldeur,quickprs,yengo_eur_ldeur_quickprs,0.411516483469114,0.0327385376904249,4.12488304034354e-33,777,100
EUR,EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.01,0.423713956701862,0.0325371546012139,3.35842431584141e-35,777,100.167646612414
EUR,EAS,yengo_eur_ldeas,dbslmm,yengo_eur_ldeas_DBSLMM_1,0.381773743981443,0.0332002488993078,2.2965422592396e-28,777,88.9617384442278
EUR,EAS,yengo_eur_ldeas,quickprs,yengo_eur_ldeas_quickprs,0.277743672227448,0.034507754201752,3.13983181881643e-15,777,67.4927210414632
EUR,CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.01,0.406246912383631,0.0328233482237532,3.1025415654744e-32,777,96.0383686054994
EUR,CSA,yengo_eur_ldcsa,dbslmm,yengo_eur_ldcsa_DBSLMM_1,0.40272077677745,0.0328793684883975,1.17327840029227e-31,777,93.8428610519461
EUR,CSA,yengo_eur_ldcsa,quickprs,yengo_eur_ldcsa_quickprs,0.386298784917806,0.0331326415170614,4.6768442207687e-29,777,93.8720076681446
EUR,AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.01,0.41930891048061,0.0326107054971427,1.95251142341467e-34,777,99.1262763525432
EUR,AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1,0.412783319341608,0.0327179526781468,2.52580306633433e-33,777,96.1876563496551
EUR,AMR,yengo_eur_ldamr,quickprs,yengo_eur_ldamr_quickprs,0.347889345820283,0.0336772729542034,1.59316016320886e-23,777,84.5383744747113
