gwas_pop,ld_pop,gwas,n_snps
EUR,EUR,yengo_eur_ldeur,943912
EUR,EAS,yengo_eur_ldeas,612585
EUR,CSA,yengo_eur_ldcsa,881969
EUR,AMR,yengo_eur_ldamr,869585
EUR,AFR,yengo_eur_ldafr,561279
EAS,EUR,yengo_eas_ldeur,603229
EAS,EAS,yengo_eas_ldeas,861077
EAS,CSA,yengo_eas_ldcsa,688383
EAS,AMR,yengo_eas_ldamr,691954
EAS,AFR,yengo_eas_ldafr,478936
CSA,EUR,yengo_csa_ldeur,896561
CSA,EAS,yengo_csa_ldeas,689213
CSA,CSA,yengo_csa_ldcsa,930300
CSA,AMR,yengo_csa_ldamr,872304
CSA,AFR,yengo_csa_ldafr,579753
AMR,EUR,yengo_amr_ldeur,932903
AMR,EAS,yengo_amr_ldeas,719348
AMR,CSA,yengo_amr_ldcsa,915033
AMR,AMR,yengo_amr_ldamr,964305
AMR,AFR,yengo_amr_ldafr,596196
AFR,EUR,yengo_afr_ldeur,661630
AFR,EAS,yengo_afr_ldeas,536213
AFR,CSA,yengo_afr_ldcsa,681001
AFR,AMR,yengo_afr_ldamr,670936
AFR,AFR,yengo_afr_ldafr,886800
