mix,ld_pop,gwas,pgs_method,model,r,se,p,n
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_5e-08,0.374377239368781,0.0333087546884253,2.93523165688549e-27,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_1e-06,0.377458984891589,0.0332638467840156,1.02341799701307e-27,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_1e-04,0.383979312842815,0.0331674128316754,1.06063046918142e-28,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.01,0.414034456853804,0.0326975478717126,1.55284900311936e-33,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.1,0.424182335322589,0.032529279047578,2.78089430907404e-35,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.2,0.423558113545162,0.0325397726750206,3.57581043047385e-35,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.3,0.415477859023263,0.0326739147937656,8.83650204551281e-34,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.4,0.41394532980757,0.0326990039096685,1.6077148537491e-33,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.5,0.411076439495198,0.032745670206608,4.88865497858305e-33,777
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_1,0.406029573968426,0.0328268180109872,3.36918316921754e-32,777
eur100,EUR,mix_eur100_ldeur,dbslmm,mix_eur100_ldeur_DBSLMM_0.8,0.442435646016299,0.0322140161667625,1.40675293216261e-38,777
eur100,EUR,mix_eur100_ldeur,dbslmm,mix_eur100_ldeur_DBSLMM_1,0.444025023701668,0.0321857868516571,7.10568209290401e-39,777
eur100,EUR,mix_eur100_ldeur,dbslmm,mix_eur100_ldeur_DBSLMM_1.2,0.444363145346471,0.0321797651319201,6.14189283482071e-39,777
eur100,EUR,mix_eur100_ldeur,quickprs,mix_eur100_ldeur_quickprs,0.467113735924914,0.0317613024375478,2.29795243213328e-43,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_5e-08,0.376125014030737,0.0332833383449006,1.61707501544073e-27,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_1e-06,0.381424727842336,0.0332054246829447,2.59377301599179e-28,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_1e-04,0.403715339739402,0.0328636268090422,8.07539722133334e-32,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.01,0.418526439753293,0.0326236727670198,2.66196938796845e-34,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.1,0.425718403841996,0.0325033763135606,1.49456844223477e-35,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.2,0.426740855900272,0.032486071296252,9.86834034030208e-36,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.3,0.418160424813096,0.0326297283632309,3.07643221774378e-34,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.4,0.418649473400162,0.0326216357735816,2.53548428588325e-34,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.5,0.416608279065271,0.0326553368026703,5.6713792125218e-34,777
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_1,0.413976185634346,0.0326984998714331,1.58850616751047e-33,777
eur100,EAS,mix_eur100_ldeas,dbslmm,mix_eur100_ldeas_DBSLMM_0.8,0.413206812670363,0.0327110542618201,2.1428282248242e-33,777
eur100,EAS,mix_eur100_ldeas,dbslmm,mix_eur100_ldeas_DBSLMM_1,0.411632672567244,0.0327366528896823,3.94378320533844e-33,777
eur100,EAS,mix_eur100_ldeas,dbslmm,mix_eur100_ldeas_DBSLMM_1.2,0.409897898468324,0.0327647275495336,7.69560575103219e-33,777
eur100,EAS,mix_eur100_ldeas,quickprs,mix_eur100_ldeas_quickprs,0.267381126187472,0.0346132052622605,3.46623416477556e-14,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_5e-08,0.383329649876756,0.0331771079166064,1.33246890665222e-28,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_1e-06,0.380027171855542,0.0332260944605092,4.21645584312757e-28,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_1e-04,0.393748464019296,0.0330192934232533,3.22382403491963e-30,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_0.01,0.412954692797813,0.0327151621491747,2.36327209592767e-33,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_0.1,0.416835118030112,0.0326516014402855,5.18744063828054e-34,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_0.2,0.410496939146834,0.0327550491148697,6.11196451047352e-33,777
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_0.3,0.406624247761667,0.0328173188174202,2.68836286183586e-32,777
