mix,ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_row_max
eur100,EUR,mix_eur100_ldeur,ptclump,mix_eur100_ldeur_0_0.01,0.414034456853804,0.0326975478717126,1.55284900311936e-33,777,98.9267146653536
eur100,EUR,mix_eur100_ldeur,dbslmm,mix_eur100_ldeur_DBSLMM_1,0.444025023701668,0.0321857868516571,7.10568209290401e-39,777,100
eur100,EUR,mix_eur100_ldeur,quickprs,mix_eur100_ldeur_quickprs,0.467113735924914,0.0317613024375478,2.29795243213328e-43,777,100
eur100,EAS,mix_eur100_ldeas,ptclump,mix_eur100_ldeas_0_0.01,0.418526439753293,0.0326236727670198,2.66196938796845e-34,777,100
eur100,EAS,mix_eur100_ldeas,dbslmm,mix_eur100_ldeas_DBSLMM_1,0.411632672567244,0.0327366528896823,3.94378320533844e-33,777,92.7048365733125
eur100,EAS,mix_eur100_ldeas,quickprs,mix_eur100_ldeas_quickprs,0.267381126187472,0.0346132052622605,3.46623416477556e-14,777,57.2411183023853
eur100,CSA,mix_eur100_ldcsa,ptclump,mix_eur100_ldcsa_0_0.01,0.412954692797813,0.0327151621491747,2.36327209592767e-33,777,98.6687228269821
eur100,CSA,mix_eur100_ldcsa,dbslmm,mix_eur100_ldcsa_DBSLMM_1,0.428975763867827,0.0324480685644997,3.96315883795665e-36,777,96.610718083323
eur100,CSA,mix_eur100_ldcsa,quickprs,mix_eur100_ldcsa_quickprs,0.37578370178715,0.0332883125759826,1.81725449232684e-27,777,80.4480093147067
eur100,AMR,mix_eur100_ldamr,ptclump,mix_eur100_ldamr_0_0.01,0.415950223434155,0.032666159102104,7.3433152474316e-34,777,99.3844555386617
eur100,AMR,mix_eur100_ldamr,dbslmm,mix_eur100_ldamr_DBSLMM_1,0.43313927303661,0.0323766217957882,7.11182535260876e-37,777,97.54839252655
eur100,AMR,mix_eur100_ldamr,quickprs,mix_eur100_ldamr_quickprs,0.176584304451764,0.0353565795933882,7.29697745423312e-07,777,37.8032780607737
eur100,AFR,mix_eur100_ldafr,ptclump,mix_eur100_ldafr_0_0.01,0.379824615648552,0.0332290828962479,4.52320656645424e-28,777,90.7528365167193
eur100,AFR,mix_eur100_ldafr,dbslmm,mix_eur100_ldafr_DBSLMM_1,0.413830278513905,0.032700882903837,1.68138954708052e-33,777,93.1997649735952
eur100,AFR,mix_eur100_ldafr,quickprs,mix_eur100_ldafr_quickprs,0.331358830610272,0.0338916932514985,2.28624528670744e-21,777,70.9375051782969
eur75,EUR,mix_eur75_ldeur,ptclump,mix_eur75_ldeur_0_0.01,0.392233417407931,0.0330425521600507,5.58496339332375e-30,777,98.0271317270372
eur75,EUR,mix_eur75_ldeur,dbslmm,mix_eur75_ldeur_DBSLMM_1,0.379394964071519,0.0332354156467051,5.24889617211543e-28,777,92.5857587126606
eur75,EUR,mix_eur75_ldeur,quickprs,mix_eur75_ldeur_quickprs,0.345545328690021,0.0337083970742719,3.28135505197421e-23,777,96.7828489344729
eur75,EAS,mix_eur75_ldeas,ptclump,mix_eur75_ldeas_0_0.01,0.397422322335762,0.0329624517117681,8.40414658651349e-31,777,99.3239449109852
eur75,EAS,mix_eur75_ldeas,dbslmm,mix_eur75_ldeas_DBSLMM_1,0.382829422522753,0.0331845598230008,1.58783327834068e-28,777,93.4238877644068
eur75,EAS,mix_eur75_ldeas,quickprs,mix_eur75_ldeas_quickprs,0.267308362363776,0.0346139304310329,3.52390033170343e-14,777,74.8696703603326
eur75,CSA,mix_eur75_ldcsa,ptclump,mix_eur75_ldcsa_0_0.01,0.400127404013135,0.0329201979486407,3.08933878321542e-31,777,100
eur75,CSA,mix_eur75_ldcsa,dbslmm,mix_eur75_ldcsa_DBSLMM_1,0.390819117120217,0.0330641686518293,9.304257070315e-30,777,95.373655173679
eur75,CSA,mix_eur75_ldcsa,quickprs,mix_eur75_ldcsa_quickprs,0.314613212468525,0.0340969874090732,2.59263710633549e-19,777,88.1191568427933
eur75,AMR,mix_eur75_ldamr,ptclump,mix_eur75_ldamr_0_0.01,0.399041321171978,0.0329372036730958,4.62221641390068e-31,777,99.7285657442444
