mix,pgs_method,best_single_pop_r,best_single_pop_ld,best_single_pop_se
eur100,ptclump,0.418526439753293,EAS,0.0326236727670198
eur100,dbslmm,0.444025023701668,EUR,0.0321857868516571
eur100,quickprs,0.467113735924914,EUR,0.0317613024375478
eur75,ptclump,0.400127404013135,CSA,0.0329201979486407
eur75,dbslmm,0.409776805144482,AMR,0.032766681936334
eur75,quickprs,0.357031573769825,AFR,0.0335535865172354
eur50,ptclump,0.341596173634378,AFR,0.0337602945667923
eur50,dbslmm,0.368216311491405,AFR,0.0333972521170513
eur50,quickprs,0.360302704905259,AFR,0.0335084382408267
eur25,ptclump,0.215065609736209,AFR,0.0350804933115127
eur25,dbslmm,0.286621815154326,AFR,0.0344139494424748
eur25,quickprs,0.243555960823778,AFR,0.034839363979736
eur00,ptclump,0.151426746333033,AMR,0.0355068360613884
eur00,dbslmm,0.195127350343282,AFR,0.0352305827032471
eur00,quickprs,0.150605342502924,AFR,0.0355113435908198
