ld_pop,gwas,pgs_method,model,r,se,p,n
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_5e-08,0.40299193654641,0.0328750812402494,1.05979740145253e-31,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1e-06,0.405024823037777,0.0328428298793142,4.92851815735253e-32,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1e-04,0.41590047767494,0.0326669763734009,7.48796966318499e-34,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.01,0.42300480347848,0.0325490584816833,4.46651900839873e-35,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.1,0.41996292693992,0.0325998444483931,1.50594715271876e-34,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.2,0.412990346437503,0.0327145814140429,2.33078408139762e-33,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.3,0.409993157730476,0.0327631896240414,7.41898616992435e-33,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.4,0.406863624417928,0.0328134903635588,2.45453253713439e-32,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.5,0.406946705270316,0.0328121609845641,2.37818329583792e-32,777
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_1,0.406438551771211,0.0328202868740607,2.88484595116286e-32,777
EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_0.8,0.429826862826019,0.032433532388825,2.79497122452858e-36,777
EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1,0.428574723308976,0.0324549058181554,4.67042425077835e-36,777
EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1.2,0.427349346940522,0.0324757484836541,7.70309580659524e-36,777
EUR,yengo_eur_ldeur,quickprs,yengo_eur_ldeur_quickprs,0.411515989492283,0.0327385457022696,4.12567031768751e-33,777
EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_5e-08,0.406334551341718,0.0328219484469281,3.00103736238772e-32,777
