ld_pop,gwas,pgs_method,model,r,se,p,n,r_pct_of_eur
EUR,yengo_eur_ldeur,ptclump,yengo_eur_ldeur_0_0.01,0.42300480347848,0.0325490584816833,4.46651900839873e-35,777,100
EUR,yengo_eur_ldeur,dbslmm,yengo_eur_ldeur_DBSLMM_1,0.428574723308976,0.0324549058181554,4.67042425077835e-36,777,100
EUR,yengo_eur_ldeur,quickprs,yengo_eur_ldeur_quickprs,0.411515989492283,0.0327385457022696,4.12567031768751e-33,777,100
EAS,yengo_eur_ldeas,ptclump,yengo_eur_ldeas_0_0.01,0.423713956701862,0.0325371546012139,3.35842431584141e-35,777,100.167646612414
EAS,yengo_eur_ldeas,dbslmm,yengo_eur_ldeas_DBSLMM_1,0.381773742665002,0.0332002489188406,2.29654331415039e-28,777,89.0798551340991
EAS,yengo_eur_ldeas,quickprs,yengo_eur_ldeas_quickprs,0.277743672227448,0.034507754201752,3.13983181881643e-15,777,67.4928020585836
AFR,yengo_eur_ldafr,ptclump,yengo_eur_ldafr_0_0.01,0.382794666713899,0.033185077157981,1.60727707566763e-28,777,90.4941654482591
AFR,yengo_eur_ldafr,dbslmm,yengo_eur_ldafr_DBSLMM_1,0.394399356012229,0.0330092684535945,2.54367518127196e-30,777,92.0258089341147
AFR,yengo_eur_ldafr,quickprs,yengo_eur_ldafr_quickprs,0.32519592184573,0.0339686309260025,1.34987266174229e-20,777,79.0238848913131
CSA,yengo_eur_ldcsa,ptclump,yengo_eur_ldcsa_0_0.01,0.406246912383631,0.0328233482237532,3.1025415654744e-32,777,96.0383686054994
CSA,yengo_eur_ldcsa,dbslmm,yengo_eur_ldcsa_DBSLMM_1,0.403343958331944,0.0328695103602916,9.28558846269612e-32,777,94.1128667639965
CSA,yengo_eur_ldcsa,quickprs,yengo_eur_ldcsa_quickprs,0.385382464425001,0.0331464075047253,6.46814796436632e-29,777,93.6494508756451
AMR,yengo_eur_ldamr,ptclump,yengo_eur_ldamr_0_0.01,0.41930891048061,0.0326107054971427,1.95251142341467e-34,777,99.1262763525432
AMR,yengo_eur_ldamr,dbslmm,yengo_eur_ldamr_DBSLMM_1,0.412848800448358,0.0327168865931076,2.46243247678765e-33,777,96.3306462081569
AMR,yengo_eur_ldamr,quickprs,yengo_eur_ldamr_quickprs,0.34733195447899,0.0336846957380486,1.8928597392505e-23,777,84.4030276703267
