w_eur,chr,block_id,m,candidate,err
0.75,22,1,255,MELD_lambda0,0
0.75,22,1,255,MELD_lambda1,0.371441916945579
0.75,22,1,255,MELD_pooled,0.393117447389465
0.75,22,1,255,EUR,0.196096667961338
0.75,22,1,255,EAS,0.665329033666986
0.75,22,1,255,AFR,0.661301151409788
0.75,22,1,255,CSA,0.499541387230634
0.75,22,1,255,AMR,0.727495569266604
0.5,22,1,255,MELD_lambda0,0
0.5,22,1,255,MELD_lambda1,0.547867712619023
0.5,22,1,255,MELD_pooled,0.54989894745351
0.5,22,1,255,EUR,0.395828973973054
0.5,22,1,255,EAS,0.722862786616159
0.5,22,1,255,AFR,0.543894461588325
0.5,22,1,255,CSA,0.54627021401187
0.5,22,1,255,AMR,0.799976994960584
0.25,22,1,255,MELD_lambda0,0
0.25,22,1,255,MELD_lambda1,0.558697539895484
0.25,22,1,255,MELD_pooled,0.594054638656454
0.25,22,1,255,EUR,0.631641011709323
0.25,22,1,255,EAS,0.824668368019101
0.25,22,1,255,AFR,0.38418734475046
0.25,22,1,255,CSA,0.656389875135788
0.25,22,1,255,AMR,0.915586504656236
0.75,22,2,310,MELD_lambda0,0
0.75,22,2,310,MELD_lambda1,0.628888033579484
0.75,22,2,310,MELD_pooled,0.644169504282429
0.75,22,2,310,EUR,0.227206190688761
0.75,22,2,310,EAS,0.68963783811648
0.75,22,2,310,AFR,0.650633242059099
0.75,22,2,310,CSA,0.540241551031672
0.75,22,2,310,AMR,0.68345783439964
0.5,22,2,310,MELD_lambda0,0
0.5,22,2,310,MELD_lambda1,0.830085645004656
0.5,22,2,310,MELD_pooled,0.830982976273279
0.5,22,2,310,EUR,0.440571756108848
0.5,22,2,310,EAS,0.751163007837824
0.5,22,2,310,AFR,0.524928950807591
0.5,22,2,310,CSA,0.636491456026479
0.5,22,2,310,AMR,0.782907810219996
0.25,22,2,310,MELD_lambda0,0
0.25,22,2,310,MELD_lambda1,0.746687659871304
0.25,22,2,310,MELD_pooled,0.742671858603545
0.25,22,2,310,EUR,0.678992285278415
0.25,22,2,310,EAS,0.850761398542413
0.25,22,2,310,AFR,0.357627290700042
0.25,22,2,310,CSA,0.786264360911963
0.25,22,2,310,AMR,0.924371879411024
0.75,22,3,715,MELD_lambda0,0
0.75,22,3,715,MELD_lambda1,0.687422562877056
0.75,22,3,715,MELD_pooled,0.695844344194518
0.75,22,3,715,EUR,0.250682390140808
0.75,22,3,715,EAS,0.643447577163659
0.75,22,3,715,AFR,0.662018456230938
0.75,22,3,715,CSA,0.558213210740091
0.75,22,3,715,AMR,0.740702321070546
0.5,22,3,715,MELD_lambda0,0
0.5,22,3,715,MELD_lambda1,0.900909161938685
0.5,22,3,715,MELD_pooled,0.900392027143715
0.5,22,3,715,EUR,0.467037321856232
0.5,22,3,715,EAS,0.714172997331998
0.5,22,3,715,AFR,0.527721412744474
