candidate,draw,delta,r2,w_eur,chr,block_id,m
MELD_lambda1,1,0.01,0.691321799417941,0.75,22,1,255
MELD_pooled,1,0.01,0.623898269696579,0.75,22,1,255
EUR,1,0.01,0.624946406097595,0.75,22,1,255
EAS,1,0.01,0.721249365116399,0.75,22,1,255
AFR,1,0.01,0.325373880708464,0.75,22,1,255
CSA,1,0.01,0.80188284364843,0.75,22,1,255
AMR,1,0.01,0.466828186895819,0.75,22,1,255
MELD_lambda1,1,0.01,0.653827229650028,0.5,22,1,255
MELD_pooled,1,0.01,0.645024369687554,0.5,22,1,255
EUR,1,0.01,0.262409892088053,0.5,22,1,255
EAS,1,0.01,0.572053233464432,0.5,22,1,255
AFR,1,0.01,0.398218993093136,0.5,22,1,255
CSA,1,0.01,0.574889066774551,0.5,22,1,255
AMR,1,0.01,0.433542085644391,0.5,22,1,255
MELD_lambda1,1,0.01,0.61334192216871,0.25,22,1,255
MELD_pooled,1,0.01,0.606282578621257,0.25,22,1,255
EUR,1,0.01,0.0682580447530695,0.25,22,1,255
EAS,1,0.01,0.404549219382316,0.25,22,1,255
AFR,1,0.01,0.46607450135852,0.25,22,1,255
CSA,1,0.01,0.387677503240568,0.25,22,1,255
AMR,1,0.01,0.373100275769217,0.25,22,1,255
MELD_lambda1,1,0.01,0.734713128648345,0.75,22,2,310
MELD_pooled,1,0.01,0.695043751865026,0.75,22,2,310
EUR,1,0.01,0.820076532313541,0.75,22,2,310
EAS,1,0.01,0.107648095866539,0.75,22,2,310
AFR,1,0.01,0.456114429107589,0.75,22,2,310
CSA,1,0.01,0.612957344416395,0.75,22,2,310
AMR,1,0.01,0.416232018014256,0.75,22,2,310
MELD_lambda1,1,0.01,0.572112262339422,0.5,22,2,310
MELD_pooled,1,0.01,0.565260810857281,0.5,22,2,310
EUR,1,0.01,0.664382000978908,0.5,22,2,310
EAS,1,0.01,0.0573084027771632,0.5,22,2,310
AFR,1,0.01,0.351824019313403,0.5,22,2,310
CSA,1,0.01,0.360398487614715,0.5,22,2,310
AMR,1,0.01,0.259779225753939,0.5,22,2,310
MELD_lambda1,1,0.01,0.491670021974131,0.25,22,2,310
MELD_pooled,1,0.01,0.438380381066486,0.25,22,2,310
EUR,1,0.01,0.600494441095016,0.25,22,2,310
EAS,1,0.01,0.0563394430437577,0.25,22,2,310
AFR,1,0.01,0.34607093574797,0.25,22,2,310
CSA,1,0.01,0.3044116817456,0.25,22,2,310
AMR,1,0.01,0.248420928912048,0.25,22,2,310
MELD_lambda1,1,0.01,0.896092663128386,0.75,22,3,715
MELD_pooled,1,0.01,0.847695342217647,0.75,22,3,715
EUR,1,0.01,0.777626101850735,0.75,22,3,715
EAS,1,0.01,0.312728568030511,0.75,22,3,715
AFR,1,0.01,0.291277631102828,0.75,22,3,715
CSA,1,0.01,0.322343422703855,0.75,22,3,715
AMR,1,0.01,0.701587425340307,0.75,22,3,715
MELD_lambda1,1,0.01,0.807621889437626,0.5,22,3,715
MELD_pooled,1,0.01,0.774540298856145,0.5,22,3,715
EUR,1,0.01,0.635528398858491,0.5,22,3,715
EAS,1,0.01,0.165403440674626,0.5,22,3,715
AFR,1,0.01,0.235027769486251,0.5,22,3,715
CSA,1,0.01,0.18530459989889,0.5,22,3,715
AMR,1,0.01,0.59892971827896,0.5,22,3,715
MELD_lambda1,1,0.01,0.557758899140612,0.25,22,3,715
MELD_pooled,1,0.01,0.559958698563493,0.25,22,3,715
EUR,1,0.01,0.609606986448247,0.25,22,3,715
EAS,1,0.01,0.170628674660979,0.25,22,3,715
AFR,1,0.01,0.272353513419154,0.25,22,3,715
CSA,1,0.01,0.193895791039066,0.25,22,3,715
AMR,1,0.01,0.587291734623047,0.25,22,3,715
MELD_lambda1,1,0.01,0.954866289297575,0.75,22,4,809
MELD_pooled,1,0.01,0.935850353153697,0.75,22,4,809
EUR,1,0.01,0.832802551421049,0.75,22,4,809
EAS,1,0.01,0.597960254418072,0.75,22,4,809
AFR,1,0.01,0.656403358255732,0.75,22,4,809
CSA,1,0.01,0.560376179606716,0.75,22,4,809
AMR,1,0.01,0.699648314267412,0.75,22,4,809
MELD_lambda1,1,0.01,0.313961722896183,0.5,22,4,809
MELD_pooled,1,0.01,0.903530699853204,0.5,22,4,809
EUR,1,0.01,0.63523419212836,0.5,22,4,809
EAS,1,0.01,0.345916682818543,0.5,22,4,809
AFR,1,0.01,0.60977454617973,0.5,22,4,809
CSA,1,0.01,0.14275552976685,0.5,22,4,809
AMR,1,0.01,0.458575246975053,0.5,22,4,809
MELD_lambda1,1,0.01,0.853543208786162,0.25,22,4,809
MELD_pooled,1,0.01,0.801454615414147,0.25,22,4,809
EUR,1,0.01,0.512888252017315,0.25,22,4,809
EAS,1,0.01,0.212573839436992,0.25,22,4,809
AFR,1,0.01,0.593684147987247,0.25,22,4,809
CSA,1,0.01,0.0501459742953784,0.25,22,4,809
AMR,1,0.01,0.362948870249329,0.25,22,4,809
MELD_lambda1,1,0.01,0.478041974680589,0.75,22,5,417
MELD_pooled,1,0.01,0.350015601895142,0.75,22,5,417
EUR,1,0.01,0.0635931594952461,0.75,22,5,417
EAS,1,0.01,0.256053241192038,0.75,22,5,417
AFR,1,0.01,0.456352464096773,0.75,22,5,417
CSA,1,0.01,0.2660662481948,0.75,22,5,417
AMR,1,0.01,0.199428173736845,0.75,22,5,417
MELD_lambda1,1,0.01,0.505969357280726,0.5,22,5,417
MELD_pooled,1,0.01,0.399273172066323,0.5,22,5,417
EUR,1,0.01,0.0248947499993017,0.5,22,5,417
EAS,1,0.01,0.0515860982904859,0.5,22,5,417
AFR,1,0.01,0.480022779833921,0.5,22,5,417
CSA,1,0.01,0.188440027168903,0.5,22,5,417
AMR,1,0.01,0.121931286516595,0.5,22,5,417
