w_eur,candidate,delta,n_blocks,n_draws,r2_mean_unweighted,r2_mean_wm
0.75,MELD_lambda1,0.01,24,24,0.820776254845117,0.836965610880083
0.75,MELD_pooled,0.01,24,24,0.716156426320065,0.703162359006326
0.75,EUR,0.01,24,24,0.648928894224469,0.621675364009373
0.75,EAS,0.01,24,24,0.394320552922793,0.365062167800223
0.75,AFR,0.01,24,24,0.50270791076449,0.464887139376869
0.75,CSA,0.01,24,24,0.585894492194159,0.571529620258774
0.75,AMR,0.01,24,24,0.595031362237236,0.614466944761808
0.5,MELD_lambda1,0.01,24,24,0.743875290452708,0.732061199794095
0.5,MELD_pooled,0.01,24,24,0.703635925140372,0.689901786631048
0.5,EUR,0.01,24,24,0.489346114809647,0.467758582534218
0.5,EAS,0.01,24,24,0.277232184627381,0.262055565369535
0.5,AFR,0.01,24,24,0.506419346268093,0.467364103679826
0.5,CSA,0.01,24,24,0.420391402106417,0.408380847935176
0.5,AMR,0.01,24,24,0.449072125485094,0.453827117666884
0.25,MELD_lambda1,0.01,24,24,0.635503999719259,0.620852547723802
0.25,MELD_pooled,0.01,24,24,0.652363146121719,0.625801781385126
0.25,EUR,0.01,24,24,0.403989645985632,0.389100021149999
0.25,EAS,0.01,24,24,0.225742271296008,0.220941090795808
0.25,AFR,0.01,24,24,0.518680792269103,0.478632113050097
0.25,CSA,0.01,24,24,0.345318548961606,0.335138849184123
0.25,AMR,0.01,24,24,0.383465670883056,0.385839690262682
