chr,block_id,m,w_eur,candidate,delta,r2_pre,r2_post
22,1,255,0.75,MELD_lambda0,0.001,0.696104407549479,0.68688773275883
22,1,255,0.75,MELD_lambda0,0.01,0.709430896684393,0.709144936946378
22,1,255,0.75,MELD_lambda0,0.1,0.725347773425663,0.72534994643778
22,1,255,0.75,MELD_lambda1,0.001,0.660576140422713,0.672426498352837
22,1,255,0.75,MELD_lambda1,0.01,0.691321799417941,0.691115883076069
22,1,255,0.75,MELD_lambda1,0.1,0.715991689393623,0.715993086742185
22,1,255,0.75,EUR,0.001,0.338732220418312,0.463067701374259
22,1,255,0.75,EUR,0.01,0.624946406097595,0.637797379111618
22,1,255,0.75,EUR,0.1,0.704687903863466,0.704719722644675
22,1,255,0.75,AFR,0.001,0.306869760250438,0.297997814054696
22,1,255,0.75,AFR,0.01,0.325373880708464,0.325525132919879
22,1,255,0.75,AFR,0.1,0.344252305840935,0.344254247022103
22,1,255,0.5,MELD_lambda0,0.001,0.69326324332764,0.642170152660129
22,1,255,0.5,MELD_lambda0,0.01,0.65505431957193,0.654846464627013
22,1,255,0.5,MELD_lambda0,0.1,0.643333922423009,0.643334009754898
22,1,255,0.5,MELD_lambda1,0.001,0.674385183845852,0.644367245843804
22,1,255,0.5,MELD_lambda1,0.01,0.653827229650028,0.653639483304769
22,1,255,0.5,MELD_lambda1,0.1,0.638676664449212,0.638675414133407
22,1,255,0.5,EUR,0.001,0.124181264316336,0.12205818777202
22,1,255,0.5,EUR,0.01,0.262409892088053,0.273813866947698
22,1,255,0.5,EUR,0.1,0.415651207327971,0.415694598512174
22,1,255,0.5,AFR,0.001,0.356345320077201,0.372218409757979
22,1,255,0.5,AFR,0.01,0.398218993093136,0.398190455065021
22,1,255,0.5,AFR,0.1,0.43025908634958,0.430260439760381
22,1,255,0.5,MELD_pooled,0.001,0.646796250016088,0.616933623393834
22,1,255,0.5,MELD_pooled,0.01,0.639972492811652,0.639494071399028
22,1,255,0.5,MELD_pooled,0.1,0.634209740228957,0.634203375104798
22,1,255,0.25,MELD_lambda0,0.001,0.651748099553187,0.610028336957389
22,1,255,0.25,MELD_lambda0,0.01,0.604161548354227,0.603955064893441
22,1,255,0.25,MELD_lambda0,0.1,0.577848962022892,0.577846352135589
22,1,255,0.25,MELD_lambda1,0.001,0.659089844309087,0.621098325041904
22,1,255,0.25,MELD_lambda1,0.01,0.61334192216871,0.613128578138492
22,1,255,0.25,MELD_lambda1,0.1,0.576815735924698,0.576812443330934
22,1,255,0.25,EUR,0.001,0.0703005289829444,0.0172326254071219
22,1,255,0.25,EUR,0.01,0.0682580447530695,0.0722936753582572
22,1,255,0.25,EUR,0.1,0.191973390118725,0.192006039510914
22,1,255,0.25,AFR,0.001,0.411265378163509,0.459033964628657
22,1,255,0.25,AFR,0.01,0.46607450135852,0.465786737305348
