chr,block_id,m,w_eur,candidate,min_eig_pre,min_eig_post,r2_pre,r2_post
22,1,255,0.75,MELD_lambda0,-0.00197381477623282,-6.50868664305521e-16,0.709430896684393,0.709144936946378
22,1,255,0.75,MELD_lambda1,-0.00175849219843402,-1.56070416416529e-15,0.691321799417941,0.691115883076069
22,1,255,0.75,EUR,-0.00584059146681115,-3.1966457914655e-15,0.624946406097595,0.637797379111618
22,1,255,0.75,AFR,-0.00178156677884713,-1.23131782025837e-15,0.325373880708464,0.325525132919879
22,1,255,0.5,MELD_lambda0,-0.00139883112398001,-2.01757167682449e-15,0.65505431957193,0.654846464627013
22,1,255,0.5,MELD_lambda1,-0.00113881818966614,-9.47234686719188e-16,0.653827229650028,0.653639483304769
22,1,255,0.5,EUR,-0.00584059146681115,-3.1966457914655e-15,0.262409892088053,0.273813866947698
22,1,255,0.5,AFR,-0.00178156677884713,-1.23131782025837e-15,0.398218993093136,0.398190455065021
22,1,255,0.5,MELD_pooled,-0.00166830765104511,-8.28066017682149e-16,0.639972492811652,0.639494071399028
22,1,255,0.25,MELD_lambda0,-0.000914052789923637,-1.24228355828849e-15,0.604161548354227,0.603955064893441
22,1,255,0.25,MELD_lambda1,-0.000800251637493025,-4.60574811419449e-16,0.61334192216871,0.613128578138492
22,1,255,0.25,EUR,-0.00584059146681115,-3.1966457914655e-15,0.0682580447530695,0.0722936753582572
22,1,255,0.25,AFR,-0.00178156677884713,-1.23131782025837e-15,0.46607450135852,0.465786737305348
22,2,310,0.75,MELD_lambda0,-0.00183912706215973,-9.92079194390875e-16,0.760300720390139,0.760374651857832
22,2,310,0.75,MELD_lambda1,-0.00167107019416509,-6.83514013325408e-16,0.734713128648345,0.734668089117832
22,2,310,0.75,EUR,-0.0313237638100281,-1.46580170036641e-15,0.820076532313541,0.803695871977704
22,2,310,0.75,AFR,-0.0626228173402288,-1.40186193492487e-15,0.456114429107589,0.571785785185049
22,2,310,0.5,MELD_lambda0,-0.000174836757866724,-7.93709751423345e-16,0.58034215814313,0.580375065017593
22,2,310,0.5,MELD_lambda1,-0.000157243884689001,-8.41370145752005e-16,0.572112262339422,0.572140313318044
22,2,310,0.5,EUR,-0.0313237638100281,-1.46580170036641e-15,0.664382000978908,0.603407455755485
22,2,310,0.5,AFR,-0.0626228173402288,-1.40186193492487e-15,0.351824019313403,0.42849881219089
22,2,310,0.5,MELD_pooled,-0.00146489064935639,-4.2705942499487e-16,0.540194735154605,0.54104074633307
22,2,310,0.25,MELD_lambda0,-0.000355254082045325,-8.38590026416623e-16,0.482483089506178,0.482696820266347
22,2,310,0.25,MELD_lambda1,-0.000331508115090481,-7.01394533484139e-16,0.491670021974131,0.491854567061245
22,2,310,0.25,EUR,-0.0313237638100281,-1.46580170036641e-15,0.600494441095016,0.518489561903855
22,2,310,0.25,AFR,-0.0626228173402288,-1.40186193492487e-15,0.34607093574797,0.399454592745812
22,3,715,0.75,MELD_lambda0,-0.324559082672381,-3.0061690010515e-15,0.890969940381889,0.917989798390144
22,3,715,0.75,MELD_lambda1,-0.307319381061816,-2.86846934821716e-15,0.896092663128386,0.915531686485053
22,3,715,0.75,EUR,-0.555117066220487,-5.06288432002942e-15,0.777626101850735,0.785386478891875
22,3,715,0.75,AFR,-0.372309917124642,-2.66381420397083e-15,0.291277631102828,0.607329670040432
22,3,715,0.5,MELD_lambda0,-0.283201432024691,-2.84867862773029e-15,0.819656335681684,0.839866673133339
22,3,715,0.5,MELD_lambda1,-0.264508614918819,-2.99280528451569e-15,0.807621889437626,0.827880314581066
22,3,715,0.5,EUR,-0.555117066220487,-5.06288432002942e-15,0.635528398858491,0.679154361767338
22,3,715,0.5,AFR,-0.372309917124642,-2.66381420397083e-15,0.235027769486251,0.544046494159614
22,3,715,0.5,MELD_pooled,-0.289085744668047,-2.77387260919234e-15,0.762919343775027,0.809494203655969
22,3,715,0.25,MELD_lambda0,-0.302256050543925,-3.5373922121728e-15,0.610830043057126,0.763079993329992
22,3,715,0.25,MELD_lambda1,-0.286439586979565,-2.782700904107e-15,0.557758899140612,0.751851988255433
22,3,715,0.25,EUR,-0.555117066220487,-5.06288432002942e-15,0.609606986448247,0.660747322978556
22,3,715,0.25,AFR,-0.372309917124642,-2.66381420397083e-15,0.272353513419154,0.542893164220645
22,4,809,0.75,MELD_lambda0,-0.031346609325416,-8.43969405965777e-15,0.95634510998176,0.960211280047398
22,4,809,0.75,MELD_lambda1,-0.0295857967261067,-1.05874516585399e-14,0.954866289297575,0.957649517470002
22,4,809,0.75,EUR,-0.0546621009429645,-1.61392950525429e-14,0.832802551421049,0.884809966459519
22,4,809,0.75,AFR,-0.0588062081994196,-5.40826123610354e-15,0.656403358255732,0.779216579266113
22,4,809,0.5,MELD_lambda0,-0.0225852430230342,-7.88650262728259e-15,0.831446027630189,0.909129927693028
22,4,809,0.5,MELD_lambda1,-0.0208248166790427,-4.41270430016275e-15,0.313961722896183,0.908411414596739
22,4,809,0.5,EUR,-0.0546621009429645,-1.61392950525429e-14,0.63523419212836,0.73590926709932
22,4,809,0.5,AFR,-0.0588062081994196,-5.40826123610354e-15,0.60977454617973,0.767715092220559
22,4,809,0.5,MELD_pooled,-0.0285579751260317,-6.35395255313004e-15,0.897128606354182,0.898195624349954
22,4,809,0.25,MELD_lambda0,-0.0308508206785456,-5.15598641354206e-15,0.834267931403596,0.8560722669938
22,4,809,0.25,MELD_lambda1,-0.0294964753690344,-9.55040481735213e-15,0.853543208786162,0.864508864849857
22,4,809,0.25,EUR,-0.0546621009429645,-1.61392950525429e-14,0.512888252017315,0.634437661606219
22,4,809,0.25,AFR,-0.0588062081994196,-5.40826123610354e-15,0.593684147987247,0.757570201236289
22,5,417,0.75,MELD_lambda0,-0.00470526500373057,-1.03177644660116e-15,0.505328126076585,0.504734852042682
22,5,417,0.75,MELD_lambda1,-0.0044282933744135,-1.27183918812959e-15,0.478041974680589,0.477628890299355
22,5,417,0.75,EUR,-0.104272549620969,-3.22733364129902e-15,0.0635931594952461,0.242481466311253
22,5,417,0.75,AFR,-0.0217531256821907,-7.72963268374347e-16,0.456352464096773,0.464896117643208
22,5,417,0.5,MELD_lambda0,-0.0087870739171856,-7.145876552016e-16,0.54455225916295,0.537784586227921
22,5,417,0.5,MELD_lambda1,-0.00827644148708531,-9.92600856667993e-16,0.505969357280726,0.498337102437904
22,5,417,0.5,EUR,-0.104272549620969,-3.22733364129902e-15,0.0248947499993017,0.170769538931762
22,5,417,0.5,AFR,-0.0217531256821907,-7.72963268374347e-16,0.480022779833921,0.495652911213921
22,5,417,0.5,MELD_pooled,-0.0107034214880846,-9.8639080731263e-16,0.469774624664548,0.512388042843628
22,5,417,0.25,MELD_lambda0,-0.0142209004385443,-7.1520006052443e-16,0.469346398157583,0.556680689079365
