chr,block_id,m,w_eur,perm,delta,r2
22,1,255,0.75,1,0.001,0.698567772320239
22,1,255,0.75,1,0.01,0.724219076906033
22,1,255,0.75,1,0.1,0.735215528491182
22,1,255,0.5,1,0.001,0.641305580167494
22,1,255,0.5,1,0.01,0.677028401188985
22,1,255,0.5,1,0.1,0.653960875239517
22,1,255,0.25,1,0.001,0.59441656201527
22,1,255,0.25,1,0.01,0.60898946402605
22,1,255,0.25,1,0.1,0.581425155560261
22,1,255,0.75,2,0.001,0.723793395152355
22,1,255,0.75,2,0.01,0.733910609930558
22,1,255,0.75,2,0.1,0.744383168645032
22,1,255,0.5,2,0.001,0.67722341642586
22,1,255,0.5,2,0.01,0.67710444676171
22,1,255,0.5,2,0.1,0.658886184277933
22,1,255,0.25,2,0.001,0.609007079282212
22,1,255,0.25,2,0.01,0.614197383849152
22,1,255,0.25,2,0.1,0.584386500626846
22,1,255,0.75,3,0.001,0.646770545439957
22,1,255,0.75,3,0.01,0.678483429370476
22,1,255,0.75,3,0.1,0.720244036815287
22,1,255,0.5,3,0.001,0.606344382807934
22,1,255,0.5,3,0.01,0.626978528110263
22,1,255,0.5,3,0.1,0.646318524397327
22,1,255,0.25,3,0.001,0.612110476035096
22,1,255,0.25,3,0.01,0.601824336318811
22,1,255,0.25,3,0.1,0.582159690035145
22,1,255,0.75,4,0.001,0.707235613191237
22,1,255,0.75,4,0.01,0.714658227599147
22,1,255,0.75,4,0.1,0.726178397660739
22,1,255,0.5,4,0.001,0.678248921516926
22,1,255,0.5,4,0.01,0.673531048279901
22,1,255,0.5,4,0.1,0.657175416748756
22,1,255,0.25,4,0.001,0.626645846194751
22,1,255,0.25,4,0.01,0.615901495511981
22,1,255,0.25,4,0.1,0.593340001034628
22,1,255,0.75,5,0.001,0.680668091275889
22,1,255,0.75,5,0.01,0.699346351893277
22,1,255,0.75,5,0.1,0.714707086214692
22,1,255,0.5,5,0.001,0.637916124967512
22,1,255,0.5,5,0.01,0.649650690821226
22,1,255,0.5,5,0.1,0.634217958943746
22,1,255,0.25,5,0.001,0.619525051883073
22,1,255,0.25,5,0.01,0.606968314112011
22,1,255,0.25,5,0.1,0.576289177711467
22,1,255,0.75,6,0.001,0.730918780860574
22,1,255,0.75,6,0.01,0.736060090768153
22,1,255,0.75,6,0.1,0.746070251613324
22,1,255,0.5,6,0.001,0.675833015666543
22,1,255,0.5,6,0.01,0.686257762201851
22,1,255,0.5,6,0.1,0.662808740221564
22,1,255,0.25,6,0.001,0.610703769055966
22,1,255,0.25,6,0.01,0.627808732006528
22,1,255,0.25,6,0.1,0.59062968617334
22,1,255,0.75,7,0.001,0.709698770035461
22,1,255,0.75,7,0.01,0.723627477228287
22,1,255,0.75,7,0.1,0.731560907021499
22,1,255,0.5,7,0.001,0.658276902273503
22,1,255,0.5,7,0.01,0.680256390546817
22,1,255,0.5,7,0.1,0.653715313076674
22,1,255,0.25,7,0.001,0.611727559706901
22,1,255,0.25,7,0.01,0.625027964791837
22,1,255,0.25,7,0.1,0.589201406351082
22,1,255,0.75,8,0.001,0.680873484450642
22,1,255,0.75,8,0.01,0.717895625115809
22,1,255,0.75,8,0.1,0.722673368293181
22,1,255,0.5,8,0.001,0.632068593225671
22,1,255,0.5,8,0.01,0.661006412115325
22,1,255,0.5,8,0.1,0.64168147491475
22,1,255,0.25,8,0.001,0.605572061745973
22,1,255,0.25,8,0.01,0.605466572376843
22,1,255,0.25,8,0.1,0.57687690497927
22,2,310,0.75,1,0.001,0.746119030830089
22,2,310,0.75,1,0.01,0.762570768239392
22,2,310,0.75,1,0.1,0.800786659923278
22,2,310,0.5,1,0.001,0.521583671790646
22,2,310,0.5,1,0.01,0.583689849622706
22,2,310,0.5,1,0.1,0.631270043432508
22,2,310,0.25,1,0.001,0.457476488916498
22,2,310,0.25,1,0.01,0.531393325490295
22,2,310,0.25,1,0.1,0.562050449179551
22,2,310,0.75,2,0.001,0.731456835710155
22,2,310,0.75,2,0.01,0.750892745487509
22,2,310,0.75,2,0.1,0.793132318997477
22,2,310,0.5,2,0.001,0.527725512219905
22,2,310,0.5,2,0.01,0.572468902492895
22,2,310,0.5,2,0.1,0.640922206138124
22,2,310,0.25,2,0.001,0.429050564005976
22,2,310,0.25,2,0.01,0.495860164264616
22,2,310,0.25,2,0.1,0.564405234579852
22,2,310,0.75,3,0.001,0.674638243122119
22,2,310,0.75,3,0.01,0.741511110717846
22,2,310,0.75,3,0.1,0.773314689309588
22,2,310,0.5,3,0.001,0.529383498479454
22,2,310,0.5,3,0.01,0.56186915059176
22,2,310,0.5,3,0.1,0.601473809143395
22,2,310,0.25,3,0.001,0.441663923260565
22,2,310,0.25,3,0.01,0.486547208579093
22,2,310,0.25,3,0.1,0.525869120937446
22,2,310,0.75,4,0.001,0.688049782311762
22,2,310,0.75,4,0.01,0.75413655153649
22,2,310,0.75,4,0.1,0.796483784357985
22,2,310,0.5,4,0.001,0.551500251862441
22,2,310,0.5,4,0.01,0.577865015559351
22,2,310,0.5,4,0.1,0.629933646156185
22,2,310,0.25,4,0.001,0.501929739285014
22,2,310,0.25,4,0.01,0.51050235474144
22,2,310,0.25,4,0.1,0.547206273789135
22,2,310,0.75,5,0.001,0.608048317089787
22,2,310,0.75,5,0.01,0.717762198398634
22,2,310,0.75,5,0.1,0.778625186323313
22,2,310,0.5,5,0.001,0.400838452075007
22,2,310,0.5,5,0.01,0.48977318512595
22,2,310,0.5,5,0.1,0.589831538017753
22,2,310,0.25,5,0.001,0.309116104553748
22,2,310,0.25,5,0.01,0.407495501722817
22,2,310,0.25,5,0.1,0.499660895418414
22,2,310,0.75,6,0.001,0.783463452017024
22,2,310,0.75,6,0.01,0.795765345784153
22,2,310,0.75,6,0.1,0.809885160549469
22,2,310,0.5,6,0.001,0.650031875347684
22,2,310,0.5,6,0.01,0.661718928148932
22,2,310,0.5,6,0.1,0.668533293104653
22,2,310,0.25,6,0.001,0.559802037839645
22,2,310,0.25,6,0.01,0.57376346110909
22,2,310,0.25,6,0.1,0.584343336144074
22,2,310,0.75,7,0.001,0.677187469395547
22,2,310,0.75,7,0.01,0.702798073893321
22,2,310,0.75,7,0.1,0.753556505571119
22,2,310,0.5,7,0.001,0.489298912720065
22,2,310,0.5,7,0.01,0.517303613519348
22,2,310,0.5,7,0.1,0.57696674512995
22,2,310,0.25,7,0.001,0.416734136394267
22,2,310,0.25,7,0.01,0.453643788019233
22,2,310,0.25,7,0.1,0.510948925989124
22,2,310,0.75,8,0.001,0.747161242087932
22,2,310,0.75,8,0.01,0.758252621321043
22,2,310,0.75,8,0.1,0.781514723484686
22,2,310,0.5,8,0.001,0.590578997131174
22,2,310,0.5,8,0.01,0.601380290506835
22,2,310,0.5,8,0.1,0.633508101035429
22,2,310,0.25,8,0.001,0.484403740554771
22,2,310,0.25,8,0.01,0.513189246706676
22,2,310,0.25,8,0.1,0.558657701426592
22,3,715,0.75,1,0.001,0.816126097353991
22,3,715,0.75,1,0.01,0.920636360008011
22,3,715,0.75,1,0.1,0.908892799783131
22,3,715,0.5,1,0.001,0.717913685068707
22,3,715,0.5,1,0.01,0.851192929489245
22,3,715,0.5,1,0.1,0.84490218161389
22,3,715,0.25,1,0.001,0.620701702339742
22,3,715,0.25,1,0.01,0.766034076851504
22,3,715,0.25,1,0.1,0.809030260036772
22,3,715,0.75,2,0.001,0.781581370877374
22,3,715,0.75,2,0.01,0.876366006968565
22,3,715,0.75,2,0.1,0.884245199825755
22,3,715,0.5,2,0.001,0.669114179728413
22,3,715,0.5,2,0.01,0.798139847819191
22,3,715,0.5,2,0.1,0.81259327406511
22,3,715,0.25,2,0.001,0.600763892158814
22,3,715,0.25,2,0.01,0.729413044819004
22,3,715,0.25,2,0.1,0.781163493765897
22,3,715,0.75,3,0.001,0.803962400154494
22,3,715,0.75,3,0.01,0.922669041059545
22,3,715,0.75,3,0.1,0.920607903519629
22,3,715,0.5,3,0.001,0.696214689871478
22,3,715,0.5,3,0.01,0.827149785592885
22,3,715,0.5,3,0.1,0.848331548199721
22,3,715,0.25,3,0.001,0.606754423757176
22,3,715,0.25,3,0.01,0.733023951550656
22,3,715,0.25,3,0.1,0.803785974973506
22,3,715,0.75,4,0.001,0.80890279112902
22,3,715,0.75,4,0.01,0.910567110220831
22,3,715,0.75,4,0.1,0.901348256464136
22,3,715,0.5,4,0.001,0.679401848716885
22,3,715,0.5,4,0.01,0.828375731158077
22,3,715,0.5,4,0.1,0.833868655258827
22,3,715,0.25,4,0.001,0.624088192513535
22,3,715,0.25,4,0.01,0.752087855820257
22,3,715,0.25,4,0.1,0.796819192764569
22,3,715,0.75,5,0.001,0.782603746545826
22,3,715,0.75,5,0.01,0.898843442008501
22,3,715,0.75,5,0.1,0.907415063900995
22,3,715,0.5,5,0.001,0.706220011748274
22,3,715,0.5,5,0.01,0.8259185021793
22,3,715,0.5,5,0.1,0.835042571338051
22,3,715,0.25,5,0.001,0.626618628344162
22,3,715,0.25,5,0.01,0.762512810781544
22,3,715,0.25,5,0.1,0.798289944720403
22,3,715,0.75,6,0.001,0.729914539669242
22,3,715,0.75,6,0.01,0.896003245757604
22,3,715,0.75,6,0.1,0.901756656785756
22,3,715,0.5,6,0.001,0.610004301066766
22,3,715,0.5,6,0.01,0.831232108446671
22,3,715,0.5,6,0.1,0.846290864968242
22,3,715,0.25,6,0.001,0.578957240179622
22,3,715,0.25,6,0.01,0.748080027392926
22,3,715,0.25,6,0.1,0.812401381942884
22,3,715,0.75,7,0.001,0.7482707837864
22,3,715,0.75,7,0.01,0.889575605361096
22,3,715,0.75,7,0.1,0.896278153893094
22,3,715,0.5,7,0.001,0.63644495067232
22,3,715,0.5,7,0.01,0.800628205418671
22,3,715,0.5,7,0.1,0.830189383360688
22,3,715,0.25,7,0.001,0.605161123092453
22,3,715,0.25,7,0.01,0.720521976943113
22,3,715,0.25,7,0.1,0.798166456310708
22,3,715,0.75,8,0.001,0.746246454635468
22,3,715,0.75,8,0.01,0.872089161224152
22,3,715,0.75,8,0.1,0.903101052491149
22,3,715,0.5,8,0.001,0.683175277160952
22,3,715,0.5,8,0.01,0.80731276003732
22,3,715,0.5,8,0.1,0.83335671819679
22,3,715,0.25,8,0.001,0.641302703586115
22,3,715,0.25,8,0.01,0.745703257315755
22,3,715,0.25,8,0.1,0.792427562143297
22,4,809,0.75,1,0.001,0.913183982126303
22,4,809,0.75,1,0.01,0.955382376130141
22,4,809,0.75,1,0.1,0.955127908196824
22,4,809,0.5,1,0.001,0.842372343001422
22,4,809,0.5,1,0.01,0.907379535326058
22,4,809,0.5,1,0.1,0.921364670181347
22,4,809,0.25,1,0.001,0.8163267898795
22,4,809,0.25,1,0.01,0.863012718776412
22,4,809,0.25,1,0.1,0.891195909191662
22,4,809,0.75,2,0.001,0.913037841900878
22,4,809,0.75,2,0.01,0.948572813445369
22,4,809,0.75,2,0.1,0.948711160277785
22,4,809,0.5,2,0.001,0.820259295091068
22,4,809,0.5,2,0.01,0.898550135675693
22,4,809,0.5,2,0.1,0.909725966284097
22,4,809,0.25,2,0.001,0.811231421761537
22,4,809,0.25,2,0.01,0.865367346889816
22,4,809,0.25,2,0.1,0.886415244667297
22,4,809,0.75,3,0.001,0.909721182733696
22,4,809,0.75,3,0.01,0.947576112784952
22,4,809,0.75,3,0.1,0.94780562563251
22,4,809,0.5,3,0.001,0.826072587855589
22,4,809,0.5,3,0.01,0.890946501818138
22,4,809,0.5,3,0.1,0.906774557893132
22,4,809,0.25,3,0.001,0.789381325328826
22,4,809,0.25,3,0.01,0.844320585682127
22,4,809,0.25,3,0.1,0.877906051540597
22,4,809,0.75,4,0.001,0.91765446957515
22,4,809,0.75,4,0.01,0.954761592320591
22,4,809,0.75,4,0.1,0.956002973857087
22,4,809,0.5,4,0.001,0.817348155656588
22,4,809,0.5,4,0.01,0.902851854220225
22,4,809,0.5,4,0.1,0.92039598716428
22,4,809,0.25,4,0.001,0.793534361405838
22,4,809,0.25,4,0.01,0.861613341134178
22,4,809,0.25,4,0.1,0.88990718995038
22,4,809,0.75,5,0.001,0.912569238974378
22,4,809,0.75,5,0.01,0.953359912939275
22,4,809,0.75,5,0.1,0.953709055540717
22,4,809,0.5,5,0.001,0.81366631533404
22,4,809,0.5,5,0.01,0.899121667266444
22,4,809,0.5,5,0.1,0.916191686934581
22,4,809,0.25,5,0.001,0.779631377470631
22,4,809,0.25,5,0.01,0.853703521030194
22,4,809,0.25,5,0.1,0.885056923453574
22,4,809,0.75,6,0.001,0.916509596181305
22,4,809,0.75,6,0.01,0.951306355065062
22,4,809,0.75,6,0.1,0.951829979357478
22,4,809,0.5,6,0.001,0.84422633634776
22,4,809,0.5,6,0.01,0.900292441083017
22,4,809,0.5,6,0.1,0.916234648746841
22,4,809,0.25,6,0.001,0.798231870267481
22,4,809,0.25,6,0.01,0.853038973920346
22,4,809,0.25,6,0.1,0.886837718511344
22,4,809,0.75,7,0.001,0.908860521325541
22,4,809,0.75,7,0.01,0.952257032273613
22,4,809,0.75,7,0.1,0.95366987496739
22,4,809,0.5,7,0.001,0.842362450474847
22,4,809,0.5,7,0.01,0.903310916756694
22,4,809,0.5,7,0.1,0.917264990506468
22,4,809,0.25,7,0.001,0.814374814085231
22,4,809,0.25,7,0.01,0.859148242720405
22,4,809,0.25,7,0.1,0.886054156338252
22,4,809,0.75,8,0.001,0.932404467672726
22,4,809,0.75,8,0.01,0.959692478846327
22,4,809,0.75,8,0.1,0.957254987464519
22,4,809,0.5,8,0.001,0.8567227401635
22,4,809,0.5,8,0.01,0.913038312291782
22,4,809,0.5,8,0.1,0.923529084604146
22,4,809,0.25,8,0.001,0.822089470293204
22,4,809,0.25,8,0.01,0.864512000499387
22,4,809,0.25,8,0.1,0.89141014441342
22,5,417,0.75,1,0.001,0.421383258819856
22,5,417,0.75,1,0.01,0.526129153207456
22,5,417,0.75,1,0.1,0.586960108683549
22,5,417,0.5,1,0.001,0.476240732862078
22,5,417,0.5,1,0.01,0.566205878933223
22,5,417,0.5,1,0.1,0.59817675510482
22,5,417,0.25,1,0.001,0.486465402555546
22,5,417,0.25,1,0.01,0.585778630389362
22,5,417,0.25,1,0.1,0.615099761902816
22,5,417,0.75,2,0.001,0.407596762715513
22,5,417,0.75,2,0.01,0.522523990288157
22,5,417,0.75,2,0.1,0.592464833812299
22,5,417,0.5,2,0.001,0.432957560509462
22,5,417,0.5,2,0.01,0.548355216929
22,5,417,0.5,2,0.1,0.600928418090069
22,5,417,0.25,2,0.001,0.450995190702564
22,5,417,0.25,2,0.01,0.55997940512376
22,5,417,0.25,2,0.1,0.616452143219931
22,5,417,0.75,3,0.001,0.413179600788397
22,5,417,0.75,3,0.01,0.483652220407215
22,5,417,0.75,3,0.1,0.561987273136221
22,5,417,0.5,3,0.001,0.46277758646888
22,5,417,0.5,3,0.01,0.521622237703008
22,5,417,0.5,3,0.1,0.577772499748054
22,5,417,0.25,3,0.001,0.4974084550113
22,5,417,0.25,3,0.01,0.559679173966864
22,5,417,0.25,3,0.1,0.605754626770255
22,5,417,0.75,4,0.001,0.364584038317565
22,5,417,0.75,4,0.01,0.447473450099838
22,5,417,0.75,4,0.1,0.537470538628437
22,5,417,0.5,4,0.001,0.40202173882242
22,5,417,0.5,4,0.01,0.485332358671691
22,5,417,0.5,4,0.1,0.562932543160676
22,5,417,0.25,4,0.001,0.434076291669658
22,5,417,0.25,4,0.01,0.523260215584283
22,5,417,0.25,4,0.1,0.597110908347323
22,5,417,0.75,5,0.001,0.364257534557283
22,5,417,0.75,5,0.01,0.478895832379973
22,5,417,0.75,5,0.1,0.569583798207834
22,5,417,0.5,5,0.001,0.450154557800809
22,5,417,0.5,5,0.01,0.530836350478734
22,5,417,0.5,5,0.1,0.594668730329898
22,5,417,0.25,5,0.001,0.49792481818556
22,5,417,0.25,5,0.01,0.568112739990335
22,5,417,0.25,5,0.1,0.618677551119803
22,5,417,0.75,6,0.001,0.451842578282695
22,5,417,0.75,6,0.01,0.553691530838567
22,5,417,0.75,6,0.1,0.617833668393584
22,5,417,0.5,6,0.001,0.47246963161924
22,5,417,0.5,6,0.01,0.579869904066419
22,5,417,0.5,6,0.1,0.626311163387655
22,5,417,0.25,6,0.001,0.490102313289285
22,5,417,0.25,6,0.01,0.583291974195391
22,5,417,0.25,6,0.1,0.628095103480536
22,5,417,0.75,7,0.001,0.395223193254391
22,5,417,0.75,7,0.01,0.490427159824541
22,5,417,0.75,7,0.1,0.583794436867093
22,5,417,0.5,7,0.001,0.408044585795707
22,5,417,0.5,7,0.01,0.500979172242464
22,5,417,0.5,7,0.1,0.582112908993817
22,5,417,0.25,7,0.001,0.426250821955913
22,5,417,0.25,7,0.01,0.527350205918113
22,5,417,0.25,7,0.1,0.600787034251054
22,5,417,0.75,8,0.001,0.443298847707623
22,5,417,0.75,8,0.01,0.526038341700099
22,5,417,0.75,8,0.1,0.599015037584051
22,5,417,0.5,8,0.001,0.507424749249288
22,5,417,0.5,8,0.01,0.575890440904931
22,5,417,0.5,8,0.1,0.608638615529904
22,5,417,0.25,8,0.001,0.527657099296492
22,5,417,0.25,8,0.01,0.598217821920109
22,5,417,0.25,8,0.1,0.620703426627272
22,6,480,0.75,1,0.001,0.83971699887259
22,6,480,0.75,1,0.01,0.867190001745596
22,6,480,0.75,1,0.1,0.872056740763793
22,6,480,0.5,1,0.001,0.687202266731416
22,6,480,0.5,1,0.01,0.756735621817262
22,6,480,0.5,1,0.1,0.775200248127705
22,6,480,0.25,1,0.001,0.598962833635946
22,6,480,0.25,1,0.01,0.725158194677072
22,6,480,0.25,1,0.1,0.751162115439703
22,6,480,0.75,2,0.001,0.778035883534055
22,6,480,0.75,2,0.01,0.855428656466066
22,6,480,0.75,2,0.1,0.874946305324761
22,6,480,0.5,2,0.001,0.656856904951352
22,6,480,0.5,2,0.01,0.744245849658907
22,6,480,0.5,2,0.1,0.780714613771857
22,6,480,0.25,2,0.001,0.614195513750449
22,6,480,0.25,2,0.01,0.714514106431758
22,6,480,0.25,2,0.1,0.761406965831658
22,6,480,0.75,3,0.001,0.835323646660516
22,6,480,0.75,3,0.01,0.87210810679962
