chr,block_id,m,w_eur,lambda,delta,r2
22,1,255,0.75,0,0.001,0.68688773275883
22,1,255,0.75,0,0.01,0.709144936946378
22,1,255,0.75,0,0.1,0.72534994643778
22,1,255,0.75,0.25,0.001,0.674771918460935
22,1,255,0.75,0.25,0.01,0.695929854628447
22,1,255,0.75,0.25,0.1,0.718945653027032
22,1,255,0.75,0.5,0.001,0.673677300458779
22,1,255,0.75,0.5,0.01,0.693837775514408
22,1,255,0.75,0.5,0.1,0.717477677192933
22,1,255,0.75,0.75,0.001,0.673080940217761
22,1,255,0.75,0.75,0.01,0.69243831169588
22,1,255,0.75,0.75,0.1,0.716641393460949
22,1,255,0.75,1,0.001,0.672426498352837
22,1,255,0.75,1,0.01,0.691115883076069
22,1,255,0.75,1,0.1,0.715993086742185
22,1,255,0.5,0,0.001,0.642170152660129
22,1,255,0.5,0,0.01,0.654846464627013
22,1,255,0.5,0,0.1,0.643334009754898
22,1,255,0.5,0.25,0.001,0.638488542846705
22,1,255,0.5,0.25,0.01,0.649779508301253
22,1,255,0.5,0.25,0.1,0.638785669929862
22,1,255,0.5,0.5,0.001,0.640611156237296
22,1,255,0.5,0.5,0.01,0.651036539780195
22,1,255,0.5,0.5,0.1,0.638415740149415
22,1,255,0.5,0.75,0.001,0.642669216016175
22,1,255,0.5,0.75,0.01,0.652442593767263
22,1,255,0.5,0.75,0.1,0.638496503540777
22,1,255,0.5,1,0.001,0.644367245843804
22,1,255,0.5,1,0.01,0.653639483304769
22,1,255,0.5,1,0.1,0.638675414133407
22,1,255,0.25,0,0.001,0.610028336957389
22,1,255,0.25,0,0.01,0.603955064893441
22,1,255,0.25,0,0.1,0.577846352135589
22,1,255,0.25,0.25,0.001,0.610459597472885
22,1,255,0.25,0.25,0.01,0.603209357174055
22,1,255,0.25,0.25,0.1,0.57347049569905
22,1,255,0.25,0.5,0.001,0.614199582950551
22,1,255,0.25,0.5,0.01,0.606536679318454
22,1,255,0.25,0.5,0.1,0.57426472980864
22,1,255,0.25,0.75,0.001,0.617819931824182
22,1,255,0.25,0.75,0.01,0.609944544950705
22,1,255,0.25,0.75,0.1,0.57553067038122
22,1,255,0.25,1,0.001,0.621098325041904
22,1,255,0.25,1,0.01,0.613128578138492
22,1,255,0.25,1,0.1,0.576812443330934
22,2,310,0.75,0,0.001,0.720929190426629
22,2,310,0.75,0,0.01,0.760374651857832
22,2,310,0.75,0,0.1,0.797727861765729
22,2,310,0.75,0.25,0.001,0.710947192539017
22,2,310,0.75,0.25,0.01,0.751152450317602
22,2,310,0.75,0.25,0.1,0.79113175683928
