w_eur,lambda,mean,sd,lo95,hi95
0.75,0,0.881739779541316,0.0191180107836476,0.840444513745014,0.915526343494876
0.75,0.25,0.881485804493891,0.0190903748920273,0.840114587867194,0.914956305081257
0.75,0.5,0.880246739438844,0.0193566006183558,0.840078220327787,0.914412773492065
0.75,0.75,0.878674333411057,0.0190580290746552,0.841100181264301,0.913699889486062
0.75,1,0.876896199759383,0.0194882925916497,0.836223693285878,0.91255006840565
0.5,0,0.819893259908346,0.0196029015239907,0.781853130366504,0.857809079041492
0.5,0.25,0.822676730133526,0.0192919726894899,0.784712271896167,0.859262415949891
0.5,0.5,0.822198570694612,0.0188649410682745,0.782502444456964,0.856318018029364
0.5,0.75,0.820995959559594,0.0189836498285498,0.783527782225668,0.857098879181704
0.5,1,0.819371548339999,0.0190641855657923,0.781387222017792,0.857402463703702
0.25,0,0.765081279612227,0.0198425807558688,0.726650202147372,0.804153815169913
0.25,0.25,0.769776181809551,0.0194862753288351,0.731656694463684,0.80770944122395
0.25,0.5,0.77145365902001,0.0189290650828908,0.73494259810026,0.808263069895981
0.25,0.75,0.772363190445214,0.018015338618803,0.737829278105358,0.807723375792648
0.25,1,0.772771056031102,0.0193038435766055,0.733318081392003,0.809559435858784
