w_eur,candidate,kind,mean,sd,lo95,hi95
0.75,MELD_lambda0,pre,0.841124188715835,0.0268018231060353,0.789696085841725,0.891187029253415
0.75,MELD_lambda0,post,0.881739779541316,0.019040183133325,0.840174687301482,0.915887443226345
0.75,MELD_lambda1,pre,0.836965610880084,0.0321601577000531,0.767415888685422,0.891048222413143
0.75,MELD_lambda1,post,0.876896199759383,0.0197796900134161,0.83474322386216,0.912746438902314
0.75,EUR,pre,0.621675364009374,0.065002717306802,0.489736233777409,0.747680872314282
0.75,EUR,post,0.762260152652863,0.033193063487866,0.693892573729656,0.823156171050323
0.75,AFR,pre,0.464887139376869,0.0579693555244282,0.353742389409064,0.580662269162182
0.75,AFR,post,0.631495036937413,0.034441022626227,0.560118780039448,0.694719900607871
0.5,MELD_lambda0,pre,0.683478457996439,0.0578740657580411,0.568256775871139,0.788896245043348
0.5,MELD_lambda0,post,0.819893259908346,0.0197096130787497,0.781723200935626,0.857134344477851
0.5,MELD_lambda1,pre,0.732061199794095,0.0532216020702606,0.616222015458906,0.820724207672358
0.5,MELD_lambda1,post,0.819371548339999,0.0196185528095676,0.780889200886451,0.856556497612996
0.5,EUR,pre,0.467758582534218,0.0578565293230551,0.358140026988158,0.579113134078116
0.5,EUR,post,0.600993607142265,0.0347974484352608,0.533239545508692,0.668053974739557
0.5,AFR,pre,0.467364103679826,0.0572847227400781,0.35662647835323,0.574538167282156
0.5,AFR,post,0.644499982346198,0.0275514538120809,0.587570161018273,0.699573249352643
0.5,MELD_pooled,pre,0.719603228617907,0.046263925321677,0.624870236356503,0.806657669853015
0.5,MELD_pooled,post,0.805616037098306,0.0192768703136896,0.767547519786875,0.842876159790312
0.25,MELD_lambda0,pre,0.619333923982138,0.0529665035473271,0.511979657498917,0.719196476598472
0.25,MELD_lambda0,post,0.765081279612227,0.019969812227286,0.726616136152466,0.805585884008734
0.25,MELD_lambda1,pre,0.620852547723802,0.0559427899456316,0.511493672172934,0.726764829373756
0.25,MELD_lambda1,post,0.772771056031102,0.0186724842048192,0.735732392102417,0.810944331799252
0.25,EUR,pre,0.389100021149999,0.0473449404278361,0.294707833097202,0.482505543951083
0.25,EUR,post,0.511922133347154,0.0303454225384122,0.454661257740918,0.574060775557305
0.25,AFR,pre,0.478632113050097,0.0577297595622582,0.367830202429052,0.593499544116838
0.25,AFR,post,0.650293540493987,0.0251020899459066,0.602740507628482,0.699877780713847
