w_eur,comparison,mean_diff,sd,lo95,hi95
0.25,MELD_lambda0 − AFR (post),0.11478773911824,0.0136876347733743,0.0874543165435977,0.141406369068747
0.5,MELD_lambda0 − AFR (post),0.175393277562149,0.0188734243672532,0.140043151171598,0.212538109770779
0.75,MELD_lambda0 − AFR (post),0.250244742603903,0.0258576977935924,0.205729841892239,0.304014488598344
0.25,MELD_lambda0 − EUR (post),0.253159146265073,0.0207432390124374,0.213205545582446,0.29396796092982
0.5,MELD_lambda0 − EUR (post),0.218899652766082,0.0202776549552356,0.178007772552385,0.258207192722912
0.75,MELD_lambda0 − EUR (post),0.119479626888453,0.0181839448631096,0.0839801687654947,0.155594572401533
0.25,MELD_lambda1 − MELD_lambda0 (post),0.00768977641887475,0.00273746443302436,0.0019819329584687,0.0128475993836391
0.5,MELD_lambda1 − MELD_lambda0 (post),-0.000521711568347057,0.00270275401685285,-0.00579789153770075,0.00464195712940171
0.75,MELD_lambda1 − MELD_lambda0 (post),-0.00484357978193271,0.00191911082262014,-0.00870923447459249,-0.00117736122609394
0.25,MELD_lambda1 − AFR (post),0.122477515537115,0.0145899281329664,0.0935749202340346,0.151548433406468
0.5,MELD_lambda1 − AFR (post),0.174871565993802,0.0205157895715971,0.136752938421502,0.217244826786021
0.75,MELD_lambda1 − AFR (post),0.24540116282197,0.0249618401761976,0.200148637311805,0.29876957527689
0.25,MELD_lambda1 − EUR (post),0.260848922683948,0.0201609703288131,0.219451932963955,0.299681223080478
0.5,MELD_lambda1 − EUR (post),0.218377941197735,0.0201681741118763,0.179123528195064,0.256983418071407
0.75,MELD_lambda1 − EUR (post),0.11463604710652,0.0189099709646788,0.0806042411224403,0.153874097589405
0.25,MELD_lambda1 − placebo (post),0.00971693255418312,0.00272518570195237,0.00457540500002161,0.0149342581784839
0.5,MELD_lambda1 − placebo (post),0.0116699472507075,0.0025709600689037,0.00625076813658106,0.0162819964615376
0.75,MELD_lambda1 − placebo (post),0.0073122664113894,0.00240140078609171,0.00246647407738936,0.0119564449161885
