weight_set,candidate,mean,sd,lo95,hi95
paperN,MELD_lambda0,0.954002713662481,0.00769132470203931,0.938222973587112,0.967989588525061
paperN,MELD_lambda1,0.953960563657399,0.00725373301866327,0.938721593475477,0.967064624969314
paperN,EUR,0.926487633084354,0.0128560597968909,0.898437910569984,0.949679651220271
paperN,EAS,0.781374367930683,0.0285384356289156,0.71762465347334,0.831434770708462
paperN,AFR,0.647573755468138,0.0391521247754288,0.570264908596013,0.721014611084843
paperN,CSA,0.888217328586194,0.0159918609079774,0.855679909982332,0.917565032438725
paperN,AMR,0.864669953241911,0.0220979126222368,0.818143963141349,0.904530043389402
afproj,MELD_lambda0,0.953240210134407,0.00782264478357082,0.936857775586375,0.967992625407608
afproj,MELD_lambda1,0.953188315213399,0.00772104104684822,0.937327817404273,0.967273275944926
afproj,EUR,0.926487633084354,0.0131306996282219,0.899299566476643,0.950759450248822
afproj,EAS,0.781374367930683,0.0280442264557804,0.723029879386185,0.82981475698927
afproj,AFR,0.647573755468138,0.0386926410959868,0.570290476175387,0.721536782797469
afproj,CSA,0.888217328586194,0.0160564989588605,0.854735839264341,0.918281975133995
afproj,AMR,0.864669953241911,0.0215979913011694,0.821555440029515,0.905035698213542
