chr,block_id,m,weight_set,candidate,r2
22,1,255,paperN,MELD_lambda0,0.879566272760404
22,1,255,paperN,MELD_lambda1,0.877784966624432
22,1,255,paperN,EUR,0.836767811297195
22,1,255,paperN,EAS,0.501216511840606
22,1,255,paperN,AFR,0.561360767796569
22,1,255,paperN,CSA,0.841024680608312
22,1,255,paperN,AMR,0.798590003163393
22,1,255,afproj,MELD_lambda0,0.878190082738772
22,1,255,afproj,MELD_lambda1,0.87673431837634
22,1,255,afproj,EUR,0.836767811297195
22,1,255,afproj,EAS,0.501216511840606
22,1,255,afproj,AFR,0.561360767796569
22,1,255,afproj,CSA,0.841024680608312
22,1,255,afproj,AMR,0.798590003163393
22,2,310,paperN,MELD_lambda0,0.922097312363656
22,2,310,paperN,MELD_lambda1,0.920433076931752
22,2,310,paperN,EUR,0.900137058050913
22,2,310,paperN,EAS,0.889919304767407
22,2,310,paperN,AFR,0.790846995200689
22,2,310,paperN,CSA,0.880731564823036
22,2,310,paperN,AMR,0.843655172574166
22,2,310,afproj,MELD_lambda0,0.921920315213854
22,2,310,afproj,MELD_lambda1,0.920204936922597
22,2,310,afproj,EUR,0.900137058050913
22,2,310,afproj,EAS,0.889919304767407
22,2,310,afproj,AFR,0.790846995200689
22,2,310,afproj,CSA,0.880731564823036
22,2,310,afproj,AMR,0.843655172574166
22,3,715,paperN,MELD_lambda0,0.963048990541972
22,3,715,paperN,MELD_lambda1,0.958522934938958
22,3,715,paperN,EUR,0.954028695767166
22,3,715,paperN,EAS,0.815097368327042
22,3,715,paperN,AFR,0.775898868231234
22,3,715,paperN,CSA,0.906045480192604
22,3,715,paperN,AMR,0.923946902625806
22,3,715,afproj,MELD_lambda0,0.962490312364318
22,3,715,afproj,MELD_lambda1,0.958158709460252
22,3,715,afproj,EUR,0.954028695767166
22,3,715,afproj,EAS,0.815097368327042
22,3,715,afproj,AFR,0.775898868231234
22,3,715,afproj,CSA,0.906045480192604
22,3,715,afproj,AMR,0.923946902625806
22,4,809,paperN,MELD_lambda0,0.98868629037872
22,4,809,paperN,MELD_lambda1,0.989157010825068
22,4,809,paperN,EUR,0.974605275174142
22,4,809,paperN,EAS,0.861006484383475
22,4,809,paperN,AFR,0.739092921932275
22,4,809,paperN,CSA,0.933277236111407
22,4,809,paperN,AMR,0.943913827845716
22,4,809,afproj,MELD_lambda0,0.988314204846596
22,4,809,afproj,MELD_lambda1,0.988817597055124
22,4,809,afproj,EUR,0.974605275174142
22,4,809,afproj,EAS,0.861006484383475
22,4,809,afproj,AFR,0.739092921932275
22,4,809,afproj,CSA,0.933277236111407
22,4,809,afproj,AMR,0.943913827845716
22,5,417,paperN,MELD_lambda0,0.928126322749113
22,5,417,paperN,MELD_lambda1,0.915727591946271
22,5,417,paperN,EUR,0.924855663987124
22,5,417,paperN,EAS,0.70980662190281
22,5,417,paperN,AFR,0.46429533068012
22,5,417,paperN,CSA,0.804646774515734
22,5,417,paperN,AMR,0.819482745152265
22,5,417,afproj,MELD_lambda0,0.926647891761474
22,5,417,afproj,MELD_lambda1,0.913796903367326
22,5,417,afproj,EUR,0.924855663987124
22,5,417,afproj,EAS,0.70980662190281
22,5,417,afproj,AFR,0.46429533068012
22,5,417,afproj,CSA,0.804646774515734
22,5,417,afproj,AMR,0.819482745152265
22,6,480,paperN,MELD_lambda0,0.886347748046468
22,6,480,paperN,MELD_lambda1,0.883839033440367
22,6,480,paperN,EUR,0.825509897718749
22,6,480,paperN,EAS,0.748658374430721
22,6,480,paperN,AFR,0.86160052962245
22,6,480,paperN,CSA,0.880294882478716
22,6,480,paperN,AMR,0.816861486266654
22,6,480,afproj,MELD_lambda0,0.886614570634558
22,6,480,afproj,MELD_lambda1,0.883686864893647
22,6,480,afproj,EUR,0.825509897718749
22,6,480,afproj,EAS,0.748658374430721
22,6,480,afproj,AFR,0.86160052962245
22,6,480,afproj,CSA,0.880294882478716
22,6,480,afproj,AMR,0.816861486266654
22,7,948,paperN,MELD_lambda0,0.941517107928919
22,7,948,paperN,MELD_lambda1,0.937699047264478
22,7,948,paperN,EUR,0.928020890767858
22,7,948,paperN,EAS,0.791004694059712
22,7,948,paperN,AFR,0.399124250121185
22,7,948,paperN,CSA,0.823076939067788
22,7,948,paperN,AMR,0.832809874720618
22,7,948,afproj,MELD_lambda0,0.940584529425655
22,7,948,afproj,MELD_lambda1,0.936466096792569
22,7,948,afproj,EUR,0.928020890767858
22,7,948,afproj,EAS,0.791004694059712
22,7,948,afproj,AFR,0.399124250121185
22,7,948,afproj,CSA,0.823076939067788
22,7,948,afproj,AMR,0.832809874720618
22,8,863,paperN,MELD_lambda0,0.879586606652754
22,8,863,paperN,MELD_lambda1,0.883413075935248
22,8,863,paperN,EUR,0.791566547619977
22,8,863,paperN,EAS,0.631271052929082
22,8,863,paperN,AFR,0.428152556380498
22,8,863,paperN,CSA,0.712619437964251
22,8,863,paperN,AMR,0.616192107847975
22,8,863,afproj,MELD_lambda0,0.87710358232104
22,8,863,afproj,MELD_lambda1,0.881306145616328
22,8,863,afproj,EUR,0.791566547619977
22,8,863,afproj,EAS,0.631271052929082
22,8,863,afproj,AFR,0.428152556380498
22,8,863,afproj,CSA,0.712619437964251
22,8,863,afproj,AMR,0.616192107847975
22,9,734,paperN,MELD_lambda0,0.96132786506545
22,9,734,paperN,MELD_lambda1,0.957269137077106
22,9,734,paperN,EUR,0.899392703149368
22,9,734,paperN,EAS,0.728339177387058
22,9,734,paperN,AFR,0.379523451595081
22,9,734,paperN,CSA,0.887165716413397
22,9,734,paperN,AMR,0.854032335327115
22,9,734,afproj,MELD_lambda0,0.960706662528565
22,9,734,afproj,MELD_lambda1,0.956655107108739
22,9,734,afproj,EUR,0.899392703149368
22,9,734,afproj,EAS,0.728339177387058
22,9,734,afproj,AFR,0.379523451595081
22,9,734,afproj,CSA,0.887165716413397
22,9,734,afproj,AMR,0.854032335327115
22,10,689,paperN,MELD_lambda0,0.995760762905878
22,10,689,paperN,MELD_lambda1,0.995064763993161
22,10,689,paperN,EUR,0.992613968374881
22,10,689,paperN,EAS,0.877584968030945
22,10,689,paperN,AFR,0.835607212364908
22,10,689,paperN,CSA,0.937875507248248
22,10,689,paperN,AMR,0.967152521956057
22,10,689,afproj,MELD_lambda0,0.995811674071575
22,10,689,afproj,MELD_lambda1,0.995089623426352
22,10,689,afproj,EUR,0.992613968374881
22,10,689,afproj,EAS,0.877584968030945
22,10,689,afproj,AFR,0.835607212364908
22,10,689,afproj,CSA,0.937875507248248
22,10,689,afproj,AMR,0.967152521956057
22,11,437,paperN,MELD_lambda0,0.99158580344859
22,11,437,paperN,MELD_lambda1,0.992636728416602
22,11,437,paperN,EUR,0.985362687686137
22,11,437,paperN,EAS,0.947907956087074
22,11,437,paperN,AFR,0.866493037025485
22,11,437,paperN,CSA,0.969238975104317
22,11,437,paperN,AMR,0.966224607745295
22,11,437,afproj,MELD_lambda0,0.991641908273822
22,11,437,afproj,MELD_lambda1,0.992610908648149
22,11,437,afproj,EUR,0.985362687686137
22,11,437,afproj,EAS,0.947907956087074
22,11,437,afproj,AFR,0.866493037025485
22,11,437,afproj,CSA,0.969238975104317
22,11,437,afproj,AMR,0.966224607745295
