label,vs,mean_diff,sd,lo95,hi95
paperN,EUR_baseline,0.0303945733193065,0.00475260733408013,0.0216760080275493,0.0402906935821948
paperN,afproj,0.000444952954047297,0.000120645272387372,0.000226963145992558,0.000699744954285359
afproj,EUR_baseline,0.0299496203652592,0.00462258554162951,0.0211543573485151,0.0388504907563687
equal,EUR_baseline,0.0224388036768289,0.00473203875223453,0.0136236261281275,0.0321371806333969
equal,afproj,-0.00751081668843027,0.00174620695189348,-0.0109839765057056,-0.00420242948887967
scramble_swap_EUR_AFR,EUR_baseline,-0.0572354342998535,0.00757788235123627,-0.0724131007204203,-0.0432128859427744
scramble_swap_EUR_AFR,afproj,-0.0871850546651127,0.00887016593402988,-0.10447750764812,-0.0706388385708694
scramble_cyclic,EUR_baseline,-0.0257754280619667,0.00478884227633449,-0.0353306837793395,-0.0168450865255898
scramble_cyclic,afproj,-0.0557250484272259,0.00513507416841526,-0.0656588657908482,-0.045803921390253
sweep_wEUR_0.00,EUR_baseline,-0.0152146819322631,0.00492823869115551,-0.025176321296121,-0.00567011887056106
sweep_wEUR_0.00,afproj,-0.0451643022975223,0.00470935512526727,-0.054588198240591,-0.0362830788055167
sweep_wEUR_0.10,EUR_baseline,0.00666292860838732,0.00458822499863766,-0.00181249695520944,0.0164976314535385
sweep_wEUR_0.10,afproj,-0.0232866917568718,0.00291951390605996,-0.0293095405908895,-0.0176438181986819
sweep_wEUR_0.20,EUR_baseline,0.0166967223254086,0.00476734651317646,0.00814807498661877,0.0269699439901491
sweep_wEUR_0.20,afproj,-0.0132528980398505,0.00215867024624028,-0.0176066543576158,-0.00898156244354814
sweep_wEUR_0.30,EUR_baseline,0.0230467386154536,0.00499655975923324,0.0135818357883622,0.0332039633356796
sweep_wEUR_0.30,afproj,-0.00690288174980557,0.00164082301166829,-0.010129337718637,-0.00371306932086931
sweep_wEUR_0.40,EUR_baseline,0.0272760130164989,0.00515501153060753,0.0178290087409342,0.0379733719505866
sweep_wEUR_0.40,afproj,-0.00267360734876029,0.00128663485014095,-0.00511720828978077,4.39535798585596e-06
sweep_wEUR_0.50,EUR_baseline,0.0299659091273632,0.00512902824093936,0.0205497774294443,0.0403291098298584
sweep_wEUR_0.50,afproj,1.62887621040931e-05,0.000964095527794906,-0.00169730216307184,0.00196464563328761
sweep_wEUR_0.60,EUR_baseline,0.0312801080792254,0.00524810671951976,0.0218422702923033,0.0422293943279997
sweep_wEUR_0.60,afproj,0.00133048771396624,0.000686164587618035,5.52917861636025e-05,0.00276881179013716
sweep_wEUR_0.70,EUR_baseline,0.0312147959296459,0.00501360921691416,0.0218466409975989,0.0412514966980779
sweep_wEUR_0.70,afproj,0.00126517556438679,0.000358747597777567,0.000616061411930273,0.00203037223410464
sweep_wEUR_0.80,EUR_baseline,0.0294215682503662,0.0045110478750863,0.021050772439911,0.0391770254055734
sweep_wEUR_0.80,afproj,-0.00052805211489292,0.000112696404622234,-0.000775937611199452,-0.000339909180644818
sweep_wEUR_0.90,EUR_baseline,0.0246895391584127,0.00378220855767149,0.0177261888204793,0.0319771517934309
sweep_wEUR_0.90,afproj,-0.00526008120684648,0.000968138807098329,-0.00729203812718694,-0.00355407058652998
sweep_wEUR_1.00,EUR_baseline,-9.39859323478303e-11,1.08881304868281e-10,-3.35864344572977e-10,4.2676793021227e-11
sweep_wEUR_1.00,afproj,-0.0299496204592451,0.00470249977015776,-0.0395362990252593,-0.021295785148668
