label,pop,w
paperN,EUR,0.772289874529089
paperN,EAS,0.128420049079337
paperN,AFR,0.0489781623704006
paperN,CSA,0.0217559117739335
paperN,AMR,0.0285560022472402
afproj,EUR,0.7800342
afproj,EAS,0.1274324
afproj,AFR,0.0527999
afproj,CSA,0.0192742
afproj,AMR,0.0204593
equal,EUR,0.2
equal,EAS,0.2
equal,AFR,0.2
equal,CSA,0.2
equal,AMR,0.2
scramble_swap_EUR_AFR,EUR,0.0527999
scramble_swap_EUR_AFR,EAS,0.1274324
scramble_swap_EUR_AFR,AFR,0.7800342
scramble_swap_EUR_AFR,CSA,0.0192742
scramble_swap_EUR_AFR,AMR,0.0204593
scramble_cyclic,EUR,0.0204593
scramble_cyclic,EAS,0.7800342
scramble_cyclic,AFR,0.1274324
scramble_cyclic,CSA,0.0527999
scramble_cyclic,AMR,0.0192742
sweep_wEUR_0.00,EUR,0
sweep_wEUR_0.00,EAS,0.57932824102656
sweep_wEUR_0.00,AFR,0.240036860275552
sweep_wEUR_0.00,CSA,0.0876236214902498
sweep_wEUR_0.00,AMR,0.0930112772076386
sweep_wEUR_0.10,EUR,0.1
sweep_wEUR_0.10,EAS,0.521395416923904
sweep_wEUR_0.10,AFR,0.216033174247997
sweep_wEUR_0.10,CSA,0.0788612593412249
sweep_wEUR_0.10,AMR,0.0837101494868748
sweep_wEUR_0.20,EUR,0.2
sweep_wEUR_0.20,EAS,0.463462592821248
sweep_wEUR_0.20,AFR,0.192029488220442
sweep_wEUR_0.20,CSA,0.0700988971921999
sweep_wEUR_0.20,AMR,0.0744090217661109
sweep_wEUR_0.30,EUR,0.3
sweep_wEUR_0.30,EAS,0.405529768718592
sweep_wEUR_0.30,AFR,0.168025802192886
sweep_wEUR_0.30,CSA,0.0613365350431749
sweep_wEUR_0.30,AMR,0.065107894045347
sweep_wEUR_0.40,EUR,0.4
sweep_wEUR_0.40,EAS,0.347596944615936
sweep_wEUR_0.40,AFR,0.144022116165331
sweep_wEUR_0.40,CSA,0.0525741728941499
sweep_wEUR_0.40,AMR,0.0558067663245832
sweep_wEUR_0.50,EUR,0.5
sweep_wEUR_0.50,EAS,0.28966412051328
sweep_wEUR_0.50,AFR,0.120018430137776
sweep_wEUR_0.50,CSA,0.0438118107451249
sweep_wEUR_0.50,AMR,0.0465056386038193
sweep_wEUR_0.60,EUR,0.6
sweep_wEUR_0.60,EAS,0.231731296410624
sweep_wEUR_0.60,AFR,0.0960147441102207
sweep_wEUR_0.60,CSA,0.0350494485960999
sweep_wEUR_0.60,AMR,0.0372045108830555
sweep_wEUR_0.70,EUR,0.7
sweep_wEUR_0.70,EAS,0.173798472307968
sweep_wEUR_0.70,AFR,0.0720110580826656
sweep_wEUR_0.70,CSA,0.026287086447075
sweep_wEUR_0.70,AMR,0.0279033831622916
sweep_wEUR_0.80,EUR,0.8
sweep_wEUR_0.80,EAS,0.115865648205312
sweep_wEUR_0.80,AFR,0.0480073720551104
sweep_wEUR_0.80,CSA,0.01752472429805
sweep_wEUR_0.80,AMR,0.0186022554415277
sweep_wEUR_0.90,EUR,0.9
sweep_wEUR_0.90,EAS,0.057932824102656
sweep_wEUR_0.90,AFR,0.0240036860275552
sweep_wEUR_0.90,CSA,0.00876236214902498
sweep_wEUR_0.90,AMR,0.00930112772076386
sweep_wEUR_1.00,EUR,1
sweep_wEUR_1.00,EAS,0
sweep_wEUR_1.00,AFR,0
sweep_wEUR_1.00,CSA,0
sweep_wEUR_1.00,AMR,0
