chr,block_id,m,afr_treatment,w_eur,r2_l0,r2_l1,placebo_r2
22,1,255,corrected,0.25,0.750586811018521,0.761158802013959,0.752652665866065
22,1,255,corrected,0.5,0.790841255672894,0.799953424768917,0.790236680203226
22,1,255,corrected,0.75,0.830381784800948,0.835990995999082,0.827293438318243
22,1,255,original,0.25,0.744216252480888,0.754445451078406,0.744576559644209
22,1,255,original,0.5,0.786180185276386,0.794472295087519,0.782720828032879
22,1,255,original,0.75,0.829311020506624,0.83314163078636,0.826008528264758
22,2,310,corrected,0.25,0.613630515632965,0.611762645815996,0.611517028709795
22,2,310,corrected,0.5,0.658295095359857,0.651360257050426,0.65245128397977
22,2,310,corrected,0.75,0.765841443439504,0.756421831539955,0.761266268144988
22,2,310,original,0.25,0.596992657314764,0.59964066230395,0.592487189110888
22,2,310,original,0.5,0.65641310141894,0.65130019218705,0.641609150184226
22,2,310,original,0.75,0.767696239178662,0.757647762201402,0.751637435311595
22,3,715,corrected,0.25,0.758380965788731,0.767422358539296,0.746025333048581
22,3,715,corrected,0.5,0.826819371263552,0.829555789883842,0.811604682767503
22,3,715,corrected,0.75,0.906112681747429,0.904139224231778,0.896751582559909
22,3,715,original,0.25,0.734870513734435,0.748087329050602,0.724034884782639
22,3,715,original,0.5,0.817409691829856,0.820032637568862,0.800688900260126
22,3,715,original,0.75,0.904141186795446,0.900599779131347,0.892743437917978
22,4,809,corrected,0.25,0.854212568925947,0.857627152579121,0.850238824525605
22,4,809,corrected,0.5,0.889842597925655,0.889693447867573,0.881109680946337
22,4,809,corrected,0.75,0.935297404406714,0.933758903093365,0.929493322660029
22,4,809,original,0.25,0.847620274225904,0.852940439785798,0.848689304472147
22,4,809,original,0.5,0.890441572669496,0.889691198080371,0.883243045353186
22,4,809,original,0.75,0.935721539931589,0.933522832672192,0.930227239030898
22,5,417,corrected,0.25,0.751461469495857,0.750745270818664,0.747132135767741
22,5,417,corrected,0.5,0.779730467956147,0.775542178140743,0.767630700001539
22,5,417,corrected,0.75,0.826524251866287,0.821427034791159,0.812418265631307
22,5,417,original,0.25,0.733350058987857,0.733242746785764,0.735639188981065
22,5,417,original,0.5,0.770904422444143,0.764899695381034,0.765587866546387
22,5,417,original,0.75,0.82312208652314,0.816153082044284,0.810571157443236
22,6,480,corrected,0.25,0.846658729071305,0.849134461851023,0.837199689560798
22,6,480,corrected,0.5,0.892842696531098,0.892549551294606,0.876995584735681
22,6,480,corrected,0.75,0.940320736751584,0.93836429386963,0.930389410234233
22,6,480,original,0.25,0.843337504860536,0.847061547370691,0.831563644816789
22,6,480,original,0.5,0.894229042965311,0.89311688153972,0.874491215942926
22,6,480,original,0.75,0.94202586779419,0.938346269782091,0.929117144839801
22,7,948,corrected,0.25,0.649625352104257,0.670460715555507,0.653883111631308
22,7,948,corrected,0.5,0.692574780893544,0.710181107314852,0.693606814178816
22,7,948,corrected,0.75,0.777935965210533,0.778977860549352,0.778050056775864
22,7,948,original,0.25,0.63494014164776,0.662071264532868,0.639758677311892
22,7,948,original,0.5,0.686907818642832,0.707955730638942,0.685676512715743
22,7,948,original,0.75,0.775535629719362,0.776063652149016,0.774679278632174
22,8,863,corrected,0.25,0.705667526345856,0.719053988486337,0.707580859937158
22,8,863,corrected,0.5,0.724924787360128,0.731490365276229,0.720021092070863
22,8,863,corrected,0.75,0.764483278578812,0.760965741157396,0.75621097357894
22,8,863,original,0.25,0.681672996126129,0.703087670789662,0.681750551574108
22,8,863,original,0.5,0.71410139971679,0.723559246517312,0.703877525368654
22,8,863,original,0.75,0.762519656731135,0.757823898352093,0.748312220340621
22,9,733,corrected,0.25,0.835752920674026,0.844429573227045,0.832611523194915
22,9,733,corrected,0.5,0.895939289528686,0.899027397235017,0.88534856179313
22,9,733,corrected,0.75,0.946484437560419,0.945092976409273,0.937764095708192
22,9,733,original,0.25,0.804344938090662,0.82019059425555,0.811445437828238
22,9,733,original,0.5,0.884704167022971,0.889949091229061,0.874382727214979
22,9,733,original,0.75,0.944798397424124,0.942620416947218,0.932372897195926
22,10,689,corrected,0.25,0.933965255280248,0.936890798433803,0.933197148625022
22,10,689,corrected,0.5,0.959541684635942,0.961857683637131,0.955604759363868
22,10,689,corrected,0.75,0.977307428794528,0.978883821489658,0.974353108485667
22,10,689,original,0.25,0.926236033780076,0.931089087074876,0.925255663375578
22,10,689,original,0.5,0.957057538171438,0.95970355226839,0.950623433214833
22,10,689,original,0.75,0.976630533493446,0.978145786119812,0.972060598582364
