chr,block_id,m,afr_treatment,w_eur,perm,r2
22,1,255,original,0.75,1,0.824897355545883
22,1,255,original,0.75,2,0.826955952296264
22,1,255,original,0.75,3,0.82975184250917
22,1,255,original,0.75,4,0.824878881798174
22,1,255,original,0.75,5,0.827148503561182
22,1,255,original,0.75,6,0.818295764591066
22,1,255,original,0.75,7,0.827370259843097
22,1,255,original,0.75,8,0.828769665973234
22,1,255,original,0.75,0,0.829311020506624
22,1,255,original,0.75,-1,0.83314163078636
22,1,255,original,0.5,1,0.77925351902721
22,1,255,original,0.5,2,0.789948417776877
22,1,255,original,0.5,3,0.780387740807705
22,1,255,original,0.5,4,0.781488190248909
22,1,255,original,0.5,5,0.788974520334628
22,1,255,original,0.5,6,0.775934524176329
22,1,255,original,0.5,7,0.78025239594669
22,1,255,original,0.5,8,0.785527315944685
22,1,255,original,0.5,0,0.786180185276386
22,1,255,original,0.5,-1,0.794472295087519
22,1,255,original,0.25,1,0.737275137986291
22,1,255,original,0.25,2,0.749186392980036
22,1,255,original,0.25,3,0.744085653217341
22,1,255,original,0.25,4,0.743426482658787
22,1,255,original,0.25,5,0.748430894701639
22,1,255,original,0.25,6,0.743114887390513
22,1,255,original,0.25,7,0.742852443584249
22,1,255,original,0.25,8,0.748240584634819
22,1,255,original,0.25,0,0.744216252480888
22,1,255,original,0.25,-1,0.754445451078406
22,1,255,corrected,0.75,1,0.824848942941232
22,1,255,corrected,0.75,2,0.819510374010773
22,1,255,corrected,0.75,3,0.825215516918128
22,1,255,corrected,0.75,4,0.830007385002069
22,1,255,corrected,0.75,5,0.830769343239589
22,1,255,corrected,0.75,6,0.831964807906302
22,1,255,corrected,0.75,7,0.828386845200724
22,1,255,corrected,0.75,8,0.827644291327132
22,1,255,corrected,0.75,0,0.830381784800948
22,1,255,corrected,0.75,-1,0.835990995999082
22,1,255,corrected,0.5,1,0.791502300823159
22,1,255,corrected,0.5,2,0.786751232746938
22,1,255,corrected,0.5,3,0.788225024399569
22,1,255,corrected,0.5,4,0.794792057219669
