chr,block_id,afr_treatment,w_eur,af_bin,m_bin,af_bin_lo,af_bin_hi,r2_l0,r2_l1,diff
22,1,original,0.75,1,85,0.000627294981640131,0.0852529676320248,0.604764036545364,0.617778694264576,0.0130146577192122
22,1,original,0.75,2,85,0.0852529676320248,0.180294662197568,0.662681401423532,0.664733595742895,0.00205219431936299
22,1,original,0.75,3,85,0.180294662197568,0.48813166637524,0.578460129815209,0.54139643635272,-0.0370636934624889
22,1,original,0.5,1,85,0.000627294981640131,0.0852529676320248,0.274038677431507,0.296435977597859,0.0223973001663519
22,1,original,0.5,2,85,0.0852529676320248,0.180294662197568,0.557167702445713,0.55675634194603,-0.000411360499683267
22,1,original,0.5,3,85,0.180294662197568,0.48813166637524,0.523785183998256,0.462185965314151,-0.0615992186841051
22,1,original,0.25,1,85,0.000627294981640131,0.0852529676320248,0.242219811785143,0.250909818012294,0.0086900062271513
22,1,original,0.25,2,85,0.0852529676320248,0.180294662197568,0.526890645102521,0.523542548010208,-0.00334809709231254
22,1,original,0.25,3,85,0.180294662197568,0.48813166637524,0.579063818089493,0.521130919891871,-0.0579328981976215
22,1,corrected,0.75,1,85,0.000526300489596066,0.0715272398432688,0.608767972751493,0.620853510471371,0.0120855377198777
22,1,corrected,0.75,2,85,0.0715272398432688,0.151267221583759,0.666888678690214,0.670179120140697,0.00329044145048307
22,1,corrected,0.75,3,85,0.151267221583759,0.409542468088827,0.575680428263495,0.539334448246121,-0.0363459800173744
22,1,corrected,0.5,1,85,0.000526300489596066,0.0715272398432688,0.28080100373151,0.302180980310291,0.021379976578781
22,1,corrected,0.5,2,85,0.0715272398432688,0.151267221583759,0.562366634740203,0.563550537425336,0.0011839026851328
22,1,corrected,0.5,3,85,0.151267221583759,0.409542468088827,0.509662474345735,0.444484385834282,-0.0651780885114531
22,1,corrected,0.25,1,85,0.000526300489596066,0.0715272398432688,0.240335696127182,0.248507812130454,0.00817211600327281
22,1,corrected,0.25,2,85,0.0715272398432688,0.151267221583759,0.520654366528187,0.518411362973632,-0.0022430035545552
22,1,corrected,0.25,3,85,0.151267221583759,0.409542468088827,0.558454103210402,0.495287545719073,-0.0631665574913291
22,2,original,0.75,1,104,0.00040277388624263,0.093218875677566,0.712686254109053,0.699384200942909,-0.0133020531661434
22,2,original,0.75,2,103,0.093218875677566,0.191894450621429,0.589862067761607,0.590575112718355,0.0007130449567474
22,2,original,0.75,3,103,0.191894450621429,0.601345296380486,0.797053674910887,0.816117243825509,0.0190635689146224
22,2,original,0.5,1,104,0.00040277388624263,0.093218875677566,0.516150994068318,0.501992227736488,-0.01415876633183
22,2,original,0.5,2,103,0.093218875677566,0.191894450621429,0.502369123545285,0.514126097906305,0.0117569743610201
22,2,original,0.5,3,103,0.191894450621429,0.601345296380486,0.579621974246742,0.605055664701682,0.0254336904549402
22,2,original,0.25,1,104,0.00040277388624263,0.093218875677566,0.449938932049551,0.441217686337155,-0.0087212457123963
22,2,original,0.25,2,103,0.093218875677566,0.191894450621429,0.471727838545948,0.490946286881532,0.0192184483355841
22,2,original,0.25,3,103,0.191894450621429,0.601345296380486,0.443875023844864,0.466897033238767,0.0230220093939036
22,2,corrected,0.75,1,104,0.000337927290557566,0.0782106366934779,0.715379131848668,0.702736443088161,-0.0126426887605064
22,2,corrected,0.75,2,103,0.0782106366934779,0.160999444071379,0.583182785555222,0.582240917517287,-0.000941868037934612
22,2,corrected,0.75,3,103,0.160999444071379,0.504528703663228,0.797084562242563,0.811346604891165,0.0142620426486022
22,2,corrected,0.5,1,104,0.000337927290557566,0.0782106366934779,0.524280903821543,0.509497186901311,-0.0147837169202316
22,2,corrected,0.5,2,103,0.0782106366934779,0.160999444071379,0.493909540552258,0.50050064434635,0.00659110379409245
22,2,corrected,0.5,3,103,0.160999444071379,0.504528703663228,0.576515619000997,0.595307086203931,0.0187914672029343
22,2,corrected,0.25,1,104,0.000337927290557566,0.0782106366934779,0.470553210315554,0.460143079685645,-0.010410130629909
22,2,corrected,0.25,2,103,0.0782106366934779,0.160999444071379,0.457722183794652,0.471709671466148,0.0139874876714967
22,2,corrected,0.25,3,103,0.160999444071379,0.504528703663228,0.437955513518036,0.454683593849756,0.0167280803317202
22,3,original,0.75,1,239,0.000107296137339064,0.0862006032523168,0.892479609804836,0.897234563413929,0.00475495360909295
22,3,original,0.75,2,238,0.0862006032523168,0.227640321734569,0.855776362948881,0.863224198981901,0.00744783603302013
22,3,original,0.75,3,238,0.227640321734569,0.705152003362286,0.858095948466346,0.860667645662165,0.0025716971958194
22,3,original,0.5,1,239,0.000107296137339064,0.0862006032523168,0.838465258365073,0.84872063613246,0.0102553777673867
22,3,original,0.5,2,238,0.0862006032523168,0.227640321734569,0.7433403431109,0.751666121948691,0.00832577883779084
22,3,original,0.5,3,238,0.227640321734569,0.705152003362286,0.854947946875781,0.874597357982553,0.0196494111067724
22,3,original,0.25,1,239,0.000107296137339064,0.0862006032523168,0.804422493563654,0.812927762423387,0.00850526885973202
22,3,original,0.25,2,238,0.0862006032523168,0.227640321734569,0.655968220936418,0.6596303556084,0.00366213467198229
22,3,original,0.25,3,238,0.227640321734569,0.705152003362286,0.83618149752582,0.862388373637379,0.0262068761115589
22,3,corrected,0.75,1,239,9.00214592274712e-05,0.0723223061286938,0.890872835070842,0.895694680614154,0.00482184554331189
22,3,corrected,0.75,2,238,0.0723223061286938,0.190990229935303,0.854538396685075,0.862399363817871,0.00786096713279594
22,3,corrected,0.75,3,238,0.190990229935303,0.591622530820958,0.856263311257062,0.859774853094956,0.00351154183789493
22,3,corrected,0.5,1,239,9.00214592274712e-05,0.0723223061286938,0.836274398760102,0.846552972655667,0.0102785738955656
22,3,corrected,0.5,2,238,0.0723223061286938,0.190990229935303,0.743364946594557,0.753601540555691,0.010236593961134
22,3,corrected,0.5,3,238,0.190990229935303,0.591622530820958,0.860176233930082,0.879032583486414,0.018856349556332
22,3,corrected,0.25,1,239,9.00214592274712e-05,0.0723223061286938,0.808090630907013,0.818507319552795,0.010416688645781
22,3,corrected,0.25,2,238,0.0723223061286938,0.190990229935303,0.665558076161628,0.672334850514763,0.00677677435313506
22,3,corrected,0.25,3,238,0.190990229935303,0.591622530820958,0.849016247613928,0.87273194513154,0.0237156975176127
22,4,original,0.75,1,270,0.00106989858366852,0.0843831963630005,0.830164484038684,0.827408688302074,-0.00275579573660967
22,4,original,0.75,2,269,0.0843831963630005,0.176173354898875,0.970234406650468,0.970121808750245,-0.000112597900223888
22,4,original,0.75,3,270,0.176173354898875,0.59566386930443,0.872726263294083,0.866230585781179,-0.00649567751290414
22,4,original,0.5,1,270,0.00106989858366852,0.0843831963630005,0.72192395030884,0.718603911787314,-0.00332003852152674
22,4,original,0.5,2,269,0.0843831963630005,0.176173354898875,0.931272261130019,0.932172928238728,0.000900667108708397
22,4,original,0.5,3,270,0.176173354898875,0.59566386930443,0.720213447725563,0.710973981112646,-0.0092394666129163
22,4,original,0.25,1,270,0.00106989858366852,0.0843831963630005,0.605702647491,0.605440247637963,-0.000262399853037332
22,4,original,0.25,2,269,0.0843831963630005,0.176173354898875,0.890063023419042,0.894880149246962,0.00481712582792016
22,4,original,0.25,3,270,0.176173354898875,0.59566386930443,0.64140240308863,0.637401723622903,-0.00400067946572702
22,4,corrected,0.75,1,270,0.000897644911697915,0.0707975017485575,0.827561079744287,0.824707729802048,-0.0028533499422384
22,4,corrected,0.75,2,269,0.0707975017485575,0.147809444760156,0.969778383993112,0.969603730983133,-0.000174653009978321
22,4,corrected,0.75,3,270,0.147809444760156,0.499761986346417,0.873877206141439,0.867998113534014,-0.00587909260742536
22,4,corrected,0.5,1,270,0.000897644911697915,0.0707975017485575,0.724004547600052,0.719901866387157,-0.00410268121289492
22,4,corrected,0.5,2,269,0.0707975017485575,0.147809444760156,0.930060258718615,0.930524915403408,0.000464656684793008
22,4,corrected,0.5,3,270,0.147809444760156,0.499761986346417,0.722374519080098,0.712660792362016,-0.00971372671808268
22,4,corrected,0.25,1,270,0.000897644911697915,0.0707975017485575,0.629984848282136,0.628522865838735,-0.00146198244340034
22,4,corrected,0.25,2,269,0.0707975017485575,0.147809444760156,0.890346408790519,0.893566229491023,0.00321982070050464
22,4,corrected,0.25,3,270,0.147809444760156,0.499761986346417,0.646857865418907,0.640845231160142,-0.00601263425876497
22,5,original,0.75,1,139,0.000446553656486409,0.0930436863734006,0.729997541855155,0.727191426957591,-0.00280611489756399
