afr_treatment,w_eur,metric,mean_diff,sd,lo95,hi95
corrected,0.25,MELD-λ1 − MELD-λ0,0.00885168412312051,0.00195566787566264,0.00519400333989559,0.0127880610421294
corrected,0.25,MELD-λ1 − placebo,0.00838930165278169,0.00148979164387523,0.00540897104145861,0.0112241567101401
corrected,0.5,MELD-λ1 − MELD-λ0,0.00464784165886424,0.0016370772255715,0.00149987513486384,0.00779850728455322
corrected,0.5,MELD-λ1 − placebo,0.0111632982056505,0.00130919205943149,0.00853244113471414,0.0136864557246902
corrected,0.75,MELD-λ1 − MELD-λ0,4.6085421219303e-05,0.00102799159757243,-0.00183909010883858,0.00212288863250458
corrected,0.75,MELD-λ1 − placebo,0.00764274675839124,0.0012862112602081,0.00528206514223555,0.010319690371856
original,0.25,MELD-λ1 − MELD-λ0,0.0122377736283204,0.00225123759945931,0.00797120361267997,0.0166663625651185
original,0.25,MELD-λ1 − placebo,0.00968765893617559,0.00180738257942118,0.00604474522657251,0.0132186551838251
original,0.5,MELD-λ1 − MELD-λ0,0.00480756723933843,0.00196190604618416,0.00106429630521234,0.00861596336848983
original,0.5,MELD-λ1 − placebo,0.0133259110933233,0.00174993622233598,0.00995503646609099,0.0167147958733192
original,0.75,MELD-λ1 − MELD-λ0,-0.00130150821418367,0.00114889860536966,-0.00341277651194051,0.000976629592625094
original,0.75,MELD-λ1 − placebo,0.00942598333606441,0.00141603544439218,0.00683672303759632,0.0123642743881924
original,0.75,D5 tertile 1 (M2_λ1 − M2_λ0),0.00172572278858156,0.00144937397525989,-0.00113360375675216,0.00454551587528206
original,0.75,D5 tertile 2 (M2_λ1 − M2_λ0),0.00456125064219228,0.00287205675056072,-0.000616519436311842,0.0106874485155159
original,0.75,D5 tertile 3 (M2_λ1 − M2_λ0),0.00102444830657597,0.00349231837113614,-0.00475889204343497,0.00849524780623023
original,0.5,D5 tertile 1 (M2_λ1 − M2_λ0),0.00226173683339548,0.00247021419306992,-0.00242675390147355,0.00735842011284342
original,0.5,D5 tertile 2 (M2_λ1 − M2_λ0),0.00680667266162056,0.00405983384937287,-0.000471961364703318,0.0157975381885745
original,0.5,D5 tertile 3 (M2_λ1 − M2_λ0),0.00247147933301661,0.0031206536117477,-0.0031597500898017,0.00844153065235853
original,0.25,D5 tertile 1 (M2_λ1 − M2_λ0),0.00194192292719657,0.00223611853918872,-0.0024383202661721,0.0063393996496966
original,0.25,D5 tertile 2 (M2_λ1 − M2_λ0),0.00714538949855346,0.00375298998737167,6.55882358493284e-05,0.0149777146319007
original,0.25,D5 tertile 3 (M2_λ1 − M2_λ0),0.00621406727767434,0.00269599692220332,0.000638418276415098,0.011156089435184
corrected,0.75,D5 tertile 1 (M2_λ1 − M2_λ0),0.0019730056190613,0.00136489188092619,-0.000724776275788407,0.00460693016325447
corrected,0.75,D5 tertile 2 (M2_λ1 − M2_λ0),0.005351485269692,0.00322361890057433,-7.14981100174701e-05,0.0126085379958183
corrected,0.75,D5 tertile 3 (M2_λ1 − M2_λ0),0.00230436830902418,0.00378738232610515,-0.0035417383203354,0.0108855542742513
corrected,0.5,D5 tertile 1 (M2_λ1 − M2_λ0),0.00272064349274003,0.00226408242315726,-0.00165876740102337,0.00730962141568667
corrected,0.5,D5 tertile 2 (M2_λ1 − M2_λ0),0.00757604630019626,0.00446684147887343,-0.000165588573798692,0.017083063662174
corrected,0.5,D5 tertile 3 (M2_λ1 − M2_λ0),0.00292027473877203,0.00319334681595279,-0.00314842087618202,0.00949927296288573
corrected,0.25,D5 tertile 1 (M2_λ1 − M2_λ0),0.00279492769711363,0.00214879324613061,-0.00126578788176003,0.00721178554574688
corrected,0.25,D5 tertile 2 (M2_λ1 − M2_λ0),0.00763847481909546,0.00427881973073275,0.000207634046650953,0.0169448745331006
corrected,0.25,D5 tertile 3 (M2_λ1 − M2_λ0),0.00430453532380143,0.0026335828375588,-0.000980794898475053,0.00935324059173973
