panel_a,panel_b,r,sd,lo95,hi95,txt
MELD_lambda0,EUR,0.951059509048283,0.00366910458178725,0.943619715638882,0.95778043043793,"0.9511 [0.9436, 0.9578]"
MELD_lambda0,EAS,0.757209921761198,0.0150913594747802,0.727824426822616,0.785533672793795,"0.7572 [0.7278, 0.7855]"
MELD_lambda0,AFR,0.818624631066297,0.012192500928065,0.794184997450247,0.843017508122001,"0.8186 [0.7942, 0.8430]"
MELD_lambda0,CSA,0.827040883239687,0.0114806953351047,0.80348816470655,0.848700968661218,"0.8270 [0.8035, 0.8487]"
MELD_lambda0,AMR,0.851090984340228,0.00978074618210417,0.830497619035112,0.869124045720272,"0.8511 [0.8305, 0.8691]"
EUR,EAS,0.673807092600104,0.0187811432513051,0.635236656599725,0.709063907532083,"0.6738 [0.6352, 0.7091]"
EUR,AFR,0.738672816843672,0.0163904099635307,0.706373082372995,0.768583670080809,"0.7387 [0.7064, 0.7686]"
EUR,CSA,0.755657355284686,0.0159587497892949,0.723081989735537,0.78530442689016,"0.7557 [0.7231, 0.7853]"
EUR,AMR,0.795474243142012,0.0130142863818389,0.768195428838165,0.818496419646715,"0.7955 [0.7682, 0.8185]"
EAS,AFR,0.77468185676325,0.013892167777302,0.747068476988361,0.800569162932961,"0.7747 [0.7471, 0.8006]"
EAS,CSA,0.752981566682307,0.0153692476400408,0.722051051244106,0.782205085642989,"0.7530 [0.7221, 0.7822]"
EAS,AMR,0.722402205128401,0.0167973775785014,0.687235512967839,0.753274569341287,"0.7224 [0.6872, 0.7533]"
AFR,CSA,0.772920902088577,0.0141462889496588,0.744187379308099,0.798645019267662,"0.7729 [0.7442, 0.7986]"
AFR,AMR,0.772232980991741,0.0135972094862855,0.745994798610651,0.798740311040392,"0.7722 [0.7460, 0.7987]"
CSA,AMR,0.784124550625121,0.0136061749901138,0.756279050492594,0.810016547430203,"0.7841 [0.7563, 0.8100]"
