block_id,pop,m,metric,max_abs_diff,median_abs_diff,p95_abs_diff,rmse
37,EUR,977,quantisation_only,2.95676584327609e-08,2.93329943668041e-11,4.34128319404259e-09,2.59953207541385e-09
37,EAS,977,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,3.46129334916068e-09,2.46445536990524e-09
37,AFR,977,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,3.46129334916068e-09,1.88815529619366e-09
37,CSA,977,quantisation_only,2.95676584327609e-08,5.86659887336083e-11,3.46129334916068e-09,2.35601539149879e-09
37,AMR,977,quantisation_only,2.95676584327609e-08,1.46664971834021e-10,4.45861517150981e-09,2.75259900128553e-09
27,EUR,538,quantisation_only,2.95676584327609e-08,5.86659887336083e-11,4.34128319404259e-09,2.62583074523183e-09
27,EAS,538,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,3.46129334916068e-09,2.30355187500015e-09
27,AFR,538,quantisation_only,2.95676584327609e-08,5.86659887336083e-11,3.40262736042707e-09,1.80131611883229e-09
27,CSA,538,quantisation_only,2.95676584327609e-08,5.86659887336083e-11,3.46129334916068e-09,2.33511931558282e-09
27,AMR,538,quantisation_only,2.95676584327609e-08,1.46664971834021e-10,4.34128319404259e-09,2.69250100505696e-09
74,EUR,524,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,6.5705907659197e-09,3.41259884733437e-09
74,EAS,524,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,6.10126282829526e-09,3.23516963240775e-09
74,AFR,524,quantisation_only,2.95676584327609e-08,1.17331977467217e-10,4.22395121657537e-09,2.37469779660723e-09
74,CSA,524,quantisation_only,2.95676584327609e-08,8.79989831004124e-11,6.3359267832297e-09,3.21075543927654e-09
74,AMR,524,quantisation_only,2.95676584327609e-08,2.05330960567629e-10,6.80525472085414e-09,3.59351775975663e-09
37,EUR,977,ukb_vs_1kg,0.319793105009917,0.0289367071063187,0.0851942181751417,0.043379400378739
37,EAS,977,ukb_vs_1kg,0.976377964019775,0.031496062874794,0.0930242534982599,0.0482926124263326
37,AFR,977,ukb_vs_1kg,0.612092275569861,0.0288883429867334,0.0865219228549891,0.0443688690731553
37,CSA,977,ukb_vs_1kg,0.446974568243631,0.0291902450116809,0.0849449101365676,0.0434672790663836
37,AMR,977,ukb_vs_1kg,0.468925805775281,0.0508369807571526,0.149340503136978,0.0764506890937035
27,EUR,538,ukb_vs_1kg,0.263193752993999,0.0272109449301701,0.0805909105124185,0.0410553326813418
27,EAS,538,ukb_vs_1kg,0.984251976013184,0.0312830017767046,0.0936267468839526,0.0506414373117196
27,AFR,538,ukb_vs_1kg,0.351338136323559,0.0284410675774898,0.0842743269032415,0.0433081713160808
27,CSA,538,ukb_vs_1kg,0.287445568377929,0.0291806232262765,0.0852770426842419,0.043712729749355
27,AMR,538,ukb_vs_1kg,0.377010132964454,0.0510946741156056,0.151961728257058,0.0769399645138623
74,EUR,524,ukb_vs_1kg,0.203275428602024,0.0285770456184135,0.0835805033063403,0.0427382948648814
74,EAS,524,ukb_vs_1kg,0.52932119794176,0.0321275430026544,0.0951543939059253,0.0488894234619075
74,AFR,524,ukb_vs_1kg,0.44784884782292,0.0300118612593702,0.0889657287868958,0.0463237225065749
74,CSA,524,ukb_vs_1kg,0.320010712000606,0.0294134538411104,0.086697954953216,0.0443083699553846
74,AMR,524,ukb_vs_1kg,0.512417253910064,0.0574628864490702,0.171155946622024,0.0874243284218906
